pipeline,s2,s3,s4,makespan,makespan_sched,cp_comm,max_load,edge_cut,load_imbalance,connected,valid,max_imem,imem_ok,n_gpus_used,omega,ratio_to_omega,time_s,error,error_code,asgn_hash,tb_hash,unique_hw_sim,tb_fname
2b|3e,2b,3e,,70,70,49.0,45,63,1.12544,True,True,67,True,64,48,1.4583,0.076,,E_OK,1af846bc5008d479eceb0edd4305c89182ae6a7b54975e7431710ce75738ebd3,2df09b7556e6418d62a3841d1b402f0258d99bf730484a5992520c919fb8f0d6,True,tb_2b_3e_none
2k|3e,2k,3e,,70,70,49.0,45,63,1.12544,True,True,67,True,64,48,1.4583,0.101,,E_OK,f03e218f759184596ca84a05a09394393652a7c5a7959d581cf75c720d991ac5,f7f166d9beceda06dcdc3af717a0346c9fb458328ee11dad206042d82cfb442c,True,tb_2k_3e_none
2o|3e,2o,3e,,70,70,49.0,45,63,1.12544,True,True,67,True,64,48,1.4583,0.087,,E_OK,c57fe9349d5da3603fc24a9e878ae544d251400cbd0d2f29ccb4132f40376bb4,bc52565146387c446c3d0c7a8d3759bef158e5bab3eba40d712973004c2f3a88,True,tb_2o_3e_none
2b|3j,2b,3j,,108,108,49.0,45,63,1.12544,True,True,89,True,64,48,2.25,2.345,,E_OK,1af846bc5008d479eceb0edd4305c89182ae6a7b54975e7431710ce75738ebd3,4dbab7567daad1be30cc18c0e2ea2fadbfbaea98fe2037fc300d15e786ec39ac,True,tb_2b_3j_none
2b|3d,2b,3d,,110,110,49.0,45,63,1.12544,True,True,91,True,64,48,2.2917,0.521,,E_OK,1af846bc5008d479eceb0edd4305c89182ae6a7b54975e7431710ce75738ebd3,2355a0f217fe785e0798d98f38f5721103a1bb33ff6f2e349afc056c72176050,False,
2k|3d,2k,3d,,110,110,49.0,45,63,1.12544,True,True,91,True,64,48,2.2917,0.582,,E_OK,f03e218f759184596ca84a05a09394393652a7c5a7959d581cf75c720d991ac5,0e59a076eb5ad3f10b5c768956bf6659ba33505f4493375b553a4a30ea47c543,False,
2b|3c,2b,3c,,112,112,49.0,45,63,1.12544,True,True,91,True,64,48,2.3333,0.82,,E_OK,1af846bc5008d479eceb0edd4305c89182ae6a7b54975e7431710ce75738ebd3,2355a0f217fe785e0798d98f38f5721103a1bb33ff6f2e349afc056c72176050,True,tb_2b_3c_none
2b|3f,2b,3f,,112,112,49.0,45,63,1.12544,True,True,91,True,64,48,2.3333,0.056,,E_OK,1af846bc5008d479eceb0edd4305c89182ae6a7b54975e7431710ce75738ebd3,2355a0f217fe785e0798d98f38f5721103a1bb33ff6f2e349afc056c72176050,False,
2k|3a,2k,3a,,112,112,49.0,45,63,1.12544,True,True,91,True,64,48,2.3333,0.107,,E_OK,f03e218f759184596ca84a05a09394393652a7c5a7959d581cf75c720d991ac5,0e59a076eb5ad3f10b5c768956bf6659ba33505f4493375b553a4a30ea47c543,True,tb_2k_3a_none
2k|3b,2k,3b,,112,112,49.0,45,63,1.12544,True,True,91,True,64,48,2.3333,0.141,,E_OK,f03e218f759184596ca84a05a09394393652a7c5a7959d581cf75c720d991ac5,0e59a076eb5ad3f10b5c768956bf6659ba33505f4493375b553a4a30ea47c543,False,
2k|3c,2k,3c,,112,112,49.0,45,63,1.12544,True,True,91,True,64,48,2.3333,0.494,,E_OK,f03e218f759184596ca84a05a09394393652a7c5a7959d581cf75c720d991ac5,0e59a076eb5ad3f10b5c768956bf6659ba33505f4493375b553a4a30ea47c543,False,
2o|3a,2o,3a,,112,112,49.0,45,63,1.12544,True,True,91,True,64,48,2.3333,0.058,,E_OK,c57fe9349d5da3603fc24a9e878ae544d251400cbd0d2f29ccb4132f40376bb4,f0b3fcd5cc9ee73208ada3d7692968bbcec4264e5369a7880d40090d9d4ebc17,True,tb_2o_3a_none
2o|3b,2o,3b,,112,112,49.0,45,63,1.12544,True,True,91,True,64,48,2.3333,0.079,,E_OK,c57fe9349d5da3603fc24a9e878ae544d251400cbd0d2f29ccb4132f40376bb4,f0b3fcd5cc9ee73208ada3d7692968bbcec4264e5369a7880d40090d9d4ebc17,False,
2o|3c,2o,3c,,112,112,49.0,45,63,1.12544,True,True,91,True,64,48,2.3333,0.329,,E_OK,c57fe9349d5da3603fc24a9e878ae544d251400cbd0d2f29ccb4132f40376bb4,f0b3fcd5cc9ee73208ada3d7692968bbcec4264e5369a7880d40090d9d4ebc17,False,
2o|3d,2o,3d,,112,112,49.0,45,63,1.12544,True,True,91,True,64,48,2.3333,0.279,,E_OK,c57fe9349d5da3603fc24a9e878ae544d251400cbd0d2f29ccb4132f40376bb4,f0b3fcd5cc9ee73208ada3d7692968bbcec4264e5369a7880d40090d9d4ebc17,False,
2k|3f,2k,3f,,112,112,49.0,45,63,1.12544,True,True,91,True,64,48,2.3333,0.128,,E_OK,f03e218f759184596ca84a05a09394393652a7c5a7959d581cf75c720d991ac5,0e59a076eb5ad3f10b5c768956bf6659ba33505f4493375b553a4a30ea47c543,False,
2k|3g,2k,3g,,112,112,49.0,45,63,1.12544,True,True,91,True,64,48,2.3333,0.073,,E_OK,f03e218f759184596ca84a05a09394393652a7c5a7959d581cf75c720d991ac5,0e59a076eb5ad3f10b5c768956bf6659ba33505f4493375b553a4a30ea47c543,False,
2o|3f,2o,3f,,112,112,49.0,45,63,1.12544,True,True,91,True,64,48,2.3333,0.065,,E_OK,c57fe9349d5da3603fc24a9e878ae544d251400cbd0d2f29ccb4132f40376bb4,f0b3fcd5cc9ee73208ada3d7692968bbcec4264e5369a7880d40090d9d4ebc17,False,
2o|3g,2o,3g,,112,112,49.0,45,63,1.12544,True,True,91,True,64,48,2.3333,0.057,,E_OK,c57fe9349d5da3603fc24a9e878ae544d251400cbd0d2f29ccb4132f40376bb4,f0b3fcd5cc9ee73208ada3d7692968bbcec4264e5369a7880d40090d9d4ebc17,False,
