pipeline,s2,s3,s4,makespan,makespan_sched,cp_comm,max_load,edge_cut,load_imbalance,connected,valid,max_imem,imem_ok,n_gpus_used,omega,ratio_to_omega,time_s,error,error_code,asgn_hash,tb_hash,unique_hw_sim,tb_fname
2b|3b,2b,3b,,100,100,52.0,45,63,1.12544,True,True,84,True,64,48,2.0833,0.154,,E_OK,09566729e071cdd823e506d7c543fb927172a1c4eaece1b31d5542181369e949,dc8c5ebef78c315f1945db46e77812da8f673c1d6e40f9ce9fe6b8b2d8b74432,True,tb_2b_3b_none
2b|3d,2b,3d,,101,101,52.0,45,63,1.12544,True,True,90,True,64,48,2.1042,0.483,,E_OK,09566729e071cdd823e506d7c543fb927172a1c4eaece1b31d5542181369e949,83da549240a9676421cb757870ecd4c9db5a5ed3430db0763cc5cc4efd03311f,True,tb_2b_3d_none
2b|3e,2b,3e,,102,102,52.0,45,63,1.12544,True,True,86,True,64,48,2.125,0.22,,E_OK,09566729e071cdd823e506d7c543fb927172a1c4eaece1b31d5542181369e949,d091e7d5a955c14a15b3b2bc8eb35be7107038bd208b6b46e2002c0215224ae1,True,tb_2b_3e_none
2b|3i,2b,3i,,103,103,52.0,45,63,1.12544,True,True,85,True,64,48,2.1458,0.212,,E_OK,09566729e071cdd823e506d7c543fb927172a1c4eaece1b31d5542181369e949,c6dce75fb0856c30619925673cbbbb03965eddcafdc3bcec5b8b954efb0d8bb1,True,tb_2b_3i_none
2b|3j,2b,3j,,104,104,52.0,45,63,1.12544,True,True,91,True,64,48,2.1667,3.006,,E_OK,09566729e071cdd823e506d7c543fb927172a1c4eaece1b31d5542181369e949,81e7c61d5b691ae6adec2544430cb6154aac24ba66fef559a84a563d4ebe30c0,False,
2o|3j,2o,3j,,104,104,45.0,45,63,1.12544,True,True,91,True,64,48,2.1667,2.592,,E_OK,c57fe9349d5da3603fc24a9e878ae544d251400cbd0d2f29ccb4132f40376bb4,4d4aa4fbc9e2932b5783e69b406acdf70aa6b763ad0e2c7986c0957e8e131119,True,tb_2o_3j_none
2b|3h,2b,3h,,107,107,52.0,45,63,1.12544,True,True,89,True,64,48,2.2292,4.193,,E_OK,09566729e071cdd823e506d7c543fb927172a1c4eaece1b31d5542181369e949,8e43d85d91be8c3023a859fcd8ebc62bf45d14a7312690fc00c01c0339294c96,True,tb_2b_3h_none
2o|3d,2o,3d,,107,107,45.0,45,63,1.12544,True,True,89,True,64,48,2.2292,0.451,,E_OK,c57fe9349d5da3603fc24a9e878ae544d251400cbd0d2f29ccb4132f40376bb4,7e20e1bc7a0e2cb4374b73492c99a1bec746840beb19b4ddd8c9485359fa7b87,True,tb_2o_3d_none
2o|3a,2o,3a,,108,108,45.0,45,63,1.12544,True,True,91,True,64,48,2.25,0.093,,E_OK,c57fe9349d5da3603fc24a9e878ae544d251400cbd0d2f29ccb4132f40376bb4,b5b33797fa4b538cae735816aec769c2c5b8057b2ca9a7d7d81a0de847d90e0e,True,tb_2o_3a_none
2o|3c,2o,3c,,108,108,45.0,45,63,1.12544,True,True,91,True,64,48,2.25,0.458,,E_OK,c57fe9349d5da3603fc24a9e878ae544d251400cbd0d2f29ccb4132f40376bb4,b5b33797fa4b538cae735816aec769c2c5b8057b2ca9a7d7d81a0de847d90e0e,False,
2o|3e,2o,3e,,108,108,45.0,45,63,1.12544,True,True,91,True,64,48,2.25,0.719,,E_OK,c57fe9349d5da3603fc24a9e878ae544d251400cbd0d2f29ccb4132f40376bb4,b5b33797fa4b538cae735816aec769c2c5b8057b2ca9a7d7d81a0de847d90e0e,False,
2o|3f,2o,3f,,108,108,45.0,45,63,1.12544,True,True,91,True,64,48,2.25,0.155,,E_OK,c57fe9349d5da3603fc24a9e878ae544d251400cbd0d2f29ccb4132f40376bb4,b5b33797fa4b538cae735816aec769c2c5b8057b2ca9a7d7d81a0de847d90e0e,False,
2o|3g,2o,3g,,108,108,45.0,45,63,1.12544,True,True,91,True,64,48,2.25,0.075,,E_OK,c57fe9349d5da3603fc24a9e878ae544d251400cbd0d2f29ccb4132f40376bb4,b5b33797fa4b538cae735816aec769c2c5b8057b2ca9a7d7d81a0de847d90e0e,False,
2b|3c,2b,3c,,110,110,52.0,45,63,1.12544,True,True,91,True,64,48,2.2917,0.436,,E_OK,09566729e071cdd823e506d7c543fb927172a1c4eaece1b31d5542181369e949,81e7c61d5b691ae6adec2544430cb6154aac24ba66fef559a84a563d4ebe30c0,False,
2b|3f,2b,3f,,110,110,52.0,45,63,1.12544,True,True,91,True,64,48,2.2917,0.132,,E_OK,09566729e071cdd823e506d7c543fb927172a1c4eaece1b31d5542181369e949,81e7c61d5b691ae6adec2544430cb6154aac24ba66fef559a84a563d4ebe30c0,False,
2b|3g,2b,3g,,110,110,52.0,45,63,1.12544,True,True,91,True,64,48,2.2917,0.093,,E_OK,09566729e071cdd823e506d7c543fb927172a1c4eaece1b31d5542181369e949,81e7c61d5b691ae6adec2544430cb6154aac24ba66fef559a84a563d4ebe30c0,False,
2o|3i,2o,3i,,111,111,45.0,45,63,1.12544,True,True,91,True,64,48,2.3125,0.114,,E_OK,c57fe9349d5da3603fc24a9e878ae544d251400cbd0d2f29ccb4132f40376bb4,cf2dc1ef0b34e1c4cc34e0e7f939bf5d4802bbf45413dc642ce5fa4cdc9d8ffc,True,tb_2o_3i_none
2o|3b,2o,3b,,112,112,45.0,45,63,1.12544,True,True,91,True,64,48,2.3333,0.094,,E_OK,c57fe9349d5da3603fc24a9e878ae544d251400cbd0d2f29ccb4132f40376bb4,b5b33797fa4b538cae735816aec769c2c5b8057b2ca9a7d7d81a0de847d90e0e,False,
2o|3h,2o,3h,,113,113,45.0,45,63,1.12544,True,True,91,True,64,48,2.3542,5.748,,E_OK,c57fe9349d5da3603fc24a9e878ae544d251400cbd0d2f29ccb4132f40376bb4,9a91601405657d36c5e2ac6d1fa0ea9168870f20d797e0619030163eb71cf9e2,True,tb_2o_3h_none
2b|3a,2b,3a,,115,115,52.0,45,63,1.12544,True,True,91,True,64,48,2.3958,0.182,,E_OK,09566729e071cdd823e506d7c543fb927172a1c4eaece1b31d5542181369e949,81e7c61d5b691ae6adec2544430cb6154aac24ba66fef559a84a563d4ebe30c0,True,tb_2b_3a_none
2k|3b,2k,3b,,127,127,39.0,84,60,2.100821,True,True,121,True,61,48,2.6458,0.232,,E_OK,a14b621ed8341f2e6f859a7a00906a540b544ec470b98f796a3ee0b112a429eb,791b7394235138dc6b61a3bbd92711f2bdfe7639bf5deb69b1ce0a8f2522bda4,True,tb_2k_3b_none
2k|3d,2k,3d,,127,127,39.0,84,60,2.100821,True,True,121,True,61,48,2.6458,0.49,,E_OK,a14b621ed8341f2e6f859a7a00906a540b544ec470b98f796a3ee0b112a429eb,731442fe874e22a72687af11151a4efdee80dc7efb685a94c9cf5db3e9f43da0,True,tb_2k_3d_none
2k|3j,2k,3j,,127,127,39.0,84,60,2.100821,True,True,121,True,61,48,2.6458,3.811,,E_OK,a14b621ed8341f2e6f859a7a00906a540b544ec470b98f796a3ee0b112a429eb,86655c0f819ea064c6363e21ed46610240a55fe178ac69a0c78a9d0e904c9e7d,True,tb_2k_3j_none
2k|3h,2k,3h,,127,127,39.0,84,60,2.100821,True,True,123,True,61,48,2.6458,5.586,,E_OK,a14b621ed8341f2e6f859a7a00906a540b544ec470b98f796a3ee0b112a429eb,4a6bafeaa17176352a4a23cc500ed59095a33014b43a8491b0d8b66929a21e30,True,tb_2k_3h_none
2k|3a,2k,3a,,128,128,39.0,84,60,2.100821,True,True,121,True,61,48,2.6667,0.173,,E_OK,a14b621ed8341f2e6f859a7a00906a540b544ec470b98f796a3ee0b112a429eb,41a1f7d51eedd26369c29789710b81bb9a506f7e0c68bc0c791cbe4442dc47b6,True,tb_2k_3a_none
