pipeline,s2,s3,s4,makespan,makespan_sched,cp_comm,max_load,edge_cut,load_imbalance,connected,valid,max_imem,imem_ok,n_gpus_used,omega,ratio_to_omega,time_s,error,error_code,asgn_hash,tb_hash,unique_hw_sim,tb_fname
2b|3b,2b,3b,,254,254,32.0,163,15,1.019148,True,True,247,True,16,192,1.3229,0.034,,E_OK,859e5d3c627c5bb8db3a5e0db28f30868f7e06b9ca76bbff19f21ab778245aa7,377169226926ccab90bf2a8a0764632d54fb5d2d7e9eceb7e57857f53af0a392,False,
2b|3d,2b,3d,,254,254,32.0,163,15,1.019148,True,True,247,True,16,192,1.3229,0.115,,E_OK,859e5d3c627c5bb8db3a5e0db28f30868f7e06b9ca76bbff19f21ab778245aa7,377169226926ccab90bf2a8a0764632d54fb5d2d7e9eceb7e57857f53af0a392,False,
2b|3e,2b,3e,,254,254,32.0,163,15,1.019148,True,True,247,True,16,192,1.3229,0.04,,E_OK,859e5d3c627c5bb8db3a5e0db28f30868f7e06b9ca76bbff19f21ab778245aa7,377169226926ccab90bf2a8a0764632d54fb5d2d7e9eceb7e57857f53af0a392,False,
2k|3i,2k,3i,,254,254,29.0,163,15,1.019148,True,True,247,True,16,192,1.3229,0.029,,E_OK,4b53b4cd2675b70885df344682e85a06754c57c8cf07cbfc604c9000f33f27ca,075cb04977a973ba309354371b88cc5df7df8521a4283641371657222e9fb433,True,tb_2k_3i_none
2k|3j,2k,3j,,254,254,29.0,163,15,1.019148,True,True,247,True,16,192,1.3229,0.063,,E_OK,4b53b4cd2675b70885df344682e85a06754c57c8cf07cbfc604c9000f33f27ca,075cb04977a973ba309354371b88cc5df7df8521a4283641371657222e9fb433,False,
2k|3a,2k,3a,,254,254,29.0,163,15,1.019148,True,True,247,True,16,192,1.3229,0.036,,E_OK,4b53b4cd2675b70885df344682e85a06754c57c8cf07cbfc604c9000f33f27ca,075cb04977a973ba309354371b88cc5df7df8521a4283641371657222e9fb433,False,
2k|3b,2k,3b,,254,254,29.0,163,15,1.019148,True,True,247,True,16,192,1.3229,0.038,,E_OK,4b53b4cd2675b70885df344682e85a06754c57c8cf07cbfc604c9000f33f27ca,075cb04977a973ba309354371b88cc5df7df8521a4283641371657222e9fb433,False,
2k|3d,2k,3d,,254,254,29.0,163,15,1.019148,True,True,247,True,16,192,1.3229,0.088,,E_OK,4b53b4cd2675b70885df344682e85a06754c57c8cf07cbfc604c9000f33f27ca,075cb04977a973ba309354371b88cc5df7df8521a4283641371657222e9fb433,False,
2o|3i,2o,3i,,254,254,31.0,163,15,1.019148,True,True,247,True,16,192,1.3229,0.08,,E_OK,3548f7706d80fde5958de4058e222a4985f55e6b73bc772e6434ef907ed23782,ada395393dfd57054672d36d8f3aa742c78550ff409e1ebca7fbf73828aafa10,True,tb_2o_3i_none
2o|3j,2o,3j,,254,254,31.0,163,15,1.019148,True,True,247,True,16,192,1.3229,0.244,,E_OK,3548f7706d80fde5958de4058e222a4985f55e6b73bc772e6434ef907ed23782,ada395393dfd57054672d36d8f3aa742c78550ff409e1ebca7fbf73828aafa10,False,
