pipeline,s2,s3,s4,makespan,makespan_sched,cp_comm,max_load,edge_cut,load_imbalance,connected,valid,max_imem,imem_ok,n_gpus_used,omega,ratio_to_omega,time_s,error,error_code,asgn_hash,tb_hash,unique_hw_sim,tb_fname
2b|3d,2b,3d,,149,149,37.0,84,31,1.05041,True,True,141,True,32,96,1.5521,0.144,,E_OK,59532431273cb0c11e2de2f3db6bcb95e230d7291a42b8ac1afd7d57d356102f,343d4fbc517677e5bb51568f9cd5bbf573da99ea1ac6caef6c0cadc908b5ca7b,False,
2b|3e,2b,3e,,149,149,37.0,84,31,1.05041,True,True,141,True,32,96,1.5521,0.074,,E_OK,59532431273cb0c11e2de2f3db6bcb95e230d7291a42b8ac1afd7d57d356102f,343d4fbc517677e5bb51568f9cd5bbf573da99ea1ac6caef6c0cadc908b5ca7b,False,
2b|3b,2b,3b,,149,149,37.0,84,31,1.05041,True,True,141,True,32,96,1.5521,0.042,,E_OK,59532431273cb0c11e2de2f3db6bcb95e230d7291a42b8ac1afd7d57d356102f,343d4fbc517677e5bb51568f9cd5bbf573da99ea1ac6caef6c0cadc908b5ca7b,False,
2b|3i,2b,3i,,149,149,37.0,84,31,1.05041,True,True,141,True,32,96,1.5521,0.05,,E_OK,59532431273cb0c11e2de2f3db6bcb95e230d7291a42b8ac1afd7d57d356102f,343d4fbc517677e5bb51568f9cd5bbf573da99ea1ac6caef6c0cadc908b5ca7b,False,
2b|3j,2b,3j,,149,149,37.0,84,31,1.05041,True,True,141,True,32,96,1.5521,0.313,,E_OK,59532431273cb0c11e2de2f3db6bcb95e230d7291a42b8ac1afd7d57d356102f,343d4fbc517677e5bb51568f9cd5bbf573da99ea1ac6caef6c0cadc908b5ca7b,False,
2k|3a,2k,3a,,149,149,33.0,84,31,1.05041,True,True,141,True,32,96,1.5521,0.074,,E_OK,04f588f7e7444d8368c22671feacd13cc14ec3e86abf2a2bf938ef051e41aac8,7f2fa6e1db2357d876f4108e8cfb7f084c52ef234e5625ef33b77e07064e51f1,True,tb_2k_3a_none
2k|3b,2k,3b,,149,149,33.0,84,31,1.05041,True,True,141,True,32,96,1.5521,0.086,,E_OK,04f588f7e7444d8368c22671feacd13cc14ec3e86abf2a2bf938ef051e41aac8,7f2fa6e1db2357d876f4108e8cfb7f084c52ef234e5625ef33b77e07064e51f1,False,
2k|3c,2k,3c,,149,149,33.0,84,31,1.05041,True,True,140,True,32,96,1.5521,0.345,,E_OK,04f588f7e7444d8368c22671feacd13cc14ec3e86abf2a2bf938ef051e41aac8,2f1e13f0ef6ff755979644a2f16b056858eef3510338206cb67167a024ca020f,True,tb_2k_3c_none
2k|3d,2k,3d,,149,149,33.0,84,31,1.05041,True,True,141,True,32,96,1.5521,0.348,,E_OK,04f588f7e7444d8368c22671feacd13cc14ec3e86abf2a2bf938ef051e41aac8,7f2fa6e1db2357d876f4108e8cfb7f084c52ef234e5625ef33b77e07064e51f1,False,
2k|3i,2k,3i,,149,149,33.0,84,31,1.05041,True,True,141,True,32,96,1.5521,0.068,,E_OK,04f588f7e7444d8368c22671feacd13cc14ec3e86abf2a2bf938ef051e41aac8,7f2fa6e1db2357d876f4108e8cfb7f084c52ef234e5625ef33b77e07064e51f1,False,
2k|3j,2k,3j,,149,149,33.0,84,31,1.05041,True,True,141,True,32,96,1.5521,0.575,,E_OK,04f588f7e7444d8368c22671feacd13cc14ec3e86abf2a2bf938ef051e41aac8,7f2fa6e1db2357d876f4108e8cfb7f084c52ef234e5625ef33b77e07064e51f1,False,
2o|3a,2o,3a,,149,149,33.0,84,31,1.05041,True,True,141,True,32,96,1.5521,0.031,,E_OK,bfb3eed87338df3bb2f21384ae27048d314fcdee2b243acf1490031694e08e00,2c12251411e908329cec062c268a66773db159802b5dcca856f6855c1cc0f231,True,tb_2o_3a_none
2o|3b,2o,3b,,149,149,33.0,84,31,1.05041,True,True,141,True,32,96,1.5521,0.039,,E_OK,bfb3eed87338df3bb2f21384ae27048d314fcdee2b243acf1490031694e08e00,2c12251411e908329cec062c268a66773db159802b5dcca856f6855c1cc0f231,False,
