pipeline,s2,s3,s4,makespan,makespan_sched,cp_comm,max_load,edge_cut,load_imbalance,connected,valid,max_imem,imem_ok,n_gpus_used,omega,ratio_to_omega,time_s,error,error_code,asgn_hash,tb_hash,unique_hw_sim,tb_fname
2b|3b,2b,3b,,471,471,29.0,322,7,1.006643,True,True,464,True,8,384,1.2266,0.069,,E_OK,31899e6f1361a5ec45e3b895fcfed7b0e699bdce8fd7598db67f2348225456e9,42ccaf4fd6989cbb23b5c08778ea1ec16938ce30b2022296590f2976c578beb0,False,
2k|3b,2k,3b,,471,471,26.0,322,7,1.006643,True,True,464,True,8,384,1.2266,0.032,,E_OK,825e3e3aba5ba671d2794fe7e3efd1ec8e03cb7b7433245b39d367d8abeed1d8,ef11387e790e510c4f6e9aa2325ceb35a3d4d86a06b3ea1a66fdef7c9427fb6a,True,tb_2k_3b_none
2k|3i,2k,3i,,471,471,26.0,322,7,1.006643,True,True,464,True,8,384,1.2266,0.035,,E_OK,825e3e3aba5ba671d2794fe7e3efd1ec8e03cb7b7433245b39d367d8abeed1d8,ef11387e790e510c4f6e9aa2325ceb35a3d4d86a06b3ea1a66fdef7c9427fb6a,False,
2b|3i,2b,3i,,471,471,29.0,322,7,1.006643,True,True,462,True,8,384,1.2266,0.06,,E_OK,31899e6f1361a5ec45e3b895fcfed7b0e699bdce8fd7598db67f2348225456e9,5cd2a7afe2a1ff2a31f43df0a7e9e20fdc9311cf70754e3e93ed59053b0bcdbb,True,tb_2b_3i_none
2b|3d,2b,3d,,472,472,29.0,322,7,1.006643,True,True,465,True,8,384,1.2292,0.05,,E_OK,31899e6f1361a5ec45e3b895fcfed7b0e699bdce8fd7598db67f2348225456e9,1cd1e80aeb909f99e6ee549d4ef19bff2fceafd803598102ac1b9b1acb7bf115,False,
2k|3a,2k,3a,,472,472,26.0,322,7,1.006643,True,True,462,True,8,384,1.2292,0.033,,E_OK,825e3e3aba5ba671d2794fe7e3efd1ec8e03cb7b7433245b39d367d8abeed1d8,42c63d180d0b604fbd0d40b79aff72c6c112ddcc577bcd10cbd64babf3045c0a,True,tb_2k_3a_none
2k|3d,2k,3d,,472,472,26.0,322,7,1.006643,True,True,465,True,8,384,1.2292,0.056,,E_OK,825e3e3aba5ba671d2794fe7e3efd1ec8e03cb7b7433245b39d367d8abeed1d8,073ad931efe6ec343d77e3edbe33765ca55ce663cabab7dd7af57ed22d583f72,False,
2o|3b,2o,3b,,472,472,29.0,322,7,1.006643,True,True,465,True,8,384,1.2292,0.025,,E_OK,b6d2632da662a636d5ac41fea770f0da6a6981775ca13bed693fec80e616a5ae,dbd1428891f0b51d0d0fd30e1e8e22890343f76b3b01e62f35a7bc8b21890daf,False,
2o|3d,2o,3d,,472,472,29.0,322,7,1.006643,True,True,465,True,8,384,1.2292,0.049,,E_OK,b6d2632da662a636d5ac41fea770f0da6a6981775ca13bed693fec80e616a5ae,dbd1428891f0b51d0d0fd30e1e8e22890343f76b3b01e62f35a7bc8b21890daf,False,
2o|3j,2o,3j,,472,472,29.0,322,7,1.006643,True,True,465,True,8,384,1.2292,0.039,,E_OK,b6d2632da662a636d5ac41fea770f0da6a6981775ca13bed693fec80e616a5ae,dbd1428891f0b51d0d0fd30e1e8e22890343f76b3b01e62f35a7bc8b21890daf,False,
2k|3e,2k,3e,,472,472,26.0,322,7,1.006643,True,True,462,True,8,384,1.2292,0.022,,E_OK,825e3e3aba5ba671d2794fe7e3efd1ec8e03cb7b7433245b39d367d8abeed1d8,42c63d180d0b604fbd0d40b79aff72c6c112ddcc577bcd10cbd64babf3045c0a,False,
2k|3g,2k,3g,,472,472,26.0,322,7,1.006643,True,True,462,True,8,384,1.2292,0.027,,E_OK,825e3e3aba5ba671d2794fe7e3efd1ec8e03cb7b7433245b39d367d8abeed1d8,42c63d180d0b604fbd0d40b79aff72c6c112ddcc577bcd10cbd64babf3045c0a,False,
2k|3h,2k,3h,,472,472,26.0,322,7,1.006643,True,True,465,True,8,384,1.2292,1.453,,E_OK,825e3e3aba5ba671d2794fe7e3efd1ec8e03cb7b7433245b39d367d8abeed1d8,073ad931efe6ec343d77e3edbe33765ca55ce663cabab7dd7af57ed22d583f72,False,
2b|3h,2b,3h,,472,472,29.0,322,7,1.006643,True,True,465,True,8,384,1.2292,2.735,,E_OK,31899e6f1361a5ec45e3b895fcfed7b0e699bdce8fd7598db67f2348225456e9,1cd1e80aeb909f99e6ee549d4ef19bff2fceafd803598102ac1b9b1acb7bf115,False,
2b|3j,2b,3j,,472,472,29.0,322,7,1.006643,True,True,465,True,8,384,1.2292,0.068,,E_OK,31899e6f1361a5ec45e3b895fcfed7b0e699bdce8fd7598db67f2348225456e9,1cd1e80aeb909f99e6ee549d4ef19bff2fceafd803598102ac1b9b1acb7bf115,False,
2o|3h,2o,3h,,472,472,29.0,322,7,1.006643,True,True,465,True,8,384,1.2292,1.484,,E_OK,b6d2632da662a636d5ac41fea770f0da6a6981775ca13bed693fec80e616a5ae,dbd1428891f0b51d0d0fd30e1e8e22890343f76b3b01e62f35a7bc8b21890daf,False,
2b|3e,2b,3e,,473,473,29.0,322,7,1.006643,True,True,464,True,8,384,1.2318,0.028,,E_OK,31899e6f1361a5ec45e3b895fcfed7b0e699bdce8fd7598db67f2348225456e9,42ccaf4fd6989cbb23b5c08778ea1ec16938ce30b2022296590f2976c578beb0,True,tb_2b_3e_none
2k|3j,2k,3j,,473,473,26.0,322,7,1.006643,True,True,465,True,8,384,1.2318,0.037,,E_OK,825e3e3aba5ba671d2794fe7e3efd1ec8e03cb7b7433245b39d367d8abeed1d8,073ad931efe6ec343d77e3edbe33765ca55ce663cabab7dd7af57ed22d583f72,False,
2b|3c,2b,3c,,475,475,29.0,322,7,1.006643,True,True,465,True,8,384,1.237,0.027,,E_OK,31899e6f1361a5ec45e3b895fcfed7b0e699bdce8fd7598db67f2348225456e9,1cd1e80aeb909f99e6ee549d4ef19bff2fceafd803598102ac1b9b1acb7bf115,True,tb_2b_3c_none
2b|3f,2b,3f,,475,475,29.0,322,7,1.006643,True,True,465,True,8,384,1.237,0.025,,E_OK,31899e6f1361a5ec45e3b895fcfed7b0e699bdce8fd7598db67f2348225456e9,1cd1e80aeb909f99e6ee549d4ef19bff2fceafd803598102ac1b9b1acb7bf115,False,
2b|3a,2b,3a,,475,475,29.0,322,7,1.006643,True,True,465,True,8,384,1.237,0.035,,E_OK,31899e6f1361a5ec45e3b895fcfed7b0e699bdce8fd7598db67f2348225456e9,1cd1e80aeb909f99e6ee549d4ef19bff2fceafd803598102ac1b9b1acb7bf115,False,
2k|3c,2k,3c,,475,475,26.0,322,7,1.006643,True,True,465,True,8,384,1.237,0.033,,E_OK,825e3e3aba5ba671d2794fe7e3efd1ec8e03cb7b7433245b39d367d8abeed1d8,073ad931efe6ec343d77e3edbe33765ca55ce663cabab7dd7af57ed22d583f72,True,tb_2k_3c_none
2o|3a,2o,3a,,475,475,29.0,322,7,1.006643,True,True,465,True,8,384,1.237,0.025,,E_OK,b6d2632da662a636d5ac41fea770f0da6a6981775ca13bed693fec80e616a5ae,dbd1428891f0b51d0d0fd30e1e8e22890343f76b3b01e62f35a7bc8b21890daf,True,tb_2o_3a_none
2o|3c,2o,3c,,475,475,29.0,322,7,1.006643,True,True,465,True,8,384,1.237,0.025,,E_OK,b6d2632da662a636d5ac41fea770f0da6a6981775ca13bed693fec80e616a5ae,dbd1428891f0b51d0d0fd30e1e8e22890343f76b3b01e62f35a7bc8b21890daf,False,
2b|3g,2b,3g,,475,475,29.0,322,7,1.006643,True,True,465,True,8,384,1.237,0.04,,E_OK,31899e6f1361a5ec45e3b895fcfed7b0e699bdce8fd7598db67f2348225456e9,1cd1e80aeb909f99e6ee549d4ef19bff2fceafd803598102ac1b9b1acb7bf115,False,
