pipeline,s2,s3,s4,makespan,makespan_sched,cp_comm,max_load,edge_cut,load_imbalance,connected,valid,max_imem,imem_ok,n_gpus_used,omega,ratio_to_omega,time_s,error,error_code,asgn_hash,tb_hash,unique_hw_sim,tb_fname
2p|3i,2p,3i,,170,170,292.0,19,255,1.900742,True,True,45,True,256,82,2.0732,5.69,,E_OK,ed19bfcf2945b2f5fddab5b52ba44847091af32391777809087d08a13fb05b48,d1dcafcccfe6a9289934cca37e1273a6b5c8908509270622105d04a8d1d6687e,True,tb_2p_3i_none
2b|3e,2b,3e,,172,172,292.0,17,255,1.700664,True,True,39,True,256,82,2.0976,5.705,,E_OK,cee862367fa2e1c5604612b5230eeff6b5f9319d7167813717ea46e641146d4b,ca43eeebd3e4b3a2cbbe32677879478e1eefce6eff20f4ae41010a0fce16431a,True,tb_2b_3e_none
2b|3i,2b,3i,,172,172,292.0,17,255,1.700664,True,True,41,True,256,82,2.0976,6.766,,E_OK,cee862367fa2e1c5604612b5230eeff6b5f9319d7167813717ea46e641146d4b,9a8379fd324632ebf7a7be5539354b879d5c734ae6351139a735cf91e8cbfc2d,True,tb_2b_3i_none
2p|3b,2p,3b,,175,175,292.0,19,255,1.900742,True,True,39,True,256,82,2.1341,0.499,,E_OK,ed19bfcf2945b2f5fddab5b52ba44847091af32391777809087d08a13fb05b48,b4fce79db50df60d4008c464a4164192791b4b26eec4fc7476f4ba6f4c9d81ee,True,tb_2p_3b_none
2b|3b,2b,3b,,178,178,292.0,17,255,1.700664,True,True,39,True,256,82,2.1707,1.032,,E_OK,cee862367fa2e1c5604612b5230eeff6b5f9319d7167813717ea46e641146d4b,753c208e35c8603188fc32f5f3a8fe42c6433cfb7a5a37df3b5d58c0d11fe158,True,tb_2b_3b_none
2p|3e,2p,3e,,180,180,292.0,19,255,1.900742,True,True,39,True,256,82,2.1951,2.319,,E_OK,ed19bfcf2945b2f5fddab5b52ba44847091af32391777809087d08a13fb05b48,9b8e9fdf4ca4eac6f600677d417628edffb296d62ef5918d87a4b65cdeaf158e,True,tb_2p_3e_none
2g|3a,2g,3a,,180,180,155.0,18,272,1.800703,False,True,40,True,256,82,2.1951,3.213,,E_OK,295f47cdf8f2e39aa46eb0044b9aa1c6e3e8493e494bd1b82706b27907f307d5,97922c0305f3661e721edcc05724417ebb002b20f8ed2628c50e11035263eb4f,True,tb_2g_3a_none
2g|3g,2g,3g,,180,180,155.0,18,272,1.800703,False,True,40,True,256,82,2.1951,1.794,,E_OK,295f47cdf8f2e39aa46eb0044b9aa1c6e3e8493e494bd1b82706b27907f307d5,97922c0305f3661e721edcc05724417ebb002b20f8ed2628c50e11035263eb4f,False,
2l|3b,2l,3b,,183,183,277.0,19,255,1.900742,True,True,28,True,256,82,2.2317,0.874,,E_OK,637cf3ed962d5324a0ace977fd33ee98c7e08c2c18377f639aee0a0c62e49018,63814187ab414556105a885f575040ef94e46de22ef9efadefceed64e7d70f61,True,tb_2l_3b_none
2l|3j,2l,3j,,185,185,277.0,19,255,1.900742,True,True,31,True,256,82,2.2561,212.041,,E_OK,637cf3ed962d5324a0ace977fd33ee98c7e08c2c18377f639aee0a0c62e49018,489ed84493e649336d3fed17a468a35e1d797ee558a89071da86cba222b12792,True,tb_2l_3j_none
2l|3e,2l,3e,,186,186,277.0,19,255,1.900742,True,True,28,True,256,82,2.2683,4.729,,E_OK,637cf3ed962d5324a0ace977fd33ee98c7e08c2c18377f639aee0a0c62e49018,63814187ab414556105a885f575040ef94e46de22ef9efadefceed64e7d70f61,False,
2g|3b,2g,3b,,186,186,155.0,18,272,1.800703,False,True,28,True,256,82,2.2683,3.104,,E_OK,295f47cdf8f2e39aa46eb0044b9aa1c6e3e8493e494bd1b82706b27907f307d5,dda42d87c104e9eddc2565cfa5099918a14099637e64121a62b895837aab5205,True,tb_2g_3b_none
2g|3d,2g,3d,,187,187,155.0,18,272,1.800703,False,True,30,True,256,82,2.2805,3.567,,E_OK,295f47cdf8f2e39aa46eb0044b9aa1c6e3e8493e494bd1b82706b27907f307d5,29ab315cb5fc3fe709c9efb34c3ca28b29a68ec6e89edae3e238993e9e4a9088,True,tb_2g_3d_none
2g|3j,2g,3j,,190,190,155.0,18,272,1.800703,False,True,30,True,256,82,2.3171,212.634,,E_OK,295f47cdf8f2e39aa46eb0044b9aa1c6e3e8493e494bd1b82706b27907f307d5,07091eee0461614017648bd6feb3889d8943d785a539afad1460313eda535d6f,True,tb_2g_3j_none
2j|3f,2j,3f,,199,199,287.0,19,255,1.900742,True,True,28,True,256,82,2.4268,0.372,,E_OK,c52b5586bd1f2b2716cf50b673ca6167336ab31e465e7dfe82273623daa1997d,b5d4fa122fb3fdb4b650b6f6b42b4dbcfc8d5ece6299a2d6e147ca3959f42e2a,False,
2g|3e,2g,3e,,199,199,155.0,18,272,1.800703,False,True,28,True,256,82,2.4268,5.593,,E_OK,295f47cdf8f2e39aa46eb0044b9aa1c6e3e8493e494bd1b82706b27907f307d5,abe9c9d2dbf950dcf1daf07ef6710eac4a9e66c7bea50fb0e7ed9c873bc57b07,True,tb_2g_3e_none
2o|3i,2o,3i,,200,200,292.0,17,255,1.700664,True,True,61,True,256,82,2.439,9.44,,E_OK,7c95b9848fda3a77bc5a80f75c7aa8cd9c615ae125af7fb0cad7befe3a827e08,3a5d8aa7c3636bb4b9c3925836e3e4a0fd0b6b067ea0289970dbf1638b55cb4f,True,tb_2o_3i_none
