pipeline,s2,s3,s4,makespan,makespan_sched,cp_comm,max_load,edge_cut,load_imbalance,connected,valid,max_imem,imem_ok,n_gpus_used,omega,ratio_to_omega,time_s,error,error_code,asgn_hash,tb_hash,unique_hw_sim,tb_fname
2b|3e,2b,3e,,149,149,40.0,83,31,1.062825,True,True,136,True,32,96,1.5521,0.132,,E_OK,8c05ba75108cf3c890d2af1a300a43c64a52085551376b9f82823b84b5ba4e38,07b95bfbc92e44fefc333ed3fb7f3b191a2e3dcf873e8aecbc7a679f7926ca42,True,tb_2b_3e_none
2b|3b,2b,3b,,149,149,40.0,83,31,1.062825,True,True,136,True,32,96,1.5521,0.085,,E_OK,8c05ba75108cf3c890d2af1a300a43c64a52085551376b9f82823b84b5ba4e38,ceaa317079f371e48e3909a0ac41ce28199987ec86e1db635797fc37bd458062,True,tb_2b_3b_none
2b|3i,2b,3i,,149,149,40.0,83,31,1.062825,True,True,136,True,32,96,1.5521,0.059,,E_OK,8c05ba75108cf3c890d2af1a300a43c64a52085551376b9f82823b84b5ba4e38,ceaa317079f371e48e3909a0ac41ce28199987ec86e1db635797fc37bd458062,False,
2b|3j,2b,3j,,150,150,40.0,83,31,1.062825,True,True,136,True,32,96,1.5625,0.4,,E_OK,8c05ba75108cf3c890d2af1a300a43c64a52085551376b9f82823b84b5ba4e38,22680a9aaf0ff887afafb67e44f30792fd6da2d476faf2189c58680c2ea1e08a,True,tb_2b_3j_none
2b|3d,2b,3d,,151,151,40.0,83,31,1.062825,True,True,136,True,32,96,1.5729,0.306,,E_OK,8c05ba75108cf3c890d2af1a300a43c64a52085551376b9f82823b84b5ba4e38,b95823d3984747ba0e33a709805ca6952d7c18db6477201c38816d333c347084,True,tb_2b_3d_none
2b|3c,2b,3c,,152,152,40.0,83,31,1.062825,True,True,133,True,32,96,1.5833,0.328,,E_OK,8c05ba75108cf3c890d2af1a300a43c64a52085551376b9f82823b84b5ba4e38,bcab84cca7576fb923774ffb9ae75f5a7cc186dc8feee67211e1dbacef468b27,True,tb_2b_3c_none
2b|3g,2b,3g,,152,152,40.0,83,31,1.062825,True,True,132,True,32,96,1.5833,0.091,,E_OK,8c05ba75108cf3c890d2af1a300a43c64a52085551376b9f82823b84b5ba4e38,31d3a2c51cbea859d00fd667ccdac3de7e68706a2c7b4395cb817373a674b7c2,True,tb_2b_3g_none
2l|3b,2l,3b,,152,152,22.0,99,31,1.267707,True,True,140,True,32,96,1.5833,0.04,,E_OK,b1ca18c0aa8a4b1052f9b408a2a224a304bc7dfbf807856786e0cb2b2a063e08,6a723b835fc898341c6e3fa9158aee69f13cdb84ed1cd0101a7d7f0a4aff9465,False,
2l|3d,2l,3d,,152,152,22.0,99,31,1.267707,True,True,140,True,32,96,1.5833,0.263,,E_OK,b1ca18c0aa8a4b1052f9b408a2a224a304bc7dfbf807856786e0cb2b2a063e08,6a723b835fc898341c6e3fa9158aee69f13cdb84ed1cd0101a7d7f0a4aff9465,False,
2l|3e,2l,3e,,152,152,22.0,99,31,1.267707,True,True,140,True,32,96,1.5833,0.139,,E_OK,b1ca18c0aa8a4b1052f9b408a2a224a304bc7dfbf807856786e0cb2b2a063e08,6a723b835fc898341c6e3fa9158aee69f13cdb84ed1cd0101a7d7f0a4aff9465,False,
2l|3i,2l,3i,,152,152,22.0,99,31,1.267707,True,True,140,True,32,96,1.5833,0.041,,E_OK,b1ca18c0aa8a4b1052f9b408a2a224a304bc7dfbf807856786e0cb2b2a063e08,6a723b835fc898341c6e3fa9158aee69f13cdb84ed1cd0101a7d7f0a4aff9465,False,
2l|3j,2l,3j,,152,152,22.0,99,31,1.267707,True,True,140,True,32,96,1.5833,0.281,,E_OK,b1ca18c0aa8a4b1052f9b408a2a224a304bc7dfbf807856786e0cb2b2a063e08,6a723b835fc898341c6e3fa9158aee69f13cdb84ed1cd0101a7d7f0a4aff9465,False,
2l|3c,2l,3c,,153,153,22.0,99,31,1.267707,True,True,140,True,32,96,1.5938,0.422,,E_OK,b1ca18c0aa8a4b1052f9b408a2a224a304bc7dfbf807856786e0cb2b2a063e08,c68266a164618e86b69e7e87334e82c5cab3d0c90ab716e00fddc84639f37fad,True,tb_2l_3c_none
2l|3f,2l,3f,,153,153,22.0,99,31,1.267707,True,True,140,True,32,96,1.5938,0.042,,E_OK,b1ca18c0aa8a4b1052f9b408a2a224a304bc7dfbf807856786e0cb2b2a063e08,c68266a164618e86b69e7e87334e82c5cab3d0c90ab716e00fddc84639f37fad,False,
2b|3h,2b,3h,,154,154,40.0,83,31,1.062825,True,True,136,True,32,96,1.6042,4.517,,E_OK,8c05ba75108cf3c890d2af1a300a43c64a52085551376b9f82823b84b5ba4e38,86d44e314bd861e7f15f1b1b7147105c5bd1b7415ef60ec77ed02d6d09d58513,True,tb_2b_3h_none
