pipeline,s2,s3,s4,makespan,makespan_sched,cp_comm,max_load,edge_cut,load_imbalance,connected,valid,max_imem,imem_ok,n_gpus_used,omega,ratio_to_omega,time_s,error,error_code,asgn_hash,tb_hash,unique_hw_sim,tb_fname
2b|3b,2b,3b,,106,106,109.0,29,1023,1.450071,True,True,75,True,1024,36,2.9444,13.547,,E_OK,deb4d2ccc75761b98c332ac3bcd79e76a9ceab39828cc7986ee819a7da97e7a7,721cbcf231a44f6251ed7139888f62bb638a97fd5f7e03f87ac8af9ed618e31e,True,tb_2b_3b_none
2b|3e,2b,3e,,108,108,109.0,29,1023,1.450071,True,True,76,True,1024,36,3.0,33.343,,E_OK,deb4d2ccc75761b98c332ac3bcd79e76a9ceab39828cc7986ee819a7da97e7a7,a6e368bedace15763e677639fcf9e210bd675d2758f23ff177b008031eae7ce6,True,tb_2b_3e_none
2b|3i,2b,3i,,108,108,109.0,29,1023,1.450071,True,True,75,True,1024,36,3.0,96.381,,E_OK,deb4d2ccc75761b98c332ac3bcd79e76a9ceab39828cc7986ee819a7da97e7a7,cd3953bd6d03f0969df5f8fe999023f3fa756299c5e456530407001b13f3d718,True,tb_2b_3i_none
2p|3b,2p,3b,,127,127,104.0,39,1023,1.950095,True,True,79,True,1024,36,3.5278,11.316,,E_OK,e2eae67a2381bb8adf5729f206093f903c8e1d580fc8e5c17575d9840cd36427,e79d8a692611b2320f041d2b781b79a186b6da6a8a5115c481726019845ad543,True,tb_2p_3b_none
2o|3i,2o,3i,,128,128,108.0,29,1023,1.450071,True,True,86,True,1024,36,3.5556,92.661,,E_OK,48a1faf517c681ec2cd66e5f2cc2a0e17605a7d6f65a6b21cb8c1f8a3fb1bed7,e3b5fc41070d9f114153a59eef3d5531e6e8bf3a4eb0862e50a9b6926b15ab2f,True,tb_2o_3i_none
2b|3j,2b,3j,,129,129,109.0,29,1023,1.450071,True,True,74,True,1024,36,3.5833,14.532,,E_OK,deb4d2ccc75761b98c332ac3bcd79e76a9ceab39828cc7986ee819a7da97e7a7,fff42a5d6738b2113c407628100ec7e5b3f48e27c1e1165000629dd200027aab,True,tb_2b_3j_none
2o|3b,2o,3b,,129,129,108.0,29,1023,1.450071,True,True,87,True,1024,36,3.5833,11.065,,E_OK,48a1faf517c681ec2cd66e5f2cc2a0e17605a7d6f65a6b21cb8c1f8a3fb1bed7,77d378c9c2e8028dcb4a8cdc86b96f7974406dcd9c64183d48cde4491f0cc32d,True,tb_2o_3b_none
2p|3e,2p,3e,,130,130,104.0,39,1023,1.950095,True,True,78,True,1024,36,3.6111,29.813,,E_OK,e2eae67a2381bb8adf5729f206093f903c8e1d580fc8e5c17575d9840cd36427,4ed9f0c4cde6e32ea32dc1c3bbe7d9b02d86948e0ba55f6d415653992d0661bd,True,tb_2p_3e_none
2p|3i,2p,3i,,130,130,104.0,39,1023,1.950095,True,True,71,True,1024,36,3.6111,91.979,,E_OK,e2eae67a2381bb8adf5729f206093f903c8e1d580fc8e5c17575d9840cd36427,153c0cb78b74f5cbaef38541a574224c19e06e7e8b3bd9c2a39cbd807926a1c5,True,tb_2p_3i_none
2o|3e,2o,3e,,131,131,108.0,29,1023,1.450071,True,True,86,True,1024,36,3.6389,35.794,,E_OK,48a1faf517c681ec2cd66e5f2cc2a0e17605a7d6f65a6b21cb8c1f8a3fb1bed7,bacabe6f1cc5cc9fbb4b71f55cc9b9898b2192337bbe5c73d052a9253dab80fa,True,tb_2o_3e_none
