pipeline,s2,s3,s4,makespan,makespan_sched,cp_comm,max_load,edge_cut,load_imbalance,connected,valid,max_imem,imem_ok,n_gpus_used,omega,ratio_to_omega,time_s,error,error_code,asgn_hash,tb_hash,unique_hw_sim,tb_fname
2b|3d,2b,3d,,121,121,76.0,48,511,1.200059,True,True,109,True,512,48,2.5208,3.806,,E_OK,a4a2978f6beb24a64df6ae36be7c7de647fcfb0215153812c6af716788289114,770e95d2cc53136b0f7587ec714f2d2eb2244812fd467279f82b9102d85d1cff,True,tb_2b_3d_none
2b|3e,2b,3e,,121,121,76.0,48,511,1.200059,True,True,109,True,512,48,2.5208,5.699,,E_OK,a4a2978f6beb24a64df6ae36be7c7de647fcfb0215153812c6af716788289114,770e95d2cc53136b0f7587ec714f2d2eb2244812fd467279f82b9102d85d1cff,False,
2b|3i,2b,3i,,121,121,76.0,48,511,1.200059,True,True,109,True,512,48,2.5208,15.713,,E_OK,a4a2978f6beb24a64df6ae36be7c7de647fcfb0215153812c6af716788289114,770e95d2cc53136b0f7587ec714f2d2eb2244812fd467279f82b9102d85d1cff,False,
2b|3j,2b,3j,,121,121,76.0,48,511,1.200059,True,True,109,True,512,48,2.5208,358.452,,E_OK,a4a2978f6beb24a64df6ae36be7c7de647fcfb0215153812c6af716788289114,770e95d2cc53136b0f7587ec714f2d2eb2244812fd467279f82b9102d85d1cff,False,
2b|3b,2b,3b,,121,121,76.0,48,511,1.200059,True,True,109,True,512,48,2.5208,3.822,,E_OK,a4a2978f6beb24a64df6ae36be7c7de647fcfb0215153812c6af716788289114,770e95d2cc53136b0f7587ec714f2d2eb2244812fd467279f82b9102d85d1cff,False,
2o|3a,2o,3a,,121,121,52.0,48,511,1.200059,True,True,109,True,512,48,2.5208,3.983,,E_OK,1f02410556eae0d25f90ef64ec59072e0623f4f08f7b7f9135c4c3f7b2757b65,88fedb2773605482d3e21a9523b7f9cde857160edf53a550b31bc2c3eef03ecc,True,tb_2o_3a_none
2o|3b,2o,3b,,121,121,52.0,48,511,1.200059,True,True,109,True,512,48,2.5208,3.697,,E_OK,1f02410556eae0d25f90ef64ec59072e0623f4f08f7b7f9135c4c3f7b2757b65,88fedb2773605482d3e21a9523b7f9cde857160edf53a550b31bc2c3eef03ecc,False,
2o|3c,2o,3c,,121,121,52.0,48,511,1.200059,True,True,109,True,512,48,2.5208,4.358,,E_OK,1f02410556eae0d25f90ef64ec59072e0623f4f08f7b7f9135c4c3f7b2757b65,88fedb2773605482d3e21a9523b7f9cde857160edf53a550b31bc2c3eef03ecc,False,
2o|3d,2o,3d,,121,121,52.0,48,511,1.200059,True,True,109,True,512,48,2.5208,3.839,,E_OK,1f02410556eae0d25f90ef64ec59072e0623f4f08f7b7f9135c4c3f7b2757b65,88fedb2773605482d3e21a9523b7f9cde857160edf53a550b31bc2c3eef03ecc,False,
2o|3e,2o,3e,,121,121,52.0,48,511,1.200059,True,True,109,True,512,48,2.5208,5.995,,E_OK,1f02410556eae0d25f90ef64ec59072e0623f4f08f7b7f9135c4c3f7b2757b65,88fedb2773605482d3e21a9523b7f9cde857160edf53a550b31bc2c3eef03ecc,False,
2o|3f,2o,3f,,121,121,52.0,48,511,1.200059,True,True,109,True,512,48,2.5208,2.947,,E_OK,1f02410556eae0d25f90ef64ec59072e0623f4f08f7b7f9135c4c3f7b2757b65,88fedb2773605482d3e21a9523b7f9cde857160edf53a550b31bc2c3eef03ecc,False,
2o|3i,2o,3i,,121,121,52.0,48,511,1.200059,True,True,109,True,512,48,2.5208,16.832,,E_OK,1f02410556eae0d25f90ef64ec59072e0623f4f08f7b7f9135c4c3f7b2757b65,88fedb2773605482d3e21a9523b7f9cde857160edf53a550b31bc2c3eef03ecc,False,
2o|3j,2o,3j,,121,121,52.0,48,511,1.200059,True,True,109,True,512,48,2.5208,351.304,,E_OK,1f02410556eae0d25f90ef64ec59072e0623f4f08f7b7f9135c4c3f7b2757b65,88fedb2773605482d3e21a9523b7f9cde857160edf53a550b31bc2c3eef03ecc,False,
2o|3g,2o,3g,,129,129,52.0,48,511,1.200059,True,True,109,True,512,48,2.6875,3.025,,E_OK,1f02410556eae0d25f90ef64ec59072e0623f4f08f7b7f9135c4c3f7b2757b65,88fedb2773605482d3e21a9523b7f9cde857160edf53a550b31bc2c3eef03ecc,False,
2b|3c,2b,3c,,133,133,76.0,48,511,1.200059,True,True,106,True,512,48,2.7708,5.018,,E_OK,a4a2978f6beb24a64df6ae36be7c7de647fcfb0215153812c6af716788289114,854dff6026d5c853205451a8c18fba6aef0b75dded66c65535ccdc8930d53344,True,tb_2b_3c_none
2b|3g,2b,3g,,137,137,76.0,48,511,1.200059,True,True,105,True,512,48,2.8542,2.968,,E_OK,a4a2978f6beb24a64df6ae36be7c7de647fcfb0215153812c6af716788289114,b6dfae689303b235d4d080eda9599e2dd79ca8ace6ab480ffc8c01737ebed035,True,tb_2b_3g_none
2b|3f,2b,3f,,140,140,76.0,48,511,1.200059,True,True,104,True,512,48,2.9167,3.642,,E_OK,a4a2978f6beb24a64df6ae36be7c7de647fcfb0215153812c6af716788289114,7176f3fe3d74cfadc15653bba1a98e12fafcec571b3b35af4dd4860252e1d0b2,True,tb_2b_3f_none
2b|3a,2b,3a,,145,145,76.0,48,511,1.200059,True,True,109,True,512,48,3.0208,3.068,,E_OK,a4a2978f6beb24a64df6ae36be7c7de647fcfb0215153812c6af716788289114,0db91e6124ccde2efdefad2c9df62b36c135063ad0b2da88ba3888f2f0237409,True,tb_2b_3a_none
2b|3h,2b,3h,,146,146,76.0,48,511,1.200059,True,True,104,True,512,48,3.0417,23.023,,E_OK,a4a2978f6beb24a64df6ae36be7c7de647fcfb0215153812c6af716788289114,c74985b3a88ab79f8e83ce997a349a87ca533b78b6c6c0c70c53acfa403f112a,True,tb_2b_3h_none
2o|3h,2o,3h,,146,146,52.0,48,511,1.200059,True,True,104,True,512,48,3.0417,23.52,,E_OK,1f02410556eae0d25f90ef64ec59072e0623f4f08f7b7f9135c4c3f7b2757b65,ba1768251b35aef783bb9d53a5434e3ebdedcf4a4d3a5d9281eee8921a63db94,True,tb_2o_3h_none
2g|3a,2g,3a,,167,167,36.0,60,3782,1.500073,False,True,71,True,512,48,3.4792,63.953,,E_OK,9457327fa2ba9e31a9ad3c4e63ca6667647e3280e8f852eb24dd5e34d75514a1,fd139bf631bf4cd4f44c758d8597d7d41e28ba903629649a62c041cd68f135ce,True,tb_2g_3a_none
2g|3g,2g,3g,,168,168,36.0,60,3782,1.500073,False,True,71,True,512,48,3.5,70.299,,E_OK,9457327fa2ba9e31a9ad3c4e63ca6667647e3280e8f852eb24dd5e34d75514a1,e4e1e9dbdeee91eae03c47f90fac3fa220728992b96bbce4acecfc6667d51b73,True,tb_2g_3g_none
2g|3f,2g,3f,,169,169,36.0,60,3782,1.500073,False,True,71,True,512,48,3.5208,83.083,,E_OK,9457327fa2ba9e31a9ad3c4e63ca6667647e3280e8f852eb24dd5e34d75514a1,4cb69ea6d75cca7ec4da65882fa808b8363a17593ee1813d8fb2455a8c1b97d9,True,tb_2g_3f_none
