pipeline,s2,s3,s4,makespan,makespan_sched,cp_comm,max_load,edge_cut,load_imbalance,connected,valid,max_imem,imem_ok,n_gpus_used,omega,ratio_to_omega,time_s,error,error_code,asgn_hash,tb_hash,unique_hw_sim,tb_fname
2o|3e,2o,3e,,38,38,83.0,20,2047,2.000098,True,True,35,True,2048,23,1.6522,38.255,,E_OK,7fe4c9bfa4b38f2d5b60a48a6d1482043d1e8d69343558e7b3efcaff3026a245,2f5cabe8844ed4d9be6b08b585cc593fdbf28677d8c8706d6b7eb125ad6666ec,True,tb_2o_3e_none
2b|3e,2b,3e,,42,42,83.0,19,2047,1.900093,True,True,32,True,2048,23,1.8261,38.544,,E_OK,ff6fff21f4822941657e980881f9cac3088b5cb16eeacd81b2db1794cf2fcbcf,424768d8dc322ff26e47c233036cf87992e893ab79504cfd4d2bb0b8651aa277,True,tb_2b_3e_none
2p|3e,2p,3e,,42,42,83.0,19,2047,1.900093,True,True,32,True,2048,23,1.8261,33.571,,E_OK,64e68627fec71f43c4f1d3f825cc1c3e4f5acde412c8b5934137605cad3b0d83,fcafc007efb604b825134d9b93c8ed9e547d4b3c2f0fb3e2823c5290785d1e0f,True,tb_2p_3e_none
2a|3e,2a,3e,,49,49,81.0,31,4094,3.100151,False,True,45,True,2048,23,2.1304,37.931,,E_OK,454d30ba19766340177611e8a80527133cb93d774cbc9fa9c812d562a8658b90,a713e280ce60a3c98f9693a836b1c2ee39f48e26d369d30bd3c8175f830a2370,True,tb_2a_3e_none
2m|3e,2m,3e,,49,49,81.0,31,4094,3.100151,False,True,45,True,2048,23,2.1304,39.06,,E_OK,454d30ba19766340177611e8a80527133cb93d774cbc9fa9c812d562a8658b90,a713e280ce60a3c98f9693a836b1c2ee39f48e26d369d30bd3c8175f830a2370,False,
2j|3e,2j,3e,,62,62,78.0,19,2047,1.900093,True,True,28,True,2048,23,2.6957,36.711,,E_OK,347bb388342423b7e40067b70e22cc8ee8dee35bd86abe2d55181d862ae32269,a3e30f80faa9120870a1f26405ba2d3bf10b50f6618ce5fa9d7b5e653740e9f9,True,tb_2j_3e_none
2l|3e,2l,3e,,82,82,44.0,19,2047,1.900093,True,True,28,True,2048,23,3.5652,33.975,,E_OK,28b51310644701032509789b36ff3942f6ae84131b6e579266b708b0bba86e86,0b4dca342853e0166f301d0bbc976126afcf85314fb0aedf27026d791ea6b239,True,tb_2l_3e_none
2l|3c,2l,3c,,86,86,44.0,19,2047,1.900093,True,True,28,True,2048,23,3.7391,21.622,,E_OK,28b51310644701032509789b36ff3942f6ae84131b6e579266b708b0bba86e86,247162eb5f798231e8029d9c720685ef940b3f4a2d0f7d6370002e6a35a4a8c9,True,tb_2l_3c_none
2l|3b,2l,3b,,86,86,44.0,19,2047,1.900093,True,True,28,True,2048,23,3.7391,35.199,,E_OK,28b51310644701032509789b36ff3942f6ae84131b6e579266b708b0bba86e86,1537ee4c461d8885db1401a01560a925df0899ae97c0e8ff39d77b3f4b6dc14e,False,
2l|3i,2l,3i,,86,86,44.0,19,2047,1.900093,True,True,28,True,2048,23,3.7391,276.687,,E_OK,28b51310644701032509789b36ff3942f6ae84131b6e579266b708b0bba86e86,1537ee4c461d8885db1401a01560a925df0899ae97c0e8ff39d77b3f4b6dc14e,False,
