pipeline,s2,s3,s4,makespan,makespan_sched,cp_comm,max_load,edge_cut,load_imbalance,connected,valid,max_imem,imem_ok,n_gpus_used,omega,ratio_to_omega,time_s,error,error_code,asgn_hash,tb_hash,unique_hw_sim,tb_fname
2o|3e,2o,3e,,238,238,53.0,163,127,1.391026,True,True,231,True,128,144,1.6528,0.538,,E_OK,afd9a35bbc8fa4f82e99ec4b31b8937ab82b645bb0f3bb73f6b5550b1950f815,33ada2811a5a5b218521b6b7d6977f269925695e8879934b8a67a121d6a009aa,True,tb_2o_3e_none
2b|3e,2b,3e,,249,249,59.0,160,127,1.365424,True,True,226,True,128,144,1.7292,0.489,,E_OK,35f706f85024682badcac259b3c352380e2d9912b1a7345b0e2cc6ea0d9c556e,3041d014cfbfe43ae81aa47b08fb12b289d39864500ef29bb66c3393e4b98e52,True,tb_2b_3e_none
2p|3e,2p,3e,,251,251,54.0,160,127,1.365424,True,True,226,True,128,144,1.7431,0.62,,E_OK,66296519ba138376fcd770d97125d44eefbb39b717967e790bb1e3a98f0de4fa,c2d01147606f4040c602ebb156c239466d058d063374698e30b8502166271917,True,tb_2p_3e_none
2o|3b,2o,3b,,278,278,53.0,163,127,1.391026,True,True,243,True,128,144,1.9306,0.447,,E_OK,afd9a35bbc8fa4f82e99ec4b31b8937ab82b645bb0f3bb73f6b5550b1950f815,7071c72a565035040d5ea7d080c6bd1cf9a1a2f3e2b87fd28bb72a127d35aa2b,False,
2o|3d,2o,3d,,278,278,53.0,163,127,1.391026,True,True,243,True,128,144,1.9306,1.142,,E_OK,afd9a35bbc8fa4f82e99ec4b31b8937ab82b645bb0f3bb73f6b5550b1950f815,17324b26d16529c0b83f47e1e66fd9216c284112c54764bf44c2e285645e1ca0,True,tb_2o_3d_none
2o|3i,2o,3i,,278,278,53.0,163,127,1.391026,True,True,243,True,128,144,1.9306,0.998,,E_OK,afd9a35bbc8fa4f82e99ec4b31b8937ab82b645bb0f3bb73f6b5550b1950f815,7071c72a565035040d5ea7d080c6bd1cf9a1a2f3e2b87fd28bb72a127d35aa2b,False,
2o|3j,2o,3j,,278,278,53.0,163,127,1.391026,True,True,243,True,128,144,1.9306,25.989,,E_OK,afd9a35bbc8fa4f82e99ec4b31b8937ab82b645bb0f3bb73f6b5550b1950f815,60c57b9ac38443b0a48f0f48e83cd78740cc9e48eb360b1cda3c5fe8c2637385,True,tb_2o_3j_none
2o|3c,2o,3c,,280,280,53.0,163,127,1.391026,True,True,244,True,128,144,1.9444,1.614,,E_OK,afd9a35bbc8fa4f82e99ec4b31b8937ab82b645bb0f3bb73f6b5550b1950f815,8c82227ee9cf5d1c7d01d3be7ec4da2a308951f898ea250eb4a6771a97e94c88,True,tb_2o_3c_none
2o|3f,2o,3f,,280,280,53.0,163,127,1.391026,True,True,244,True,128,144,1.9444,0.398,,E_OK,afd9a35bbc8fa4f82e99ec4b31b8937ab82b645bb0f3bb73f6b5550b1950f815,325fc01457dadd34f1faf75fb0b1456b1cedb7bdfb0c85764f0842f96dcd2b03,True,tb_2o_3f_none
2p|3d,2p,3d,,281,281,54.0,160,127,1.365424,True,True,230,True,128,144,1.9514,1.481,,E_OK,66296519ba138376fcd770d97125d44eefbb39b717967e790bb1e3a98f0de4fa,6de9914fa7d827fa6faa015f68f0bd693f307dcc896c3d6bac10f41265d8ada6,False,
