pipeline,s2,s3,s4,makespan,makespan_sched,cp_comm,max_load,edge_cut,load_imbalance,connected,valid,max_imem,imem_ok,n_gpus_used,omega,ratio_to_omega,time_s,error,error_code,asgn_hash,tb_hash,unique_hw_sim,tb_fname
2b|3b,2b,3b,,119,119,204.0,30,2047,1.500037,True,True,78,True,2048,44,2.7045,50.991,,E_OK,4929a234caf5af5b565e3f00fc53552cb6ad3e86e63f9f2fefc930bea3e45ef9,2588af03bc6704b113884fe075cbe3045486ce50b5d094f5376022de11835968,True,tb_2b_3b_none
2b|3e,2b,3e,,120,120,204.0,30,2047,1.500037,True,True,81,True,2048,44,2.7273,121.219,,E_OK,4929a234caf5af5b565e3f00fc53552cb6ad3e86e63f9f2fefc930bea3e45ef9,4a76c34899045ff9f998e0127b850fcddc1982a624321083bd7ced036ccdf4ea,True,tb_2b_3e_none
2b|3i,2b,3i,,121,121,204.0,30,2047,1.500037,True,True,71,True,2048,44,2.75,610.036,,E_OK,4929a234caf5af5b565e3f00fc53552cb6ad3e86e63f9f2fefc930bea3e45ef9,f03d389152483a00fa12650727e7e0899817c81861bdebb690e02a23733c4346,True,tb_2b_3i_none
2p|3b,2p,3b,,141,141,203.0,39,2047,1.950048,True,True,83,True,2048,44,3.2045,50.275,,E_OK,bc61d74c1aa7732063ce74ca7565e35d740e70fb42022eb019f6dde65400d957,b389ed44f1ad57fc936cf52416ed642e2b6e82bfcbbf8580f8a36a6d695542b5,True,tb_2p_3b_none
2p|3i,2p,3i,,141,141,203.0,39,2047,1.950048,True,True,81,True,2048,44,3.2045,663.678,,E_OK,bc61d74c1aa7732063ce74ca7565e35d740e70fb42022eb019f6dde65400d957,913acd64a89f8a28ba82344e92638448e24a1a75536766aba5cac0cd649176f1,True,tb_2p_3i_none
2p|3e,2p,3e,,144,144,203.0,39,2047,1.950048,True,True,80,True,2048,44,3.2727,121.569,,E_OK,bc61d74c1aa7732063ce74ca7565e35d740e70fb42022eb019f6dde65400d957,68668bdb48149812c1fe23081680b853b7f732b30877b6641741b237fa7770b1,True,tb_2p_3e_none
2o|3i,2o,3i,,146,146,207.0,30,2047,1.500037,True,True,92,True,2048,44,3.3182,657.625,,E_OK,3eb54c3521b2b0e85176bf2f24ebeae3de928476c70a981e21fcbe0c970076d4,43539d50f74d07f6df7302c00fe14d11ab419eba707827c8cf098c94d57cefdc,True,tb_2o_3i_none
2o|3e,2o,3e,,146,146,207.0,30,2047,1.500037,True,True,92,True,2048,44,3.3182,117.703,,E_OK,3eb54c3521b2b0e85176bf2f24ebeae3de928476c70a981e21fcbe0c970076d4,6c2becc5949a4a21991da5cc65c783bbada1a1e657b7b34cdb694c07aade78c9,True,tb_2o_3e_none
2o|3b,2o,3b,,147,147,207.0,30,2047,1.500037,True,True,93,True,2048,44,3.3409,46.688,,E_OK,3eb54c3521b2b0e85176bf2f24ebeae3de928476c70a981e21fcbe0c970076d4,a2d42185629ce3a3ba1d082622c0a4af85911c0f8d04c93277d207dbb12c3aab,True,tb_2o_3b_none
2l|3f,2l,3f,,160,160,102.0,39,2047,1.950048,True,True,56,True,2048,44,3.6364,93.175,,E_OK,da3bd1e36117da4a104b99d49c101cf504ccba66e2d172c84674b5ff34c5e6a4,a8f108b7fc391fb6944046289603d4c2eabaa35625fa08638187c00f8f01ae45,True,tb_2l_3f_none
