pipeline,s2,s3,s4,makespan,makespan_sched,cp_comm,max_load,edge_cut,load_imbalance,connected,valid,max_imem,imem_ok,n_gpus_used,omega,ratio_to_omega,time_s,error,error_code,asgn_hash,tb_hash,unique_hw_sim,tb_fname
2b|3d,2b,3d,,128,128,83.0,49,1023,1.22503,True,True,115,True,1024,48,2.6667,14.326,,E_OK,fb357920d033f5557ce59213febc6297a4c7cdc6e5da3f55a1b13bcea9a6b9e7,02b0b61c61f12a9349b051a9b9b4fdf153fbe01244d4d06e1b62e6aef774d5ed,True,tb_2b_3d_none
2b|3e,2b,3e,,128,128,83.0,49,1023,1.22503,True,True,115,True,1024,48,2.6667,25.376,,E_OK,fb357920d033f5557ce59213febc6297a4c7cdc6e5da3f55a1b13bcea9a6b9e7,02b0b61c61f12a9349b051a9b9b4fdf153fbe01244d4d06e1b62e6aef774d5ed,False,
2b|3b,2b,3b,,128,128,83.0,49,1023,1.22503,True,True,115,True,1024,48,2.6667,13.935,,E_OK,fb357920d033f5557ce59213febc6297a4c7cdc6e5da3f55a1b13bcea9a6b9e7,02b0b61c61f12a9349b051a9b9b4fdf153fbe01244d4d06e1b62e6aef774d5ed,False,
2b|3i,2b,3i,,128,128,83.0,49,1023,1.22503,True,True,115,True,1024,48,2.6667,115.108,,E_OK,fb357920d033f5557ce59213febc6297a4c7cdc6e5da3f55a1b13bcea9a6b9e7,02b0b61c61f12a9349b051a9b9b4fdf153fbe01244d4d06e1b62e6aef774d5ed,False,
2b|3j,2b,3j,,128,128,83.0,49,1023,1.22503,True,True,115,True,1024,48,2.6667,16.061,,E_OK,fb357920d033f5557ce59213febc6297a4c7cdc6e5da3f55a1b13bcea9a6b9e7,02b0b61c61f12a9349b051a9b9b4fdf153fbe01244d4d06e1b62e6aef774d5ed,False,
2o|3a,2o,3a,,128,128,57.0,49,1023,1.22503,True,True,115,True,1024,48,2.6667,14.233,,E_OK,3637cf41f2effbeed4495a8592378bde1ea3e899a07da25ce89b66edf643237e,7c2ac7cb13ab5585a2f514396d68c502ff4ad8203423936c0cb187640018aa26,True,tb_2o_3a_none
2o|3b,2o,3b,,128,128,57.0,49,1023,1.22503,True,True,115,True,1024,48,2.6667,12.936,,E_OK,3637cf41f2effbeed4495a8592378bde1ea3e899a07da25ce89b66edf643237e,7c2ac7cb13ab5585a2f514396d68c502ff4ad8203423936c0cb187640018aa26,False,
2o|3c,2o,3c,,128,128,57.0,49,1023,1.22503,True,True,115,True,1024,48,2.6667,15.939,,E_OK,3637cf41f2effbeed4495a8592378bde1ea3e899a07da25ce89b66edf643237e,7c2ac7cb13ab5585a2f514396d68c502ff4ad8203423936c0cb187640018aa26,False,
2o|3d,2o,3d,,128,128,57.0,49,1023,1.22503,True,True,115,True,1024,48,2.6667,13.758,,E_OK,3637cf41f2effbeed4495a8592378bde1ea3e899a07da25ce89b66edf643237e,7c2ac7cb13ab5585a2f514396d68c502ff4ad8203423936c0cb187640018aa26,False,
2o|3e,2o,3e,,128,128,57.0,49,1023,1.22503,True,True,115,True,1024,48,2.6667,22.785,,E_OK,3637cf41f2effbeed4495a8592378bde1ea3e899a07da25ce89b66edf643237e,7c2ac7cb13ab5585a2f514396d68c502ff4ad8203423936c0cb187640018aa26,False,
