pipeline,s2,s3,s4,makespan,makespan_sched,cp_comm,max_load,edge_cut,load_imbalance,connected,valid,max_imem,imem_ok,n_gpus_used,omega,ratio_to_omega,time_s,error,error_code,asgn_hash,tb_hash,unique_hw_sim,tb_fname
2o|3e,2o,3e,,40,40,89.0,21,4095,2.100051,True,True,37,True,4096,24,1.6667,139.279,,E_OK,e08b0755d0e3a1dca86d5cc85e3dce9d3c90e6acd83d8c2d1c2d9cca7b7eebee,54660fe0a37ef5842232059f17c6930d123b012ae917406edc848010995ba376,True,tb_2o_3e_none
2b|3e,2b,3e,,44,44,89.0,19,4095,1.900046,True,True,32,True,4096,24,1.8333,150.834,,E_OK,7bfda261948f5f0dd9a6025b0efc84d8446a8f7d38cb4130e917022e5079ae86,6e4810741c43aefa434024da8f25ef05278d285d05af69ec3f631b872cd757cb,True,tb_2b_3e_none
2p|3e,2p,3e,,44,44,91.0,19,4095,1.900046,True,True,32,True,4096,24,1.8333,143.422,,E_OK,f6828a919f052b28e00984b637ad71469abe5a35be3550c9fa6efb665acd744f,bc2fbcf4ffa07b26184470e4a6b53be746b98ea715b28ea2effc2d52a3c7861c,True,tb_2p_3e_none
2a|3e,2a,3e,,52,52,89.0,33,8190,3.300081,False,True,48,True,4096,24,2.1667,163.144,,E_OK,be8adaee49e68299a0568ea37b85817cebf22da0eedf54f8775574f84c301ad3,9bb802e47b8c1a753110619c6763cf6d8a0e62893b0bb743bd9d8f3a89b88aee,True,tb_2a_3e_none
2m|3e,2m,3e,,52,52,89.0,33,8190,3.300081,False,True,48,True,4096,24,2.1667,162.686,,E_OK,be8adaee49e68299a0568ea37b85817cebf22da0eedf54f8775574f84c301ad3,9bb802e47b8c1a753110619c6763cf6d8a0e62893b0bb743bd9d8f3a89b88aee,False,
2j|3e,2j,3e,,64,64,84.0,19,4095,1.900046,True,True,28,True,4096,24,2.6667,140.217,,E_OK,887ed2aa01896864ad3237a8fd7da79b812ad51dddd23e43a307a83a7ce43f6d,29aaea6d9aa6dff26986fc58abda84f12cc4d8d8daeee2a49c24a1690f8c94ae,True,tb_2j_3e_none
2l|3e,2l,3e,,86,86,45.0,19,4095,1.900046,True,True,28,True,4096,24,3.5833,142.024,,E_OK,944923aab224e22d5ed4ad43dd397814fcd721709858c2d1269bc8de789fa1d5,db4ff833a33f2e5a3bcd92a3cb1282b1d0ba6f85c1aa8257642af5abb8dbf38b,True,tb_2l_3e_none
2l|3b,2l,3b,,90,90,45.0,19,4095,1.900046,True,True,28,True,4096,24,3.75,121.208,,E_OK,944923aab224e22d5ed4ad43dd397814fcd721709858c2d1269bc8de789fa1d5,a8a2936cd9ffa9825870631e01fe3e4175bd06f5619467bd3e69f48f2650992d,True,tb_2l_3b_none
2l|3f,2l,3f,,92,92,45.0,19,4095,1.900046,True,True,28,True,4096,24,3.8333,271.943,,E_OK,944923aab224e22d5ed4ad43dd397814fcd721709858c2d1269bc8de789fa1d5,ee7d9b25af7ca41248cdf32cc5324a9e7d398f10795beda64dfa887cd987a3ea,True,tb_2l_3f_none
2l|3a,2l,3a,,92,92,45.0,19,4095,1.900046,True,True,28,True,4096,24,3.8333,81.522,,E_OK,944923aab224e22d5ed4ad43dd397814fcd721709858c2d1269bc8de789fa1d5,ee7d9b25af7ca41248cdf32cc5324a9e7d398f10795beda64dfa887cd987a3ea,False,
