pipeline,s2,s3,s4,makespan,makespan_sched,cp_comm,max_load,edge_cut,load_imbalance,connected,valid,max_imem,imem_ok,n_gpus_used,omega,ratio_to_omega,time_s,error,error_code,asgn_hash,tb_hash,unique_hw_sim,tb_fname
2b|3b,2b,3b,,86,86,30.0,43,15,1.076682,True,True,79,True,16,48,1.7917,0.013,,E_OK,203107b9b9175f4d11735af281816b2ba82152a44006191d058418f63f6e7b1a,a23ba98a550c14918cb1d2207e4012e7c2c310c4a3d177e8e0ebbb612628e99b,False,
2b|3d,2b,3d,,86,86,30.0,43,15,1.076682,True,True,79,True,16,48,1.7917,0.174,,E_OK,203107b9b9175f4d11735af281816b2ba82152a44006191d058418f63f6e7b1a,a23ba98a550c14918cb1d2207e4012e7c2c310c4a3d177e8e0ebbb612628e99b,False,
2b|3e,2b,3e,,86,86,30.0,43,15,1.076682,True,True,79,True,16,48,1.7917,0.051,,E_OK,203107b9b9175f4d11735af281816b2ba82152a44006191d058418f63f6e7b1a,a23ba98a550c14918cb1d2207e4012e7c2c310c4a3d177e8e0ebbb612628e99b,False,
2k|3i,2k,3i,,86,86,27.0,43,15,1.076682,True,True,79,True,16,48,1.7917,0.017,,E_OK,d615c8d9f73a54781cef92615fdf023d04cbc1786adb2a47f6d2906c9c7cb883,428c4837c5f95af5238d82d4f6cf82c7d3d900eb4c777cdaa44e3916e62bfe3d,True,tb_2k_3i_none
2k|3j,2k,3j,,86,86,27.0,43,15,1.076682,True,True,79,True,16,48,1.7917,0.054,,E_OK,d615c8d9f73a54781cef92615fdf023d04cbc1786adb2a47f6d2906c9c7cb883,428c4837c5f95af5238d82d4f6cf82c7d3d900eb4c777cdaa44e3916e62bfe3d,False,
2k|3a,2k,3a,,86,86,27.0,43,15,1.076682,True,True,79,True,16,48,1.7917,0.028,,E_OK,d615c8d9f73a54781cef92615fdf023d04cbc1786adb2a47f6d2906c9c7cb883,428c4837c5f95af5238d82d4f6cf82c7d3d900eb4c777cdaa44e3916e62bfe3d,False,
2k|3b,2k,3b,,86,86,27.0,43,15,1.076682,True,True,79,True,16,48,1.7917,0.029,,E_OK,d615c8d9f73a54781cef92615fdf023d04cbc1786adb2a47f6d2906c9c7cb883,428c4837c5f95af5238d82d4f6cf82c7d3d900eb4c777cdaa44e3916e62bfe3d,False,
2k|3d,2k,3d,,86,86,27.0,43,15,1.076682,True,True,79,True,16,48,1.7917,0.076,,E_OK,d615c8d9f73a54781cef92615fdf023d04cbc1786adb2a47f6d2906c9c7cb883,428c4837c5f95af5238d82d4f6cf82c7d3d900eb4c777cdaa44e3916e62bfe3d,False,
2o|3b,2o,3b,,86,86,29.0,43,15,1.076682,True,True,79,True,16,48,1.7917,0.012,,E_OK,60e1687acb6392db524e604ec24386b7b7323d9133c23ee0c69539ca88f37f9f,a66ef978147a1bedf5cc27a0099722d88b0d73d65ac4cfa86c9d3d3cc795d5ae,False,
2o|3d,2o,3d,,86,86,29.0,43,15,1.076682,True,True,79,True,16,48,1.7917,0.045,,E_OK,60e1687acb6392db524e604ec24386b7b7323d9133c23ee0c69539ca88f37f9f,a66ef978147a1bedf5cc27a0099722d88b0d73d65ac4cfa86c9d3d3cc795d5ae,False,
2o|3i,2o,3i,,86,86,29.0,43,15,1.076682,True,True,79,True,16,48,1.7917,0.021,,E_OK,60e1687acb6392db524e604ec24386b7b7323d9133c23ee0c69539ca88f37f9f,a66ef978147a1bedf5cc27a0099722d88b0d73d65ac4cfa86c9d3d3cc795d5ae,False,
2o|3j,2o,3j,,86,86,29.0,43,15,1.076682,True,True,79,True,16,48,1.7917,0.063,,E_OK,60e1687acb6392db524e604ec24386b7b7323d9133c23ee0c69539ca88f37f9f,a66ef978147a1bedf5cc27a0099722d88b0d73d65ac4cfa86c9d3d3cc795d5ae,False,
2o|3e,2o,3e,,86,86,29.0,43,15,1.076682,True,True,79,True,16,48,1.7917,0.021,,E_OK,60e1687acb6392db524e604ec24386b7b7323d9133c23ee0c69539ca88f37f9f,a66ef978147a1bedf5cc27a0099722d88b0d73d65ac4cfa86c9d3d3cc795d5ae,False,
2b|3i,2b,3i,,86,86,30.0,43,15,1.076682,True,True,79,True,16,48,1.7917,0.014,,E_OK,203107b9b9175f4d11735af281816b2ba82152a44006191d058418f63f6e7b1a,a23ba98a550c14918cb1d2207e4012e7c2c310c4a3d177e8e0ebbb612628e99b,False,
