pipeline,s2,s3,s4,makespan,makespan_sched,cp_comm,max_load,edge_cut,load_imbalance,connected,valid,max_imem,imem_ok,n_gpus_used,omega,ratio_to_omega,time_s,error,error_code,asgn_hash,tb_hash,unique_hw_sim,tb_fname
2b|3d,2b,3d,,135,135,25.0,82,7,1.026604,True,True,129,True,8,96,1.4062,0.066,,E_OK,e55d536a917988cf977c6aa2088ea1e5f0d46c51aea5e64c83cec98d42c56a5d,a844e8b2f723f679e5ccea2301c39266de349fa7821659151a6a2ec04c111764,False,
2b|3e,2b,3e,,135,135,25.0,82,7,1.026604,True,True,129,True,8,96,1.4062,0.021,,E_OK,e55d536a917988cf977c6aa2088ea1e5f0d46c51aea5e64c83cec98d42c56a5d,a844e8b2f723f679e5ccea2301c39266de349fa7821659151a6a2ec04c111764,False,
2b|3b,2b,3b,,135,135,25.0,82,7,1.026604,True,True,129,True,8,96,1.4062,0.009,,E_OK,e55d536a917988cf977c6aa2088ea1e5f0d46c51aea5e64c83cec98d42c56a5d,a844e8b2f723f679e5ccea2301c39266de349fa7821659151a6a2ec04c111764,False,
2k|3j,2k,3j,,135,135,23.0,82,7,1.026604,True,True,129,True,8,96,1.4062,0.014,,E_OK,f7ba1b2d10e58ddb679d3127bfa92c3c0ac699c3e0b74037616751cff822628e,bef93dda95febff7bbdfba24d4593f06fa6bb5b4656a33ee8ca8f97638cc390d,False,
2k|3a,2k,3a,,135,135,23.0,82,7,1.026604,True,True,128,True,8,96,1.4062,0.017,,E_OK,f7ba1b2d10e58ddb679d3127bfa92c3c0ac699c3e0b74037616751cff822628e,c231de28c0bdac172a1230a24f85bdfcac47c092fbae0a04c5a4f5fdb88c6339,True,tb_2k_3a_none
2k|3d,2k,3d,,135,135,23.0,82,7,1.026604,True,True,129,True,8,96,1.4062,0.066,,E_OK,f7ba1b2d10e58ddb679d3127bfa92c3c0ac699c3e0b74037616751cff822628e,bef93dda95febff7bbdfba24d4593f06fa6bb5b4656a33ee8ca8f97638cc390d,False,
2o|3j,2o,3j,,135,135,25.0,82,7,1.026604,True,True,129,True,8,96,1.4062,0.013,,E_OK,2a260a752e9520c99f8933f15152146e6fe0da87d0c847ed1edea664b258796a,ee6b84c937c0d745c6face75331e271e9794aa38bb9b71c93d7dc612676054f5,False,
2o|3d,2o,3d,,135,135,25.0,82,7,1.026604,True,True,129,True,8,96,1.4062,0.056,,E_OK,2a260a752e9520c99f8933f15152146e6fe0da87d0c847ed1edea664b258796a,ee6b84c937c0d745c6face75331e271e9794aa38bb9b71c93d7dc612676054f5,False,
2b|3i,2b,3i,,135,135,25.0,82,7,1.026604,True,True,129,True,8,96,1.4062,0.008,,E_OK,e55d536a917988cf977c6aa2088ea1e5f0d46c51aea5e64c83cec98d42c56a5d,a844e8b2f723f679e5ccea2301c39266de349fa7821659151a6a2ec04c111764,False,
2b|3j,2b,3j,,135,135,25.0,82,7,1.026604,True,True,129,True,8,96,1.4062,0.012,,E_OK,e55d536a917988cf977c6aa2088ea1e5f0d46c51aea5e64c83cec98d42c56a5d,a844e8b2f723f679e5ccea2301c39266de349fa7821659151a6a2ec04c111764,False,
2k|3e,2k,3e,,135,135,23.0,82,7,1.026604,True,True,128,True,8,96,1.4062,0.015,,E_OK,f7ba1b2d10e58ddb679d3127bfa92c3c0ac699c3e0b74037616751cff822628e,c231de28c0bdac172a1230a24f85bdfcac47c092fbae0a04c5a4f5fdb88c6339,False,
2o|3e,2o,3e,,135,135,25.0,82,7,1.026604,True,True,129,True,8,96,1.4062,0.02,,E_OK,2a260a752e9520c99f8933f15152146e6fe0da87d0c847ed1edea664b258796a,ee6b84c937c0d745c6face75331e271e9794aa38bb9b71c93d7dc612676054f5,False,
2k|3i,2k,3i,,136,136,23.0,82,7,1.026604,True,True,129,True,8,96,1.4167,0.011,,E_OK,f7ba1b2d10e58ddb679d3127bfa92c3c0ac699c3e0b74037616751cff822628e,bef93dda95febff7bbdfba24d4593f06fa6bb5b4656a33ee8ca8f97638cc390d,True,tb_2k_3i_none
2k|3b,2k,3b,,136,136,23.0,82,7,1.026604,True,True,129,True,8,96,1.4167,0.018,,E_OK,f7ba1b2d10e58ddb679d3127bfa92c3c0ac699c3e0b74037616751cff822628e,bef93dda95febff7bbdfba24d4593f06fa6bb5b4656a33ee8ca8f97638cc390d,False,
2k|3c,2k,3c,,136,136,23.0,82,7,1.026604,True,True,128,True,8,96,1.4167,0.014,,E_OK,f7ba1b2d10e58ddb679d3127bfa92c3c0ac699c3e0b74037616751cff822628e,c231de28c0bdac172a1230a24f85bdfcac47c092fbae0a04c5a4f5fdb88c6339,False,
2o|3c,2o,3c,,136,136,25.0,82,7,1.026604,True,True,129,True,8,96,1.4167,0.012,,E_OK,2a260a752e9520c99f8933f15152146e6fe0da87d0c847ed1edea664b258796a,ee6b84c937c0d745c6face75331e271e9794aa38bb9b71c93d7dc612676054f5,False,
2b|3h,2b,3h,,136,136,25.0,82,7,1.026604,True,True,129,True,8,96,1.4167,2.75,,E_OK,e55d536a917988cf977c6aa2088ea1e5f0d46c51aea5e64c83cec98d42c56a5d,a844e8b2f723f679e5ccea2301c39266de349fa7821659151a6a2ec04c111764,False,
2k|3f,2k,3f,,136,136,23.0,82,7,1.026604,True,True,129,True,8,96,1.4167,0.013,,E_OK,f7ba1b2d10e58ddb679d3127bfa92c3c0ac699c3e0b74037616751cff822628e,bef93dda95febff7bbdfba24d4593f06fa6bb5b4656a33ee8ca8f97638cc390d,False,
2o|3h,2o,3h,,136,136,25.0,82,7,1.026604,True,True,129,True,8,96,1.4167,5.374,,E_OK,2a260a752e9520c99f8933f15152146e6fe0da87d0c847ed1edea664b258796a,ee6b84c937c0d745c6face75331e271e9794aa38bb9b71c93d7dc612676054f5,False,
2b|3f,2b,3f,,137,137,25.0,82,7,1.026604,True,True,129,True,8,96,1.4271,0.02,,E_OK,e55d536a917988cf977c6aa2088ea1e5f0d46c51aea5e64c83cec98d42c56a5d,a844e8b2f723f679e5ccea2301c39266de349fa7821659151a6a2ec04c111764,False,
2b|3a,2b,3a,,137,137,25.0,82,7,1.026604,True,True,129,True,8,96,1.4271,0.011,,E_OK,e55d536a917988cf977c6aa2088ea1e5f0d46c51aea5e64c83cec98d42c56a5d,a844e8b2f723f679e5ccea2301c39266de349fa7821659151a6a2ec04c111764,False,
