pipeline,s2,s3,s4,makespan,makespan_sched,cp_comm,max_load,edge_cut,load_imbalance,connected,valid,max_imem,imem_ok,n_gpus_used,omega,ratio_to_omega,time_s,error,error_code,asgn_hash,tb_hash,unique_hw_sim,tb_fname
2b|3b,2b,3b,,240,240,20.0,161,3,1.007825,True,True,235,True,4,192,1.25,0.006,,E_OK,8fbd16c978204f4a41c08e7b3c4959f92d6c96bcfd676a3fb96f305ad4659b14,b427bfdd79bfd42485b7b5d8d99856216af17c7a991263de2ce7e204c42c5256,False,
2b|3d,2b,3d,,240,240,20.0,161,3,1.007825,True,True,235,True,4,192,1.25,0.036,,E_OK,8fbd16c978204f4a41c08e7b3c4959f92d6c96bcfd676a3fb96f305ad4659b14,b427bfdd79bfd42485b7b5d8d99856216af17c7a991263de2ce7e204c42c5256,False,
2k|3a,2k,3a,,240,240,19.0,161,3,1.007825,True,True,234,True,4,192,1.25,0.014,,E_OK,09e17b53158cc639e78686d60ab5038a84a89e1de91109c50b80ff95d5b38315,7db5a9aaa2a45cd95e9d776e6fe4a87f427211536ce7993999fa8214d6564f77,True,tb_2k_3a_none
2k|3b,2k,3b,,240,240,19.0,161,3,1.007825,True,True,235,True,4,192,1.25,0.014,,E_OK,09e17b53158cc639e78686d60ab5038a84a89e1de91109c50b80ff95d5b38315,34fa5825e8101416c22b21af39373ba79e460ab2a239372e6f5187f39024640e,True,tb_2k_3b_none
2k|3d,2k,3d,,240,240,19.0,161,3,1.007825,True,True,235,True,4,192,1.25,0.037,,E_OK,09e17b53158cc639e78686d60ab5038a84a89e1de91109c50b80ff95d5b38315,34fa5825e8101416c22b21af39373ba79e460ab2a239372e6f5187f39024640e,False,
2k|3j,2k,3j,,240,240,19.0,161,3,1.007825,True,True,235,True,4,192,1.25,0.009,,E_OK,09e17b53158cc639e78686d60ab5038a84a89e1de91109c50b80ff95d5b38315,34fa5825e8101416c22b21af39373ba79e460ab2a239372e6f5187f39024640e,False,
2o|3b,2o,3b,,240,240,20.0,161,3,1.007825,True,True,235,True,4,192,1.25,0.005,,E_OK,3024ade8628c51df5a192037beed6f0303cb6479672683e852ef0476198e0c7d,0af41fa9835c83e47a87c38746a99d15b6200ef8ca29a3eb6d6817bdfd907efb,False,
2o|3d,2o,3d,,240,240,20.0,161,3,1.007825,True,True,235,True,4,192,1.25,0.016,,E_OK,3024ade8628c51df5a192037beed6f0303cb6479672683e852ef0476198e0c7d,0af41fa9835c83e47a87c38746a99d15b6200ef8ca29a3eb6d6817bdfd907efb,False,
2o|3j,2o,3j,,240,240,20.0,161,3,1.007825,True,True,235,True,4,192,1.25,0.007,,E_OK,3024ade8628c51df5a192037beed6f0303cb6479672683e852ef0476198e0c7d,0af41fa9835c83e47a87c38746a99d15b6200ef8ca29a3eb6d6817bdfd907efb,False,
2b|3h,2b,3h,,240,240,20.0,161,3,1.007825,True,True,235,True,4,192,1.25,1.155,,E_OK,8fbd16c978204f4a41c08e7b3c4959f92d6c96bcfd676a3fb96f305ad4659b14,b427bfdd79bfd42485b7b5d8d99856216af17c7a991263de2ce7e204c42c5256,False,
