pipeline,s2,s3,s4,makespan,makespan_sched,cp_comm,max_load,edge_cut,load_imbalance,connected,valid,max_imem,imem_ok,n_gpus_used,omega,ratio_to_omega,time_s,error,error_code,asgn_hash,tb_hash,unique_hw_sim,tb_fname
2g|3j,2g,3j,,49,49,42.0,8,137,1.602504,False,True,17,True,128,23,2.1304,30.149,,E_OK,055ed54a757c55290e7c0c9d91fcd06dd4ce4accddbce37d87c0abd4821b7d97,922cd94305dad1c232ca624e226fc6bdc37dabc42d26c1e2a2022ca8012653ca,True,tb_2g_3j_none
2l|3d,2l,3d,,51,51,37.0,9,127,1.802817,True,True,14,True,128,23,2.2174,0.695,,E_OK,df9bf28ed094fae421a458b6e537d0a44f7937b1ace65a3aebbfa4f72c93fd45,9741ad848d2fbe1535f33e7a0307ec427c97ebc8abea57d1a05e962988517037,False,
2l|3j,2l,3j,,51,51,37.0,9,127,1.802817,True,True,15,True,128,23,2.2174,23.469,,E_OK,df9bf28ed094fae421a458b6e537d0a44f7937b1ace65a3aebbfa4f72c93fd45,2de0eda950bc2915d3c30e5412318431491f33cc8240efb2f5afad115ab764d8,True,tb_2l_3j_none
2l|3e,2l,3e,,52,52,37.0,9,127,1.802817,True,True,14,True,128,23,2.2609,0.753,,E_OK,df9bf28ed094fae421a458b6e537d0a44f7937b1ace65a3aebbfa4f72c93fd45,9741ad848d2fbe1535f33e7a0307ec427c97ebc8abea57d1a05e962988517037,False,
2l|3i,2l,3i,,52,52,37.0,9,127,1.802817,True,True,14,True,128,23,2.2609,0.935,,E_OK,df9bf28ed094fae421a458b6e537d0a44f7937b1ace65a3aebbfa4f72c93fd45,6c7ed039e7664ca690fe33cf9bafd1c2088af1624314c6fd4224919b95d98f32,True,tb_2l_3i_none
2g|3b,2g,3b,,53,53,42.0,8,137,1.602504,False,True,18,True,128,23,2.3043,0.395,,E_OK,055ed54a757c55290e7c0c9d91fcd06dd4ce4accddbce37d87c0abd4821b7d97,e71cf2689b64b66cfdf92c3804bc0c8dd2757b8104ad1f964cca9e86b6dc79b6,True,tb_2g_3b_none
2l|3h,2l,3h,,53,53,37.0,9,127,1.802817,True,True,16,True,128,23,2.3043,12.382,,E_OK,df9bf28ed094fae421a458b6e537d0a44f7937b1ace65a3aebbfa4f72c93fd45,1e08b5047edc08dd990e61d3ac2c40a8a1fb620e42edd57d0725559224a3b787,True,tb_2l_3h_none
2g|3d,2g,3d,,54,54,42.0,8,137,1.602504,False,True,18,True,128,23,2.3478,1.03,,E_OK,055ed54a757c55290e7c0c9d91fcd06dd4ce4accddbce37d87c0abd4821b7d97,dc5398f5c25050ffe0312c09cd3ae95db2a81ef262613eb6dfc0157ca3513323,True,tb_2g_3d_none
2g|3e,2g,3e,,54,54,42.0,8,137,1.602504,False,True,17,True,128,23,2.3478,1.246,,E_OK,055ed54a757c55290e7c0c9d91fcd06dd4ce4accddbce37d87c0abd4821b7d97,8054bb097fbc236ff84b99979c661ed9ff757fdf640456d538e9498e507150da,True,tb_2g_3e_none
2l|3b,2l,3b,,54,54,37.0,9,127,1.802817,True,True,14,True,128,23,2.3478,0.519,,E_OK,df9bf28ed094fae421a458b6e537d0a44f7937b1ace65a3aebbfa4f72c93fd45,9741ad848d2fbe1535f33e7a0307ec427c97ebc8abea57d1a05e962988517037,True,tb_2l_3b_none
2l|3a,2l,3a,,55,55,37.0,9,127,1.802817,True,True,14,True,128,23,2.3913,0.329,,E_OK,df9bf28ed094fae421a458b6e537d0a44f7937b1ace65a3aebbfa4f72c93fd45,f81d2cd911c90f8c8d0c654f9f3802e1529a3e8d1f890a65890fda0212807115,True,tb_2l_3a_none
2g|3f,2g,3f,,56,56,42.0,8,137,1.602504,False,True,17,True,128,23,2.4348,0.866,,E_OK,055ed54a757c55290e7c0c9d91fcd06dd4ce4accddbce37d87c0abd4821b7d97,fea57472a6daf86600f22d5d0cfb9f7b394157a1010f72d577199e8e22b6d523,True,tb_2g_3f_none
2l|3c,2l,3c,,56,56,37.0,9,127,1.802817,True,True,19,True,128,23,2.4348,1.549,,E_OK,df9bf28ed094fae421a458b6e537d0a44f7937b1ace65a3aebbfa4f72c93fd45,c7c6ad841f49b27e618e76be163c918fdab8ad4ca035d15e9bddc5df10f1c182,True,tb_2l_3c_none
2l|3f,2l,3f,,56,56,37.0,9,127,1.802817,True,True,18,True,128,23,2.4348,0.49,,E_OK,df9bf28ed094fae421a458b6e537d0a44f7937b1ace65a3aebbfa4f72c93fd45,e9c3561fbdb3960ffcc849cc51ef5c5cb1e339791021ac3e325064e3d16f014a,True,tb_2l_3f_none
2g|3i,2g,3i,,57,57,42.0,8,137,1.602504,False,True,16,True,128,23,2.4783,1.457,,E_OK,055ed54a757c55290e7c0c9d91fcd06dd4ce4accddbce37d87c0abd4821b7d97,200fe8bb2c11638b9f888a238e1a046e821ada65d3e7859d5d9cd54da683c250,True,tb_2g_3i_none
2l|3g,2l,3g,,57,57,37.0,9,127,1.802817,True,True,17,True,128,23,2.4783,0.358,,E_OK,df9bf28ed094fae421a458b6e537d0a44f7937b1ace65a3aebbfa4f72c93fd45,e0a1c703d4090976622900da1e27dad0ab3fcd69b69d997b5e90152c6f1ea484,True,tb_2l_3g_none
2a|3b,2a,3b,,58,58,56.0,11,127,2.203443,True,True,41,True,128,23,2.5217,0.283,,E_OK,1e6f078c5da4ea420dea167817bd7ce0e78e84613c6b6a9f62de5d8339f85d72,7f5b59dc4f18486b928d9830a52a1c1b25668f0744d0c7d20bfed21b4b1b7bc2,True,tb_2a_3b_none
2b|3e,2b,3e,,58,58,62.0,9,127,1.802817,True,True,32,True,128,23,2.5217,0.701,,E_OK,1fb5771cde711cb8e86d53d84f9ea9e15d12df20542e43f82b5ac36ebee20d68,942e11f0f48fc6e5186533e7f393f9d931569c1b5984463592891dc5645c7939,True,tb_2b_3e_none
