pipeline,s2,s3,s4,makespan,makespan_sched,cp_comm,max_load,edge_cut,load_imbalance,connected,valid,max_imem,imem_ok,n_gpus_used,omega,ratio_to_omega,time_s,error,error_code,asgn_hash,tb_hash,unique_hw_sim,tb_fname
2b|3e,2b,3e,,40,40,42.0,24,31,1.201878,True,True,37,True,32,24,1.6667,0.038,,E_OK,a3d1efad158c599639c87615d3e0c8c4de3d6cfcb8c3d08053bc47fed03c7090,cf847c367ad900b0592cd27de02c5db0e412a5188227ecdf18839f48dc6e816f,True,tb_2b_3e_none
2o|3e,2o,3e,,40,40,42.0,24,31,1.201878,True,True,37,True,32,24,1.6667,0.022,,E_OK,ec77a7682bb2cecd144b73dbcf309cea3a3705b1fa9497deb661944c49b085f2,6ee245ee3e1a505177f3d95d22689913f5d4518ec363248d386dcb2545f61b28,True,tb_2o_3e_none
2a|3e,2a,3e,,57,57,45.0,34,125,1.70266,False,True,47,True,32,24,2.375,0.034,,E_OK,cad9134d1e51d77597150eb85c6ddeadc5fc8f47fba7e19d1b4ba7e7c0c7aa03,2a3f003a37bb36c746d4a388c335c77ab172b6539fbe3e212c6cfa55e9c06a1f,True,tb_2a_3e_none
2m|3e,2m,3e,,57,57,42.0,34,124,1.70266,False,True,47,True,32,24,2.375,0.039,,E_OK,98b690a9e03656c3aa2809add18838dbad9235de1c5ffcb8f698c88541c62d7b,319ef7bf2d439c5626b09c59de84e7d242b3d3a6b978cc3a8033fc288d91c45b,True,tb_2m_3e_none
2p|3e,2p,3e,,66,66,37.0,39,31,1.953052,True,True,56,True,32,24,2.75,0.028,,E_OK,22348287e1ffc7120d7e0ba80025680381263f7a1c72f111381f01083b4308c0,84e30501a7cee5e86ec48d201a33bbfb5b087bb12a34ef995263ef50ebf44b55,True,tb_2p_3e_none
2k|3e,2k,3e,,66,66,35.0,40,19,2.00313,True,True,58,True,20,24,2.75,0.028,,E_OK,e6a5b916e9ce804c92f0c108e00bfca168fcb3c4901355712aa9280a15116dc7,b85c42d84609c19a764fef960c54d2088b263bff871e2363d97620de96af4ed7,True,tb_2k_3e_none
2g|3e,2g,3e,,73,73,25.0,27,64,1.352113,False,True,43,True,32,24,3.0417,0.2,,E_OK,12afbc8f859c4ebf3a5281ec5871267cfced7b438e489808d7fb82c24106be53,a7ed72bd5ab390c9e08b28179b5a5a5b49c88a783119e23e513b54098d6cb82e,False,
2b|3b,2b,3b,,74,74,42.0,24,31,1.201878,True,True,57,True,32,24,3.0833,0.026,,E_OK,a3d1efad158c599639c87615d3e0c8c4de3d6cfcb8c3d08053bc47fed03c7090,630038a1ebee6ef9cbc173ec7e59d29415278d1e70eb94ff81dfa6499dd7a082,False,
2l|3e,2l,3e,,74,74,25.0,39,31,1.953052,True,True,56,True,32,24,3.0833,0.027,,E_OK,b448700f18f217ad4ebfbd82066c457659c1583c0cc0a63c71e68a271e496820,5bb300434f71516c85c3565e6b4fc1fe674a5575f871d0ff248c1f63eed9a1bb,True,tb_2l_3e_none
2o|3c,2o,3c,,74,74,42.0,24,31,1.201878,True,True,57,True,32,24,3.0833,0.106,,E_OK,ec77a7682bb2cecd144b73dbcf309cea3a3705b1fa9497deb661944c49b085f2,b5997b7413d8c9c4fb2e6b2abbddcb21841b4ff40c01f098f27664665fd0b9dd,False,
