pipeline,s2,s3,s4,makespan,makespan_sched,cp_comm,max_load,edge_cut,load_imbalance,connected,valid,max_imem,imem_ok,n_gpus_used,omega,ratio_to_omega,time_s,error,error_code,asgn_hash,tb_hash,unique_hw_sim,tb_fname
2b|3e,2b,3e,,71,71,92.0,15,63,1.502347,True,True,36,True,64,32,2.2188,0.183,,E_OK,e2a39142fc3237fe18360756e5dc6e22c0d67e8c25a82abf1c72fe75b3ffc7de,e704938446a43ebb1350b04ac719b8ecb4749aab2c6ad79b768d3aa375905207,True,tb_2b_3e_none
2p|3e,2p,3e,,71,71,92.0,19,63,1.902973,True,True,34,True,64,32,2.2188,0.347,,E_OK,ca8b785c5c5122b52e8e0c0d423812047f1c83eaed04b1d5eba743bc87a5b5fd,eb61cbd796990d24b773117d1b224032ddc71c73063b9732065f85d6c5d57c3b,True,tb_2p_3e_none
2p|3b,2p,3b,,71,71,92.0,19,63,1.902973,True,True,36,True,64,32,2.2188,0.029,,E_OK,ca8b785c5c5122b52e8e0c0d423812047f1c83eaed04b1d5eba743bc87a5b5fd,06ecc0961284f7a3fa62d747feccf6d43479218ca7ad30ca94365b6237bbc537,True,tb_2p_3b_none
2p|3i,2p,3i,,71,71,92.0,19,63,1.902973,True,True,36,True,64,32,2.2188,0.12,,E_OK,ca8b785c5c5122b52e8e0c0d423812047f1c83eaed04b1d5eba743bc87a5b5fd,b2c7888ed94cc0af4db04a278064d95036bc1e041d8de9b6718a85fc72ceaedf,True,tb_2p_3i_none
2b|3i,2b,3i,,72,72,92.0,15,63,1.502347,True,True,36,True,64,32,2.25,0.097,,E_OK,e2a39142fc3237fe18360756e5dc6e22c0d67e8c25a82abf1c72fe75b3ffc7de,5d087d6ab6ab2edf521ccf69bfaf93e94973ea8097d67d959669a3db382ed812,True,tb_2b_3i_none
2b|3b,2b,3b,,73,73,92.0,15,63,1.502347,True,True,36,True,64,32,2.2812,0.059,,E_OK,e2a39142fc3237fe18360756e5dc6e22c0d67e8c25a82abf1c72fe75b3ffc7de,eb2698388366a6ed1063bd53efabee272f358ca857de362bb26dda944179c406,True,tb_2b_3b_none
2l|3j,2l,3j,,76,76,83.0,19,63,1.902973,True,True,28,True,64,32,2.375,3.511,,E_OK,18bfeaf5f8e3f42177bb9a5cf46b4401bb74b0e521fb7c0c728d1c1b4fad58c0,f4089d24d1ceadfbb0ec25f4f101e73dd942aa9d842e85445ae86632329dde8b,True,tb_2l_3j_none
2l|3d,2l,3d,,78,78,83.0,19,63,1.902973,True,True,28,True,64,32,2.4375,0.467,,E_OK,18bfeaf5f8e3f42177bb9a5cf46b4401bb74b0e521fb7c0c728d1c1b4fad58c0,713c8dcbd814ab069e273900bba2c32c5b4c40750d87705e29c1ee2d1cb5c43c,True,tb_2l_3d_none
2o|3e,2o,3e,,86,86,92.0,15,63,1.502347,True,True,49,True,64,32,2.6875,0.146,,E_OK,4e9a417d58e45102eab1d966a2cfff62052923fc2aced7b7f111ece6a5e3baeb,b759b830e592e3babd5dff0879ecb64106847aaee78cfffc5d769ca21d3672d4,True,tb_2o_3e_none
2g|3e,2g,3e,,86,86,62.0,15,112,1.502347,False,True,30,True,64,32,2.6875,0.655,,E_OK,2966e08898730c9c01ef34e0fa8197e25809bc84090b9f8614c4bb4cad923bbb,0677510aa23b71d0aba475c89317b8ecf612d4ca4708ed7168c2f3b006a21fb4,True,tb_2g_3e_none
2o|3b,2o,3b,,87,87,92.0,15,63,1.502347,True,True,49,True,64,32,2.7188,0.021,,E_OK,4e9a417d58e45102eab1d966a2cfff62052923fc2aced7b7f111ece6a5e3baeb,c4865615ff3f665a661776a5fbacf70ca6dce07fec854362ebde48d34d8404e2,False,
2o|3i,2o,3i,,87,87,92.0,15,63,1.502347,True,True,49,True,64,32,2.7188,0.148,,E_OK,4e9a417d58e45102eab1d966a2cfff62052923fc2aced7b7f111ece6a5e3baeb,ad73a9f7987328f72373d0e9237feb2beedc85fe143ae4214e7d4470bdc82cd5,True,tb_2o_3i_none
2o|3j,2o,3j,,87,87,92.0,15,63,1.502347,True,True,49,True,64,32,2.7188,3.875,,E_OK,4e9a417d58e45102eab1d966a2cfff62052923fc2aced7b7f111ece6a5e3baeb,f454287f737770aa5d8c36011b89c69d5283590e1de1c85a06a3fec26e1b847b,True,tb_2o_3j_none
2g|3b,2g,3b,,90,90,62.0,15,112,1.502347,False,True,30,True,64,32,2.8125,0.171,,E_OK,2966e08898730c9c01ef34e0fa8197e25809bc84090b9f8614c4bb4cad923bbb,6f8a876c94f3c44d89a0443b03a90d5069e53417c6fe58572eee20e0454be850,True,tb_2g_3b_none
2p|3d,2p,3d,,90,90,92.0,19,63,1.902973,True,True,44,True,64,32,2.8125,0.686,,E_OK,ca8b785c5c5122b52e8e0c0d423812047f1c83eaed04b1d5eba743bc87a5b5fd,875415b2727f7d10f48875a7113be5a7a7352cceb286786433254de82d4dce21,True,tb_2p_3d_none
2g|3i,2g,3i,,90,90,62.0,15,112,1.502347,False,True,30,True,64,32,2.8125,0.36,,E_OK,2966e08898730c9c01ef34e0fa8197e25809bc84090b9f8614c4bb4cad923bbb,0381311e4281d8167e0efe66ab26e252b33407500c58ba66be766909c66110a1,True,tb_2g_3i_none
2j|3f,2j,3f,,91,91,87.0,19,63,1.902973,True,True,28,True,64,32,2.8438,0.038,,E_OK,361c3f2badbc739d622bbb9be6a5fdcf3c65a6a28048e8963ea954fd50260faa,332bbf70b247f47d95f4684d380e85ae44d7841cdeb5ac87dc0deb1c648a6650,False,
2m|3e,2m,3e,,92,92,92.0,21,126,2.103286,False,True,50,True,64,32,2.875,0.2,,E_OK,bc05a1e4da956a064cfb10cf69305d04d26c9fc0d06ca9a90cb3ad5c840ff7df,1cdb939b68dee63c5de94924194c8ffc1bbc1b33d6376f3acfb281c74c0ba474,True,tb_2m_3e_none
