pipeline,s2,s3,s4,makespan,makespan_sched,cp_comm,max_load,edge_cut,load_imbalance,connected,valid,max_imem,imem_ok,n_gpus_used,omega,ratio_to_omega,time_s,error,error_code,asgn_hash,tb_hash,unique_hw_sim,tb_fname
2k|3a,2k,3a,,173,173,36.0,122,11,1.465465,True,True,170,True,12,102,1.6961,0.015,,E_OK,4e95ab07a836f2dfb2da26279b4290f4b19e4ebc389f1fcfb2914d6ab9b924a6,0d17f54bbd8b63da5825ecd8b7d4307d95d5a04338cb34795800ba5810039e67,True,tb_2k_3a_none
2k|3b,2k,3b,,173,173,36.0,122,11,1.465465,True,True,170,True,12,102,1.6961,0.017,,E_OK,4e95ab07a836f2dfb2da26279b4290f4b19e4ebc389f1fcfb2914d6ab9b924a6,0d17f54bbd8b63da5825ecd8b7d4307d95d5a04338cb34795800ba5810039e67,False,
2k|3c,2k,3c,,173,173,36.0,122,11,1.465465,True,True,170,True,12,102,1.6961,0.016,,E_OK,4e95ab07a836f2dfb2da26279b4290f4b19e4ebc389f1fcfb2914d6ab9b924a6,0d17f54bbd8b63da5825ecd8b7d4307d95d5a04338cb34795800ba5810039e67,False,
2k|3d,2k,3d,,173,173,36.0,122,11,1.465465,True,True,170,True,12,102,1.6961,0.05,,E_OK,4e95ab07a836f2dfb2da26279b4290f4b19e4ebc389f1fcfb2914d6ab9b924a6,0d17f54bbd8b63da5825ecd8b7d4307d95d5a04338cb34795800ba5810039e67,False,
2k|3i,2k,3i,,173,173,36.0,122,11,1.465465,True,True,170,True,12,102,1.6961,0.025,,E_OK,4e95ab07a836f2dfb2da26279b4290f4b19e4ebc389f1fcfb2914d6ab9b924a6,0d17f54bbd8b63da5825ecd8b7d4307d95d5a04338cb34795800ba5810039e67,False,
2k|3j,2k,3j,,173,173,36.0,122,11,1.465465,True,True,170,True,12,102,1.6961,0.043,,E_OK,4e95ab07a836f2dfb2da26279b4290f4b19e4ebc389f1fcfb2914d6ab9b924a6,0d17f54bbd8b63da5825ecd8b7d4307d95d5a04338cb34795800ba5810039e67,False,
2k|3e,2k,3e,,173,173,36.0,122,11,1.465465,True,True,170,True,12,102,1.6961,0.016,,E_OK,4e95ab07a836f2dfb2da26279b4290f4b19e4ebc389f1fcfb2914d6ab9b924a6,e47a8401c7b7b6c226cd014655e116e3c33212518fc0ba64b951df498d83a4ae,True,tb_2k_3e_none
2k|3f,2k,3f,,173,173,36.0,122,11,1.465465,True,True,170,True,12,102,1.6961,0.016,,E_OK,4e95ab07a836f2dfb2da26279b4290f4b19e4ebc389f1fcfb2914d6ab9b924a6,0d17f54bbd8b63da5825ecd8b7d4307d95d5a04338cb34795800ba5810039e67,False,
2k|3g,2k,3g,,173,173,36.0,122,11,1.465465,True,True,170,True,12,102,1.6961,0.014,,E_OK,4e95ab07a836f2dfb2da26279b4290f4b19e4ebc389f1fcfb2914d6ab9b924a6,0d17f54bbd8b63da5825ecd8b7d4307d95d5a04338cb34795800ba5810039e67,False,
2k|3h,2k,3h,,173,173,36.0,122,11,1.465465,True,True,170,True,12,102,1.6961,1.788,,E_OK,4e95ab07a836f2dfb2da26279b4290f4b19e4ebc389f1fcfb2914d6ab9b924a6,0d17f54bbd8b63da5825ecd8b7d4307d95d5a04338cb34795800ba5810039e67,False,
