pipeline,s2,s3,s4,makespan,makespan_sched,cp_comm,max_load,edge_cut,load_imbalance,connected,valid,max_imem,imem_ok,n_gpus_used,omega,ratio_to_omega,time_s,error,error_code,asgn_hash,tb_hash,unique_hw_sim,tb_fname
2k|3a,2k,3a,,123,123,27.0,79,11,1.583166,False,True,112,True,10,60,2.05,0.008,,E_OK,5cf81b748a1d1331157ddc74d94e9160e4a5328a64bc6e9b2ac99975dc3c0dd9,c4a61c5e0c4de9675f71d95a94b2076bed8d33b5547bef3a95f808db05e9489d,True,tb_2k_3a_none
2k|3b,2k,3b,,123,123,27.0,79,11,1.583166,False,True,112,True,10,60,2.05,0.01,,E_OK,5cf81b748a1d1331157ddc74d94e9160e4a5328a64bc6e9b2ac99975dc3c0dd9,c4a61c5e0c4de9675f71d95a94b2076bed8d33b5547bef3a95f808db05e9489d,False,
2k|3d,2k,3d,,123,123,27.0,79,11,1.583166,False,True,112,True,10,60,2.05,0.046,,E_OK,5cf81b748a1d1331157ddc74d94e9160e4a5328a64bc6e9b2ac99975dc3c0dd9,c4a61c5e0c4de9675f71d95a94b2076bed8d33b5547bef3a95f808db05e9489d,False,
2k|3i,2k,3i,,123,123,27.0,79,11,1.583166,False,True,112,True,10,60,2.05,0.009,,E_OK,5cf81b748a1d1331157ddc74d94e9160e4a5328a64bc6e9b2ac99975dc3c0dd9,c4a61c5e0c4de9675f71d95a94b2076bed8d33b5547bef3a95f808db05e9489d,False,
2k|3j,2k,3j,,123,123,27.0,79,11,1.583166,False,True,112,True,10,60,2.05,0.015,,E_OK,5cf81b748a1d1331157ddc74d94e9160e4a5328a64bc6e9b2ac99975dc3c0dd9,c4a61c5e0c4de9675f71d95a94b2076bed8d33b5547bef3a95f808db05e9489d,False,
2k|3e,2k,3e,,123,123,27.0,79,11,1.583166,False,True,112,True,10,60,2.05,0.016,,E_OK,5cf81b748a1d1331157ddc74d94e9160e4a5328a64bc6e9b2ac99975dc3c0dd9,c4a61c5e0c4de9675f71d95a94b2076bed8d33b5547bef3a95f808db05e9489d,False,
2k|3g,2k,3g,,123,123,27.0,79,11,1.583166,False,True,112,True,10,60,2.05,0.018,,E_OK,5cf81b748a1d1331157ddc74d94e9160e4a5328a64bc6e9b2ac99975dc3c0dd9,c4a61c5e0c4de9675f71d95a94b2076bed8d33b5547bef3a95f808db05e9489d,False,
2k|3c,2k,3c,,124,124,27.0,79,11,1.583166,False,True,112,True,10,60,2.0667,0.008,,E_OK,5cf81b748a1d1331157ddc74d94e9160e4a5328a64bc6e9b2ac99975dc3c0dd9,c4a61c5e0c4de9675f71d95a94b2076bed8d33b5547bef3a95f808db05e9489d,False,
2k|3f,2k,3f,,124,124,27.0,79,11,1.583166,False,True,112,True,10,60,2.0667,0.01,,E_OK,5cf81b748a1d1331157ddc74d94e9160e4a5328a64bc6e9b2ac99975dc3c0dd9,2456550f616a2e9b10afe4dfb5270f182b37c012cb3aaa29042b0a3c8edc1ea2,True,tb_2k_3f_none
2k|3h,2k,3h,,124,124,27.0,79,11,1.583166,False,True,112,True,10,60,2.0667,4.681,,E_OK,5cf81b748a1d1331157ddc74d94e9160e4a5328a64bc6e9b2ac99975dc3c0dd9,c4a61c5e0c4de9675f71d95a94b2076bed8d33b5547bef3a95f808db05e9489d,False,
2o|3a,2o,3a,,129,129,24.0,79,9,1.583166,True,True,112,True,10,60,2.15,0.005,,E_OK,d9c18b91eda156e3ebf97e26eb5873c3972e7db6824e67ff56e26d2a2e3719fe,f434356cfb382e0650f7da08137aaa31bfb6ee2c555fcc1e50e450dc8cd71ec7,True,tb_2o_3a_none
2o|3b,2o,3b,,129,129,24.0,79,9,1.583166,True,True,112,True,10,60,2.15,0.007,,E_OK,d9c18b91eda156e3ebf97e26eb5873c3972e7db6824e67ff56e26d2a2e3719fe,f434356cfb382e0650f7da08137aaa31bfb6ee2c555fcc1e50e450dc8cd71ec7,False,
2o|3c,2o,3c,,129,129,24.0,79,9,1.583166,True,True,112,True,10,60,2.15,0.008,,E_OK,d9c18b91eda156e3ebf97e26eb5873c3972e7db6824e67ff56e26d2a2e3719fe,f434356cfb382e0650f7da08137aaa31bfb6ee2c555fcc1e50e450dc8cd71ec7,False,
2o|3d,2o,3d,,129,129,24.0,79,9,1.583166,True,True,112,True,10,60,2.15,0.042,,E_OK,d9c18b91eda156e3ebf97e26eb5873c3972e7db6824e67ff56e26d2a2e3719fe,f434356cfb382e0650f7da08137aaa31bfb6ee2c555fcc1e50e450dc8cd71ec7,False,
2o|3i,2o,3i,,129,129,24.0,79,9,1.583166,True,True,112,True,10,60,2.15,0.022,,E_OK,d9c18b91eda156e3ebf97e26eb5873c3972e7db6824e67ff56e26d2a2e3719fe,f434356cfb382e0650f7da08137aaa31bfb6ee2c555fcc1e50e450dc8cd71ec7,False,
2o|3j,2o,3j,,129,129,24.0,79,9,1.583166,True,True,112,True,10,60,2.15,0.039,,E_OK,d9c18b91eda156e3ebf97e26eb5873c3972e7db6824e67ff56e26d2a2e3719fe,f434356cfb382e0650f7da08137aaa31bfb6ee2c555fcc1e50e450dc8cd71ec7,False,
