pipeline,s2,s3,s4,makespan,makespan_sched,cp_comm,max_load,edge_cut,load_imbalance,connected,valid,max_imem,imem_ok,n_gpus_used,omega,ratio_to_omega,time_s,error,error_code,asgn_hash,tb_hash,unique_hw_sim,tb_fname
2o|3a,2o,3a,,73,73,18.0,42,6,1.180723,True,True,68,True,7,48,1.5208,0.002,,E_OK,39f1575586bb7cc23cda32afb064b2fe577b560713681c43a9e1e8945bd71061,e732071b6b21dad65ea967b247561b99309399574e19622bbf1baa4cdde71607,True,tb_2o_3a_none
2o|3b,2o,3b,,73,73,18.0,42,6,1.180723,True,True,68,True,7,48,1.5208,0.006,,E_OK,39f1575586bb7cc23cda32afb064b2fe577b560713681c43a9e1e8945bd71061,e732071b6b21dad65ea967b247561b99309399574e19622bbf1baa4cdde71607,False,
2o|3c,2o,3c,,73,73,18.0,42,6,1.180723,True,True,68,True,7,48,1.5208,0.005,,E_OK,39f1575586bb7cc23cda32afb064b2fe577b560713681c43a9e1e8945bd71061,e732071b6b21dad65ea967b247561b99309399574e19622bbf1baa4cdde71607,False,
2o|3d,2o,3d,,73,73,18.0,42,6,1.180723,True,True,68,True,7,48,1.5208,0.044,,E_OK,39f1575586bb7cc23cda32afb064b2fe577b560713681c43a9e1e8945bd71061,e732071b6b21dad65ea967b247561b99309399574e19622bbf1baa4cdde71607,False,
2o|3i,2o,3i,,73,73,18.0,42,6,1.180723,True,True,68,True,7,48,1.5208,0.003,,E_OK,39f1575586bb7cc23cda32afb064b2fe577b560713681c43a9e1e8945bd71061,e732071b6b21dad65ea967b247561b99309399574e19622bbf1baa4cdde71607,False,
2o|3j,2o,3j,,73,73,18.0,42,6,1.180723,True,True,68,True,7,48,1.5208,0.006,,E_OK,39f1575586bb7cc23cda32afb064b2fe577b560713681c43a9e1e8945bd71061,e732071b6b21dad65ea967b247561b99309399574e19622bbf1baa4cdde71607,False,
2o|3e,2o,3e,,73,73,18.0,42,6,1.180723,True,True,68,True,7,48,1.5208,0.007,,E_OK,39f1575586bb7cc23cda32afb064b2fe577b560713681c43a9e1e8945bd71061,e732071b6b21dad65ea967b247561b99309399574e19622bbf1baa4cdde71607,False,
2o|3f,2o,3f,,73,73,18.0,42,6,1.180723,True,True,68,True,7,48,1.5208,0.007,,E_OK,39f1575586bb7cc23cda32afb064b2fe577b560713681c43a9e1e8945bd71061,e732071b6b21dad65ea967b247561b99309399574e19622bbf1baa4cdde71607,False,
2o|3g,2o,3g,,74,74,18.0,42,6,1.180723,True,True,68,True,7,48,1.5417,0.003,,E_OK,39f1575586bb7cc23cda32afb064b2fe577b560713681c43a9e1e8945bd71061,e732071b6b21dad65ea967b247561b99309399574e19622bbf1baa4cdde71607,False,
2o|3h,2o,3h,,74,74,18.0,42,6,1.180723,True,True,68,True,7,48,1.5417,1.642,,E_OK,39f1575586bb7cc23cda32afb064b2fe577b560713681c43a9e1e8945bd71061,e732071b6b21dad65ea967b247561b99309399574e19622bbf1baa4cdde71607,False,
2b|3d,2b,3d,,79,79,25.0,41,6,1.15261,True,True,68,True,7,48,1.6458,0.395,,E_OK,5bc363af0cda9aa69acaa63088e6f4d1a88d87357aa509d21990a6d9e1cf0316,4c56904261bc940ffdd1977f244139d27beabbc8320b1c01a7741a7c1c75ebf7,False,
2b|3e,2b,3e,,79,79,25.0,41,6,1.15261,True,True,68,True,7,48,1.6458,0.006,,E_OK,5bc363af0cda9aa69acaa63088e6f4d1a88d87357aa509d21990a6d9e1cf0316,4c56904261bc940ffdd1977f244139d27beabbc8320b1c01a7741a7c1c75ebf7,False,
2b|3g,2b,3g,,79,79,25.0,41,6,1.15261,True,True,68,True,7,48,1.6458,0.003,,E_OK,5bc363af0cda9aa69acaa63088e6f4d1a88d87357aa509d21990a6d9e1cf0316,4c56904261bc940ffdd1977f244139d27beabbc8320b1c01a7741a7c1c75ebf7,False,
2b|3j,2b,3j,,79,79,25.0,41,6,1.15261,True,True,68,True,7,48,1.6458,0.019,,E_OK,5bc363af0cda9aa69acaa63088e6f4d1a88d87357aa509d21990a6d9e1cf0316,4c56904261bc940ffdd1977f244139d27beabbc8320b1c01a7741a7c1c75ebf7,False,
2k|3b,2k,3b,,79,79,23.0,51,5,1.433735,True,True,76,True,6,48,1.6458,0.009,,E_OK,c9cc735f35bbb1434cb6d558c16e01fb7b4febd58f23c9318472eb7ad51bddfd,559fd2d9bd31073c92e01a80789644501aa48c646d2cc890d1e1e47c8d94c7d4,False,
2k|3d,2k,3d,,79,79,23.0,51,5,1.433735,True,True,76,True,6,48,1.6458,0.023,,E_OK,c9cc735f35bbb1434cb6d558c16e01fb7b4febd58f23c9318472eb7ad51bddfd,559fd2d9bd31073c92e01a80789644501aa48c646d2cc890d1e1e47c8d94c7d4,False,
2k|3i,2k,3i,,79,79,23.0,51,5,1.433735,True,True,76,True,6,48,1.6458,0.007,,E_OK,c9cc735f35bbb1434cb6d558c16e01fb7b4febd58f23c9318472eb7ad51bddfd,559fd2d9bd31073c92e01a80789644501aa48c646d2cc890d1e1e47c8d94c7d4,False,
2k|3j,2k,3j,,79,79,23.0,51,5,1.433735,True,True,76,True,6,48,1.6458,0.01,,E_OK,c9cc735f35bbb1434cb6d558c16e01fb7b4febd58f23c9318472eb7ad51bddfd,559fd2d9bd31073c92e01a80789644501aa48c646d2cc890d1e1e47c8d94c7d4,False,
2k|3e,2k,3e,,79,79,23.0,51,5,1.433735,True,True,76,True,6,48,1.6458,0.007,,E_OK,c9cc735f35bbb1434cb6d558c16e01fb7b4febd58f23c9318472eb7ad51bddfd,559fd2d9bd31073c92e01a80789644501aa48c646d2cc890d1e1e47c8d94c7d4,False,
2k|3f,2k,3f,,79,79,23.0,51,5,1.433735,True,True,76,True,6,48,1.6458,0.004,,E_OK,c9cc735f35bbb1434cb6d558c16e01fb7b4febd58f23c9318472eb7ad51bddfd,559fd2d9bd31073c92e01a80789644501aa48c646d2cc890d1e1e47c8d94c7d4,False,
2b|3b,2b,3b,,80,80,25.0,41,6,1.15261,True,True,68,True,7,48,1.6667,0.012,,E_OK,5bc363af0cda9aa69acaa63088e6f4d1a88d87357aa509d21990a6d9e1cf0316,4c56904261bc940ffdd1977f244139d27beabbc8320b1c01a7741a7c1c75ebf7,False,
2b|3i,2b,3i,,80,80,25.0,41,6,1.15261,True,True,68,True,7,48,1.6667,0.005,,E_OK,5bc363af0cda9aa69acaa63088e6f4d1a88d87357aa509d21990a6d9e1cf0316,4c56904261bc940ffdd1977f244139d27beabbc8320b1c01a7741a7c1c75ebf7,False,
2k|3a,2k,3a,,80,80,23.0,51,5,1.433735,True,True,76,True,6,48,1.6667,0.006,,E_OK,c9cc735f35bbb1434cb6d558c16e01fb7b4febd58f23c9318472eb7ad51bddfd,559fd2d9bd31073c92e01a80789644501aa48c646d2cc890d1e1e47c8d94c7d4,True,tb_2k_3a_none
2l|3b,2l,3b,,80,80,16.0,49,6,1.37751,True,True,70,True,7,48,1.6667,0.006,,E_OK,d029e34bf60c5389a8437052208c8ae9481cebbd3d943c6dc6454cab7b38c0b5,ef3832a6a1c14990ea717f171b5261ca1443f013667808a7eefce38a76eb82ec,False,
2l|3d,2l,3d,,80,80,16.0,49,6,1.37751,True,True,70,True,7,48,1.6667,0.023,,E_OK,d029e34bf60c5389a8437052208c8ae9481cebbd3d943c6dc6454cab7b38c0b5,ef3832a6a1c14990ea717f171b5261ca1443f013667808a7eefce38a76eb82ec,False,
2l|3e,2l,3e,,80,80,16.0,49,6,1.37751,True,True,70,True,7,48,1.6667,0.004,,E_OK,d029e34bf60c5389a8437052208c8ae9481cebbd3d943c6dc6454cab7b38c0b5,ef3832a6a1c14990ea717f171b5261ca1443f013667808a7eefce38a76eb82ec,False,
2l|3i,2l,3i,,80,80,16.0,49,6,1.37751,True,True,70,True,7,48,1.6667,0.012,,E_OK,d029e34bf60c5389a8437052208c8ae9481cebbd3d943c6dc6454cab7b38c0b5,ef3832a6a1c14990ea717f171b5261ca1443f013667808a7eefce38a76eb82ec,False,
2l|3j,2l,3j,,80,80,16.0,49,6,1.37751,True,True,70,True,7,48,1.6667,0.01,,E_OK,d029e34bf60c5389a8437052208c8ae9481cebbd3d943c6dc6454cab7b38c0b5,ef3832a6a1c14990ea717f171b5261ca1443f013667808a7eefce38a76eb82ec,False,
2b|3h,2b,3h,,81,81,25.0,41,6,1.15261,True,True,68,True,7,48,1.6875,1.2,,E_OK,5bc363af0cda9aa69acaa63088e6f4d1a88d87357aa509d21990a6d9e1cf0316,4c56904261bc940ffdd1977f244139d27beabbc8320b1c01a7741a7c1c75ebf7,False,
2l|3a,2l,3a,,81,81,16.0,49,6,1.37751,True,True,70,True,7,48,1.6875,0.007,,E_OK,d029e34bf60c5389a8437052208c8ae9481cebbd3d943c6dc6454cab7b38c0b5,ef3832a6a1c14990ea717f171b5261ca1443f013667808a7eefce38a76eb82ec,True,tb_2l_3a_none
2l|3c,2l,3c,,81,81,16.0,49,6,1.37751,True,True,70,True,7,48,1.6875,0.004,,E_OK,d029e34bf60c5389a8437052208c8ae9481cebbd3d943c6dc6454cab7b38c0b5,ef3832a6a1c14990ea717f171b5261ca1443f013667808a7eefce38a76eb82ec,False,
2l|3f,2l,3f,,81,81,16.0,49,6,1.37751,True,True,70,True,7,48,1.6875,0.003,,E_OK,d029e34bf60c5389a8437052208c8ae9481cebbd3d943c6dc6454cab7b38c0b5,ef3832a6a1c14990ea717f171b5261ca1443f013667808a7eefce38a76eb82ec,False,
2l|3g,2l,3g,,81,81,16.0,49,6,1.37751,True,True,70,True,7,48,1.6875,0.003,,E_OK,d029e34bf60c5389a8437052208c8ae9481cebbd3d943c6dc6454cab7b38c0b5,ef3832a6a1c14990ea717f171b5261ca1443f013667808a7eefce38a76eb82ec,False,
2l|3h,2l,3h,,81,81,16.0,49,6,1.37751,True,True,70,True,7,48,1.6875,3.448,,E_OK,d029e34bf60c5389a8437052208c8ae9481cebbd3d943c6dc6454cab7b38c0b5,ef3832a6a1c14990ea717f171b5261ca1443f013667808a7eefce38a76eb82ec,False,
2b|3a,2b,3a,,82,82,25.0,41,6,1.15261,True,True,68,True,7,48,1.7083,0.015,,E_OK,5bc363af0cda9aa69acaa63088e6f4d1a88d87357aa509d21990a6d9e1cf0316,4c56904261bc940ffdd1977f244139d27beabbc8320b1c01a7741a7c1c75ebf7,True,tb_2b_3a_none
2b|3c,2b,3c,,82,82,25.0,41,6,1.15261,True,True,68,True,7,48,1.7083,0.008,,E_OK,5bc363af0cda9aa69acaa63088e6f4d1a88d87357aa509d21990a6d9e1cf0316,4c56904261bc940ffdd1977f244139d27beabbc8320b1c01a7741a7c1c75ebf7,False,
2b|3f,2b,3f,,82,82,25.0,41,6,1.15261,True,True,68,True,7,48,1.7083,0.009,,E_OK,5bc363af0cda9aa69acaa63088e6f4d1a88d87357aa509d21990a6d9e1cf0316,4c56904261bc940ffdd1977f244139d27beabbc8320b1c01a7741a7c1c75ebf7,False,
2k|3c,2k,3c,,82,82,23.0,51,5,1.433735,True,True,76,True,6,48,1.7083,0.006,,E_OK,c9cc735f35bbb1434cb6d558c16e01fb7b4febd58f23c9318472eb7ad51bddfd,559fd2d9bd31073c92e01a80789644501aa48c646d2cc890d1e1e47c8d94c7d4,False,
2k|3g,2k,3g,,82,82,23.0,51,5,1.433735,True,True,76,True,6,48,1.7083,0.004,,E_OK,c9cc735f35bbb1434cb6d558c16e01fb7b4febd58f23c9318472eb7ad51bddfd,559fd2d9bd31073c92e01a80789644501aa48c646d2cc890d1e1e47c8d94c7d4,False,
