pipeline,s2,s3,s4,makespan,makespan_sched,cp_comm,max_load,edge_cut,load_imbalance,connected,valid,max_imem,imem_ok,n_gpus_used,omega,ratio_to_omega,time_s,error,error_code,asgn_hash,tb_hash,unique_hw_sim,tb_fname
2l|3h,2l,3h,,39,39,14.0,19,4,1.202532,True,True,28,True,5,24,1.625,3.911,,E_OK,92c15b8c5c33b37ca6a789fe703553db266d1764b7285a4b8b81655df1450120,e78da5bb5acadc73e3dce55a42004b18fdffac5762c4dbd8cfd121f9f161ff33,False,
2q|3h,2q,3h,,39,39,14.0,19,4,1.202532,True,True,28,True,5,24,1.625,2.529,,E_OK,92c15b8c5c33b37ca6a789fe703553db266d1764b7285a4b8b81655df1450120,e78da5bb5acadc73e3dce55a42004b18fdffac5762c4dbd8cfd121f9f161ff33,False,
2l|3a,2l,3a,,40,40,14.0,19,4,1.202532,True,True,28,True,5,24,1.6667,0.001,,E_OK,92c15b8c5c33b37ca6a789fe703553db266d1764b7285a4b8b81655df1450120,e78da5bb5acadc73e3dce55a42004b18fdffac5762c4dbd8cfd121f9f161ff33,True,tb_2l_3a_none
2l|3b,2l,3b,,40,40,14.0,19,4,1.202532,True,True,28,True,5,24,1.6667,0.004,,E_OK,92c15b8c5c33b37ca6a789fe703553db266d1764b7285a4b8b81655df1450120,e78da5bb5acadc73e3dce55a42004b18fdffac5762c4dbd8cfd121f9f161ff33,False,
2l|3c,2l,3c,,40,40,14.0,19,4,1.202532,True,True,28,True,5,24,1.6667,0.004,,E_OK,92c15b8c5c33b37ca6a789fe703553db266d1764b7285a4b8b81655df1450120,e78da5bb5acadc73e3dce55a42004b18fdffac5762c4dbd8cfd121f9f161ff33,False,
2l|3d,2l,3d,,40,40,14.0,19,4,1.202532,True,True,28,True,5,24,1.6667,0.021,,E_OK,92c15b8c5c33b37ca6a789fe703553db266d1764b7285a4b8b81655df1450120,e78da5bb5acadc73e3dce55a42004b18fdffac5762c4dbd8cfd121f9f161ff33,False,
2l|3e,2l,3e,,40,40,14.0,19,4,1.202532,True,True,28,True,5,24,1.6667,0.004,,E_OK,92c15b8c5c33b37ca6a789fe703553db266d1764b7285a4b8b81655df1450120,e78da5bb5acadc73e3dce55a42004b18fdffac5762c4dbd8cfd121f9f161ff33,False,
2l|3f,2l,3f,,40,40,14.0,19,4,1.202532,True,True,28,True,5,24,1.6667,0.001,,E_OK,92c15b8c5c33b37ca6a789fe703553db266d1764b7285a4b8b81655df1450120,4d7935a4c753b0f7f4d073dbd65a16fdb12e5295951f7fb788cd16c747119ec2,True,tb_2l_3f_none
2l|3g,2l,3g,,40,40,14.0,19,4,1.202532,True,True,28,True,5,24,1.6667,0.001,,E_OK,92c15b8c5c33b37ca6a789fe703553db266d1764b7285a4b8b81655df1450120,e78da5bb5acadc73e3dce55a42004b18fdffac5762c4dbd8cfd121f9f161ff33,False,
2l|3i,2l,3i,,40,40,14.0,19,4,1.202532,True,True,28,True,5,24,1.6667,0.002,,E_OK,92c15b8c5c33b37ca6a789fe703553db266d1764b7285a4b8b81655df1450120,e78da5bb5acadc73e3dce55a42004b18fdffac5762c4dbd8cfd121f9f161ff33,False,
2l|3j,2l,3j,,40,40,14.0,19,4,1.202532,True,True,28,True,5,24,1.6667,0.003,,E_OK,92c15b8c5c33b37ca6a789fe703553db266d1764b7285a4b8b81655df1450120,e78da5bb5acadc73e3dce55a42004b18fdffac5762c4dbd8cfd121f9f161ff33,False,
2q|3a,2q,3a,,40,40,14.0,19,4,1.202532,True,True,28,True,5,24,1.6667,0.001,,E_OK,92c15b8c5c33b37ca6a789fe703553db266d1764b7285a4b8b81655df1450120,e78da5bb5acadc73e3dce55a42004b18fdffac5762c4dbd8cfd121f9f161ff33,False,
2q|3b,2q,3b,,40,40,14.0,19,4,1.202532,True,True,28,True,5,24,1.6667,0.001,,E_OK,92c15b8c5c33b37ca6a789fe703553db266d1764b7285a4b8b81655df1450120,e78da5bb5acadc73e3dce55a42004b18fdffac5762c4dbd8cfd121f9f161ff33,False,
2q|3c,2q,3c,,40,40,14.0,19,4,1.202532,True,True,28,True,5,24,1.6667,0.002,,E_OK,92c15b8c5c33b37ca6a789fe703553db266d1764b7285a4b8b81655df1450120,e78da5bb5acadc73e3dce55a42004b18fdffac5762c4dbd8cfd121f9f161ff33,False,
2q|3d,2q,3d,,40,40,14.0,19,4,1.202532,True,True,28,True,5,24,1.6667,0.016,,E_OK,92c15b8c5c33b37ca6a789fe703553db266d1764b7285a4b8b81655df1450120,e78da5bb5acadc73e3dce55a42004b18fdffac5762c4dbd8cfd121f9f161ff33,False,
2q|3i,2q,3i,,40,40,14.0,19,4,1.202532,True,True,28,True,5,24,1.6667,0.001,,E_OK,92c15b8c5c33b37ca6a789fe703553db266d1764b7285a4b8b81655df1450120,e78da5bb5acadc73e3dce55a42004b18fdffac5762c4dbd8cfd121f9f161ff33,False,
2q|3j,2q,3j,,40,40,14.0,19,4,1.202532,True,True,28,True,5,24,1.6667,0.009,,E_OK,92c15b8c5c33b37ca6a789fe703553db266d1764b7285a4b8b81655df1450120,e78da5bb5acadc73e3dce55a42004b18fdffac5762c4dbd8cfd121f9f161ff33,False,
2q|3e,2q,3e,,40,40,14.0,19,4,1.202532,True,True,28,True,5,24,1.6667,0.002,,E_OK,92c15b8c5c33b37ca6a789fe703553db266d1764b7285a4b8b81655df1450120,e78da5bb5acadc73e3dce55a42004b18fdffac5762c4dbd8cfd121f9f161ff33,False,
2q|3f,2q,3f,,40,40,14.0,19,4,1.202532,True,True,28,True,5,24,1.6667,0.002,,E_OK,92c15b8c5c33b37ca6a789fe703553db266d1764b7285a4b8b81655df1450120,4d7935a4c753b0f7f4d073dbd65a16fdb12e5295951f7fb788cd16c747119ec2,False,
2q|3g,2q,3g,,40,40,14.0,19,4,1.202532,True,True,28,True,5,24,1.6667,0.001,,E_OK,92c15b8c5c33b37ca6a789fe703553db266d1764b7285a4b8b81655df1450120,e78da5bb5acadc73e3dce55a42004b18fdffac5762c4dbd8cfd121f9f161ff33,False,
2b|3b,2b,3b,,44,44,18.0,20,4,1.265823,True,True,34,True,5,24,1.8333,0.001,,E_OK,2aa8af06822212e8b848fdbcaba63e3df9e1183d2376d52438e32544dba8d10e,e66441ef0060c67f919cbd0b826a1cef62c09a90ecbaa237b7fe50bb22204c8a,False,
2b|3c,2b,3c,,44,44,18.0,20,4,1.265823,True,True,34,True,5,24,1.8333,0.002,,E_OK,2aa8af06822212e8b848fdbcaba63e3df9e1183d2376d52438e32544dba8d10e,e66441ef0060c67f919cbd0b826a1cef62c09a90ecbaa237b7fe50bb22204c8a,False,
2b|3d,2b,3d,,44,44,18.0,20,4,1.265823,True,True,34,True,5,24,1.8333,0.015,,E_OK,2aa8af06822212e8b848fdbcaba63e3df9e1183d2376d52438e32544dba8d10e,e66441ef0060c67f919cbd0b826a1cef62c09a90ecbaa237b7fe50bb22204c8a,False,
2b|3e,2b,3e,,44,44,18.0,20,4,1.265823,True,True,34,True,5,24,1.8333,0.002,,E_OK,2aa8af06822212e8b848fdbcaba63e3df9e1183d2376d52438e32544dba8d10e,e66441ef0060c67f919cbd0b826a1cef62c09a90ecbaa237b7fe50bb22204c8a,False,
2b|3i,2b,3i,,44,44,18.0,20,4,1.265823,True,True,34,True,5,24,1.8333,0.002,,E_OK,2aa8af06822212e8b848fdbcaba63e3df9e1183d2376d52438e32544dba8d10e,e66441ef0060c67f919cbd0b826a1cef62c09a90ecbaa237b7fe50bb22204c8a,False,
2b|3j,2b,3j,,44,44,18.0,20,4,1.265823,True,True,34,True,5,24,1.8333,0.003,,E_OK,2aa8af06822212e8b848fdbcaba63e3df9e1183d2376d52438e32544dba8d10e,e66441ef0060c67f919cbd0b826a1cef62c09a90ecbaa237b7fe50bb22204c8a,False,
2j|3d,2j,3d,,44,44,18.0,20,4,1.265823,True,True,34,True,5,24,1.8333,0.014,,E_OK,726a772c415858bb8a6fce5e4893fecf79813ac61a5535d1aae108f28c8c6588,a9e884a9555d8d108f04294c975bb9e80cd4649715f7468c50bd8d7d1401a191,False,
2j|3e,2j,3e,,44,44,18.0,20,4,1.265823,True,True,34,True,5,24,1.8333,0.002,,E_OK,726a772c415858bb8a6fce5e4893fecf79813ac61a5535d1aae108f28c8c6588,a9e884a9555d8d108f04294c975bb9e80cd4649715f7468c50bd8d7d1401a191,False,
