pipeline,s2,s3,s4,makespan,makespan_sched,cp_comm,max_load,edge_cut,load_imbalance,connected,valid,max_imem,imem_ok,n_gpus_used,omega,ratio_to_omega,time_s,error,error_code,asgn_hash,tb_hash,unique_hw_sim,tb_fname
2o|3a,2o,3a,,32,32,16.0,21,3,1.714286,True,True,29,True,4,18,1.7778,0.001,,E_OK,7878469dfc4c821d457ad8c6bd0315d592d768c4ae05730c6e4247743aaaeefd,d5f4521e4bcdeeca9f335a2897f029dd656bfafa9b230cca4976a59d26b9fbbc,True,tb_2o_3a_none
2o|3b,2o,3b,,32,32,16.0,21,3,1.714286,True,True,29,True,4,18,1.7778,0.001,,E_OK,7878469dfc4c821d457ad8c6bd0315d592d768c4ae05730c6e4247743aaaeefd,d5f4521e4bcdeeca9f335a2897f029dd656bfafa9b230cca4976a59d26b9fbbc,False,
2o|3c,2o,3c,,32,32,16.0,21,3,1.714286,True,True,29,True,4,18,1.7778,0.009,,E_OK,7878469dfc4c821d457ad8c6bd0315d592d768c4ae05730c6e4247743aaaeefd,d5f4521e4bcdeeca9f335a2897f029dd656bfafa9b230cca4976a59d26b9fbbc,False,
2o|3d,2o,3d,,32,32,16.0,21,3,1.714286,True,True,29,True,4,18,1.7778,0.016,,E_OK,7878469dfc4c821d457ad8c6bd0315d592d768c4ae05730c6e4247743aaaeefd,d5f4521e4bcdeeca9f335a2897f029dd656bfafa9b230cca4976a59d26b9fbbc,False,
2o|3i,2o,3i,,32,32,16.0,21,3,1.714286,True,True,29,True,4,18,1.7778,0.001,,E_OK,7878469dfc4c821d457ad8c6bd0315d592d768c4ae05730c6e4247743aaaeefd,d5f4521e4bcdeeca9f335a2897f029dd656bfafa9b230cca4976a59d26b9fbbc,False,
2o|3j,2o,3j,,32,32,16.0,21,3,1.714286,True,True,29,True,4,18,1.7778,0.001,,E_OK,7878469dfc4c821d457ad8c6bd0315d592d768c4ae05730c6e4247743aaaeefd,d5f4521e4bcdeeca9f335a2897f029dd656bfafa9b230cca4976a59d26b9fbbc,False,
2o|3e,2o,3e,,32,32,16.0,21,3,1.714286,True,True,29,True,4,18,1.7778,0.001,,E_OK,7878469dfc4c821d457ad8c6bd0315d592d768c4ae05730c6e4247743aaaeefd,d5f4521e4bcdeeca9f335a2897f029dd656bfafa9b230cca4976a59d26b9fbbc,False,
2o|3f,2o,3f,,32,32,16.0,21,3,1.714286,True,True,29,True,4,18,1.7778,0.001,,E_OK,7878469dfc4c821d457ad8c6bd0315d592d768c4ae05730c6e4247743aaaeefd,d5f4521e4bcdeeca9f335a2897f029dd656bfafa9b230cca4976a59d26b9fbbc,False,
2o|3g,2o,3g,,32,32,16.0,21,3,1.714286,True,True,29,True,4,18,1.7778,0.005,,E_OK,7878469dfc4c821d457ad8c6bd0315d592d768c4ae05730c6e4247743aaaeefd,d5f4521e4bcdeeca9f335a2897f029dd656bfafa9b230cca4976a59d26b9fbbc,False,
2o|3h,2o,3h,,32,32,16.0,21,3,1.714286,True,True,29,True,4,18,1.7778,1.873,,E_OK,7878469dfc4c821d457ad8c6bd0315d592d768c4ae05730c6e4247743aaaeefd,d5f4521e4bcdeeca9f335a2897f029dd656bfafa9b230cca4976a59d26b9fbbc,False,
2l|3a,2l,3a,,37,37,16.0,19,3,1.55102,True,True,28,True,4,18,2.0556,0.001,,E_OK,8cada95951df61d58c706d9f317643d520dcc916ac1c0b46a34d343842c009b2,04e690e6f27cebdaacb64a248d7ba3faf38885e74193bb18711cbf23e50ae40c,True,tb_2l_3a_none
2l|3b,2l,3b,,37,37,16.0,19,3,1.55102,True,True,28,True,4,18,2.0556,0.004,,E_OK,8cada95951df61d58c706d9f317643d520dcc916ac1c0b46a34d343842c009b2,04e690e6f27cebdaacb64a248d7ba3faf38885e74193bb18711cbf23e50ae40c,False,
2l|3c,2l,3c,,37,37,16.0,19,3,1.55102,True,True,28,True,4,18,2.0556,0.001,,E_OK,8cada95951df61d58c706d9f317643d520dcc916ac1c0b46a34d343842c009b2,04e690e6f27cebdaacb64a248d7ba3faf38885e74193bb18711cbf23e50ae40c,False,
