pipeline,s2,s3,s4,makespan,makespan_sched,cp_comm,max_load,edge_cut,load_imbalance,connected,valid,max_imem,imem_ok,n_gpus_used,omega,ratio_to_omega,time_s,error,error_code,asgn_hash,tb_hash,unique_hw_sim,tb_fname
2b|3e,2b,3e,,36,36,28.0,22,7,1.106918,True,True,33,True,8,24,1.5,0.004,,E_OK,21e5f5b1930ac5ad29ccc46b351eb447d3eb670c9c74360d015e2051496b1de9,bb42e8727300726000f360de4d43197592ba03705cf75d69288609e743202862,True,tb_2b_3e_none
2o|3e,2o,3e,,36,36,28.0,22,7,1.106918,True,True,33,True,8,24,1.5,0.004,,E_OK,1913812010cc3fa7052fff0cbb57de450de731ca927f16f8698f5cf9ad6fb8cb,906924618b472b43a50c71cbb2007bcd1f94fa07832748fdf88d3174b2d07eb7,True,tb_2o_3e_none
2a|3e,2a,3e,,50,50,35.0,26,30,1.308176,False,True,43,True,8,24,2.0833,0.005,,E_OK,c0062caf253a0b20ac043fcf23cfa7f5fa149f47ed3be883832e7b4943ee6e5a,c71d8d05cb6132f0e17c359bccc93caaec2619e0838f5c1610e3483bc14858f9,True,tb_2a_3e_none
2m|3e,2m,3e,,50,50,33.0,26,29,1.308176,False,True,43,True,8,24,2.0833,0.007,,E_OK,c124a56a2236c91d115241050fa287ab2a4fa8d71cdf2d30b4e748d62e135cc3,58ea82d594cf1f4e5e05f6f0c485322e619c3c8e45bec684435ebe6565a6f697,True,tb_2m_3e_none
2g|3e,2g,3e,,52,52,16.0,30,31,1.509434,False,True,46,True,8,24,2.1667,0.009,,E_OK,b2cea52145ab79df50d3b17bf20ca6e2d0a51344d9d0ed3a5d82f7ea61cdfb67,f47987d014701b5d10032124d6fda52a8f45c88db84c04e04997d041ebb09132,False,
2d|3e,2d,3e,,53,53,37.0,29,14,1.459119,False,True,47,True,8,24,2.2083,0.005,,E_OK,f2ea290200f67cd205c93a81ba57191d8a5ab926fe0d6c5139cdb03304936ebb,b99236c89a5b797c8df0b887325f8f22f662dc91957e17ed1b144615bff49ad7,True,tb_2d_3e_none
2b|3b,2b,3b,,56,56,28.0,22,7,1.106918,True,True,45,True,8,24,2.3333,0.003,,E_OK,21e5f5b1930ac5ad29ccc46b351eb447d3eb670c9c74360d015e2051496b1de9,6a7e501cf0479b659ee5e047dc01bd913336a7d9605b9aac2aa4cd97517a29ef,False,
2b|3c,2b,3c,,56,56,28.0,22,7,1.106918,True,True,45,True,8,24,2.3333,0.003,,E_OK,21e5f5b1930ac5ad29ccc46b351eb447d3eb670c9c74360d015e2051496b1de9,6a7e501cf0479b659ee5e047dc01bd913336a7d9605b9aac2aa4cd97517a29ef,False,
2b|3d,2b,3d,,56,56,28.0,22,7,1.106918,True,True,45,True,8,24,2.3333,0.029,,E_OK,21e5f5b1930ac5ad29ccc46b351eb447d3eb670c9c74360d015e2051496b1de9,6a7e501cf0479b659ee5e047dc01bd913336a7d9605b9aac2aa4cd97517a29ef,False,
2o|3d,2o,3d,,56,56,28.0,22,7,1.106918,True,True,45,True,8,24,2.3333,0.029,,E_OK,1913812010cc3fa7052fff0cbb57de450de731ca927f16f8698f5cf9ad6fb8cb,02fb36afe6e7ce5bbaeae26fe9c9115b8f6639ad9d7f98175df6ffd576377e50,False,
