pipeline,s2,s3,s4,makespan,makespan_sched,cp_comm,max_load,edge_cut,load_imbalance,connected,valid,max_imem,imem_ok,n_gpus_used,omega,ratio_to_omega,time_s,error,error_code,asgn_hash,tb_hash,unique_hw_sim,tb_fname
2b|3b,2b,3b,,72,72,18.0,41,3,1.031447,True,True,67,True,4,48,1.5,0.002,,E_OK,22647c717c0d8e338a2358f4120e45faba32eeadfc7ff5c69612e5b6783e54da,ad3ce27596d76333bc5efcee5fe670cc0431cf95f95633b6d0f82f2bb7ed4420,False,
2b|3d,2b,3d,,72,72,18.0,41,3,1.031447,True,True,67,True,4,48,1.5,0.015,,E_OK,22647c717c0d8e338a2358f4120e45faba32eeadfc7ff5c69612e5b6783e54da,ad3ce27596d76333bc5efcee5fe670cc0431cf95f95633b6d0f82f2bb7ed4420,False,
2b|3e,2b,3e,,72,72,18.0,41,3,1.031447,True,True,67,True,4,48,1.5,0.003,,E_OK,22647c717c0d8e338a2358f4120e45faba32eeadfc7ff5c69612e5b6783e54da,ad3ce27596d76333bc5efcee5fe670cc0431cf95f95633b6d0f82f2bb7ed4420,False,
2k|3a,2k,3a,,72,72,17.0,41,3,1.031447,True,True,67,True,4,48,1.5,0.003,,E_OK,f50d553ed81c43313a0f4312f452d564caa5b1cb2a0e850e44f88e528f5353ad,e6bc25dfcec409d4a9b61c543f0770e099fdf1b01455e74fad93ecc9be92d961,True,tb_2k_3a_none
2k|3b,2k,3b,,72,72,17.0,41,3,1.031447,True,True,67,True,4,48,1.5,0.003,,E_OK,f50d553ed81c43313a0f4312f452d564caa5b1cb2a0e850e44f88e528f5353ad,e6bc25dfcec409d4a9b61c543f0770e099fdf1b01455e74fad93ecc9be92d961,False,
2k|3c,2k,3c,,72,72,17.0,41,3,1.031447,True,True,67,True,4,48,1.5,0.003,,E_OK,f50d553ed81c43313a0f4312f452d564caa5b1cb2a0e850e44f88e528f5353ad,e6bc25dfcec409d4a9b61c543f0770e099fdf1b01455e74fad93ecc9be92d961,False,
2k|3d,2k,3d,,72,72,17.0,41,3,1.031447,True,True,67,True,4,48,1.5,0.015,,E_OK,f50d553ed81c43313a0f4312f452d564caa5b1cb2a0e850e44f88e528f5353ad,e6bc25dfcec409d4a9b61c543f0770e099fdf1b01455e74fad93ecc9be92d961,False,
2k|3i,2k,3i,,72,72,17.0,41,3,1.031447,True,True,67,True,4,48,1.5,0.003,,E_OK,f50d553ed81c43313a0f4312f452d564caa5b1cb2a0e850e44f88e528f5353ad,e6bc25dfcec409d4a9b61c543f0770e099fdf1b01455e74fad93ecc9be92d961,False,
2k|3j,2k,3j,,72,72,17.0,41,3,1.031447,True,True,67,True,4,48,1.5,0.008,,E_OK,f50d553ed81c43313a0f4312f452d564caa5b1cb2a0e850e44f88e528f5353ad,e6bc25dfcec409d4a9b61c543f0770e099fdf1b01455e74fad93ecc9be92d961,False,
2o|3a,2o,3a,,72,72,17.0,41,3,1.031447,True,True,67,True,4,48,1.5,0.002,,E_OK,8e941bec361bab1da0937ea9c271b8731c39699f9c734a6e5379c1413a1a7c50,bd10bd1359ea470404020d75503c5fa6ac8a09356857cb268f61eb9ea4981a60,True,tb_2o_3a_none
