pipeline,s2,s3,s4,makespan,makespan_sched,cp_comm,max_load,edge_cut,load_imbalance,connected,valid,max_imem,imem_ok,n_gpus_used,omega,ratio_to_omega,time_s,error,error_code,asgn_hash,tb_hash,unique_hw_sim,tb_fname
2l|3c,2l,3c,,43,43,22.0,19,15,1.91195,True,True,28,True,16,16,2.6875,0.082,,E_OK,5dad56e7c369a0393f8156d400b31e18ab0aa315b958e46fd128be3b7a55c7dd,f76bfb2c5fa3a8299e3d2eda239a5a85ea4ab6f89d7a8cc8f3be4a970a7a3256,False,
2l|3d,2l,3d,,43,43,22.0,19,15,1.91195,True,True,28,True,16,16,2.6875,0.062,,E_OK,5dad56e7c369a0393f8156d400b31e18ab0aa315b958e46fd128be3b7a55c7dd,f76bfb2c5fa3a8299e3d2eda239a5a85ea4ab6f89d7a8cc8f3be4a970a7a3256,False,
2l|3f,2l,3f,,43,43,22.0,19,15,1.91195,True,True,28,True,16,16,2.6875,0.007,,E_OK,5dad56e7c369a0393f8156d400b31e18ab0aa315b958e46fd128be3b7a55c7dd,f76bfb2c5fa3a8299e3d2eda239a5a85ea4ab6f89d7a8cc8f3be4a970a7a3256,False,
2l|3j,2l,3j,,43,43,22.0,19,15,1.91195,True,True,28,True,16,16,2.6875,0.04,,E_OK,5dad56e7c369a0393f8156d400b31e18ab0aa315b958e46fd128be3b7a55c7dd,f76bfb2c5fa3a8299e3d2eda239a5a85ea4ab6f89d7a8cc8f3be4a970a7a3256,False,
2b|3b,2b,3b,,44,44,28.0,13,15,1.308176,True,True,37,True,16,16,2.75,0.008,,E_OK,b0cd18fc028bf12a98926fa7f3c527f13bcc1b7d2bf7a12f415565eb4d3e2fcd,561a3e0e22efd75216278df776cd256127d5cfdf3b45bab5e5e1e76eb8f3a3e1,False,
2b|3d,2b,3d,,44,44,28.0,13,15,1.308176,True,True,37,True,16,16,2.75,0.075,,E_OK,b0cd18fc028bf12a98926fa7f3c527f13bcc1b7d2bf7a12f415565eb4d3e2fcd,561a3e0e22efd75216278df776cd256127d5cfdf3b45bab5e5e1e76eb8f3a3e1,False,
2b|3e,2b,3e,,44,44,28.0,13,15,1.308176,True,True,37,True,16,16,2.75,0.013,,E_OK,b0cd18fc028bf12a98926fa7f3c527f13bcc1b7d2bf7a12f415565eb4d3e2fcd,561a3e0e22efd75216278df776cd256127d5cfdf3b45bab5e5e1e76eb8f3a3e1,False,
2k|3a,2k,3a,,44,44,25.0,13,15,1.308176,True,True,37,True,16,16,2.75,0.007,,E_OK,6abfe8c35b2bc57c3dfe1dc8a0701ed836d8acd49815d49b2845a2a6da9c1e17,4d33d513b8db74da56c573cc532d9bbb75e44732f13699453e8f7137288586f8,True,tb_2k_3a_none
2k|3b,2k,3b,,44,44,25.0,13,15,1.308176,True,True,37,True,16,16,2.75,0.008,,E_OK,6abfe8c35b2bc57c3dfe1dc8a0701ed836d8acd49815d49b2845a2a6da9c1e17,4d33d513b8db74da56c573cc532d9bbb75e44732f13699453e8f7137288586f8,False,
2k|3d,2k,3d,,44,44,25.0,13,15,1.308176,True,True,37,True,16,16,2.75,0.066,,E_OK,6abfe8c35b2bc57c3dfe1dc8a0701ed836d8acd49815d49b2845a2a6da9c1e17,4d33d513b8db74da56c573cc532d9bbb75e44732f13699453e8f7137288586f8,False,
2k|3i,2k,3i,,44,44,25.0,13,15,1.308176,True,True,37,True,16,16,2.75,0.013,,E_OK,6abfe8c35b2bc57c3dfe1dc8a0701ed836d8acd49815d49b2845a2a6da9c1e17,4d33d513b8db74da56c573cc532d9bbb75e44732f13699453e8f7137288586f8,False,
2k|3j,2k,3j,,44,44,25.0,13,15,1.308176,True,True,37,True,16,16,2.75,0.068,,E_OK,6abfe8c35b2bc57c3dfe1dc8a0701ed836d8acd49815d49b2845a2a6da9c1e17,4d33d513b8db74da56c573cc532d9bbb75e44732f13699453e8f7137288586f8,False,
2l|3a,2l,3a,,44,44,22.0,19,15,1.91195,True,True,28,True,16,16,2.75,0.005,,E_OK,5dad56e7c369a0393f8156d400b31e18ab0aa315b958e46fd128be3b7a55c7dd,f76bfb2c5fa3a8299e3d2eda239a5a85ea4ab6f89d7a8cc8f3be4a970a7a3256,True,tb_2l_3a_none
2l|3b,2l,3b,,44,44,22.0,19,15,1.91195,True,True,28,True,16,16,2.75,0.011,,E_OK,5dad56e7c369a0393f8156d400b31e18ab0aa315b958e46fd128be3b7a55c7dd,f76bfb2c5fa3a8299e3d2eda239a5a85ea4ab6f89d7a8cc8f3be4a970a7a3256,False,
2l|3e,2l,3e,,44,44,22.0,19,15,1.91195,True,True,28,True,16,16,2.75,0.018,,E_OK,5dad56e7c369a0393f8156d400b31e18ab0aa315b958e46fd128be3b7a55c7dd,f76bfb2c5fa3a8299e3d2eda239a5a85ea4ab6f89d7a8cc8f3be4a970a7a3256,False,
2o|3i,2o,3i,,44,44,27.0,13,15,1.308176,True,True,37,True,16,16,2.75,0.008,,E_OK,797a71862bd09c4842187d854698fe3906df5cbcb250f4cb73cdd4f695e3acbe,dbba54a9694cb26dc69f4272de2e90f5729da0b87bf0b841f9201331faeb1f50,True,tb_2o_3i_none
2o|3j,2o,3j,,44,44,27.0,13,15,1.308176,True,True,37,True,16,16,2.75,0.041,,E_OK,797a71862bd09c4842187d854698fe3906df5cbcb250f4cb73cdd4f695e3acbe,dbba54a9694cb26dc69f4272de2e90f5729da0b87bf0b841f9201331faeb1f50,False,
2p|3b,2p,3b,,44,44,28.0,19,15,1.91195,True,True,32,True,16,16,2.75,0.007,,E_OK,29c0be1a88f8a29a0884dcbe405e12fbeab6a85fc91cf646afdcbbe517c3457f,13d42b50ea05de20604853631a3f958a2a5d9a6fdc28ce56fac03fa1e130fd5a,False,
2o|3b,2o,3b,,44,44,27.0,13,15,1.308176,True,True,37,True,16,16,2.75,0.004,,E_OK,797a71862bd09c4842187d854698fe3906df5cbcb250f4cb73cdd4f695e3acbe,dbba54a9694cb26dc69f4272de2e90f5729da0b87bf0b841f9201331faeb1f50,False,
2o|3d,2o,3d,,44,44,27.0,13,15,1.308176,True,True,37,True,16,16,2.75,0.057,,E_OK,797a71862bd09c4842187d854698fe3906df5cbcb250f4cb73cdd4f695e3acbe,dbba54a9694cb26dc69f4272de2e90f5729da0b87bf0b841f9201331faeb1f50,False,
2p|3d,2p,3d,,44,44,28.0,19,15,1.91195,True,True,32,True,16,16,2.75,0.063,,E_OK,29c0be1a88f8a29a0884dcbe405e12fbeab6a85fc91cf646afdcbbe517c3457f,13d42b50ea05de20604853631a3f958a2a5d9a6fdc28ce56fac03fa1e130fd5a,False,
2p|3e,2p,3e,,44,44,28.0,19,15,1.91195,True,True,32,True,16,16,2.75,0.016,,E_OK,29c0be1a88f8a29a0884dcbe405e12fbeab6a85fc91cf646afdcbbe517c3457f,e24fdb4ac2e85e8301e52a2a4a69be0842a419b5f8e0faad440a5a7df50f4b62,True,tb_2p_3e_none
