pipeline,s2,s3,s4,makespan,makespan_sched,cp_comm,max_load,edge_cut,load_imbalance,connected,valid,max_imem,imem_ok,n_gpus_used,omega,ratio_to_omega,time_s,error,error_code,asgn_hash,tb_hash,unique_hw_sim,tb_fname
2b|3a,2b,3a,,37,37,11.0,20,1,1.025641,True,True,33,True,2,24,1.5417,0.001,,E_OK,fbcae1ce537341c8bb302b938ee11db133695c1fef0cdd17af89f289cb41eac5,e587f3df4bc58829d2096413f69eb90417e6a7d528eef65a3254fc90ef071045,True,tb_2b_3a_none
2b|3b,2b,3b,,37,37,11.0,20,1,1.025641,True,True,33,True,2,24,1.5417,0.001,,E_OK,fbcae1ce537341c8bb302b938ee11db133695c1fef0cdd17af89f289cb41eac5,e587f3df4bc58829d2096413f69eb90417e6a7d528eef65a3254fc90ef071045,False,
2b|3g,2b,3g,,37,37,11.0,20,1,1.025641,True,True,33,True,2,24,1.5417,0.001,,E_OK,fbcae1ce537341c8bb302b938ee11db133695c1fef0cdd17af89f289cb41eac5,e587f3df4bc58829d2096413f69eb90417e6a7d528eef65a3254fc90ef071045,False,
2b|3h,2b,3h,,37,37,11.0,20,1,1.025641,True,True,33,True,2,24,1.5417,0.001,,E_OK,fbcae1ce537341c8bb302b938ee11db133695c1fef0cdd17af89f289cb41eac5,e587f3df4bc58829d2096413f69eb90417e6a7d528eef65a3254fc90ef071045,False,
2b|3i,2b,3i,,37,37,11.0,20,1,1.025641,True,True,33,True,2,24,1.5417,0.001,,E_OK,fbcae1ce537341c8bb302b938ee11db133695c1fef0cdd17af89f289cb41eac5,e587f3df4bc58829d2096413f69eb90417e6a7d528eef65a3254fc90ef071045,False,
2b|3j,2b,3j,,37,37,11.0,20,1,1.025641,True,True,33,True,2,24,1.5417,0.001,,E_OK,fbcae1ce537341c8bb302b938ee11db133695c1fef0cdd17af89f289cb41eac5,e587f3df4bc58829d2096413f69eb90417e6a7d528eef65a3254fc90ef071045,False,
2b|3c,2b,3c,,37,37,11.0,20,1,1.025641,True,True,33,True,2,24,1.5417,0.008,,E_OK,fbcae1ce537341c8bb302b938ee11db133695c1fef0cdd17af89f289cb41eac5,e587f3df4bc58829d2096413f69eb90417e6a7d528eef65a3254fc90ef071045,False,
2b|3d,2b,3d,,37,37,11.0,20,1,1.025641,True,True,33,True,2,24,1.5417,0.001,,E_OK,fbcae1ce537341c8bb302b938ee11db133695c1fef0cdd17af89f289cb41eac5,e587f3df4bc58829d2096413f69eb90417e6a7d528eef65a3254fc90ef071045,False,
2b|3e,2b,3e,,37,37,11.0,20,1,1.025641,True,True,33,True,2,24,1.5417,0.001,,E_OK,fbcae1ce537341c8bb302b938ee11db133695c1fef0cdd17af89f289cb41eac5,e587f3df4bc58829d2096413f69eb90417e6a7d528eef65a3254fc90ef071045,False,
2b|3f,2b,3f,,37,37,11.0,20,1,1.025641,True,True,33,True,2,24,1.5417,0.001,,E_OK,fbcae1ce537341c8bb302b938ee11db133695c1fef0cdd17af89f289cb41eac5,e587f3df4bc58829d2096413f69eb90417e6a7d528eef65a3254fc90ef071045,False,
2d|3a,2d,3a,,37,37,11.0,20,1,1.025641,True,True,33,True,2,24,1.5417,0.001,,E_OK,fbcae1ce537341c8bb302b938ee11db133695c1fef0cdd17af89f289cb41eac5,e587f3df4bc58829d2096413f69eb90417e6a7d528eef65a3254fc90ef071045,False,
2d|3b,2d,3b,,37,37,11.0,20,1,1.025641,True,True,33,True,2,24,1.5417,0.001,,E_OK,fbcae1ce537341c8bb302b938ee11db133695c1fef0cdd17af89f289cb41eac5,e587f3df4bc58829d2096413f69eb90417e6a7d528eef65a3254fc90ef071045,False,
2d|3c,2d,3c,,37,37,11.0,20,1,1.025641,True,True,33,True,2,24,1.5417,0.001,,E_OK,fbcae1ce537341c8bb302b938ee11db133695c1fef0cdd17af89f289cb41eac5,e587f3df4bc58829d2096413f69eb90417e6a7d528eef65a3254fc90ef071045,False,
2d|3d,2d,3d,,37,37,11.0,20,1,1.025641,True,True,33,True,2,24,1.5417,0.001,,E_OK,fbcae1ce537341c8bb302b938ee11db133695c1fef0cdd17af89f289cb41eac5,e587f3df4bc58829d2096413f69eb90417e6a7d528eef65a3254fc90ef071045,False,
2d|3e,2d,3e,,37,37,11.0,20,1,1.025641,True,True,33,True,2,24,1.5417,0.001,,E_OK,fbcae1ce537341c8bb302b938ee11db133695c1fef0cdd17af89f289cb41eac5,e587f3df4bc58829d2096413f69eb90417e6a7d528eef65a3254fc90ef071045,False,
2d|3f,2d,3f,,37,37,11.0,20,1,1.025641,True,True,33,True,2,24,1.5417,0.001,,E_OK,fbcae1ce537341c8bb302b938ee11db133695c1fef0cdd17af89f289cb41eac5,e587f3df4bc58829d2096413f69eb90417e6a7d528eef65a3254fc90ef071045,False,
2d|3g,2d,3g,,37,37,11.0,20,1,1.025641,True,True,33,True,2,24,1.5417,0.001,,E_OK,fbcae1ce537341c8bb302b938ee11db133695c1fef0cdd17af89f289cb41eac5,e587f3df4bc58829d2096413f69eb90417e6a7d528eef65a3254fc90ef071045,False,
2d|3h,2d,3h,,37,37,11.0,20,1,1.025641,True,True,33,True,2,24,1.5417,0.001,,E_OK,fbcae1ce537341c8bb302b938ee11db133695c1fef0cdd17af89f289cb41eac5,e587f3df4bc58829d2096413f69eb90417e6a7d528eef65a3254fc90ef071045,False,
2d|3i,2d,3i,,37,37,11.0,20,1,1.025641,True,True,33,True,2,24,1.5417,0.001,,E_OK,fbcae1ce537341c8bb302b938ee11db133695c1fef0cdd17af89f289cb41eac5,e587f3df4bc58829d2096413f69eb90417e6a7d528eef65a3254fc90ef071045,False,
2d|3j,2d,3j,,37,37,11.0,20,1,1.025641,True,True,33,True,2,24,1.5417,0.001,,E_OK,fbcae1ce537341c8bb302b938ee11db133695c1fef0cdd17af89f289cb41eac5,e587f3df4bc58829d2096413f69eb90417e6a7d528eef65a3254fc90ef071045,False,
2e|3a,2e,3a,,37,37,11.0,20,1,1.025641,True,True,33,True,2,24,1.5417,0.025,,E_OK,fbcae1ce537341c8bb302b938ee11db133695c1fef0cdd17af89f289cb41eac5,e587f3df4bc58829d2096413f69eb90417e6a7d528eef65a3254fc90ef071045,False,
2e|3b,2e,3b,,37,37,11.0,20,1,1.025641,True,True,33,True,2,24,1.5417,0.024,,E_OK,fbcae1ce537341c8bb302b938ee11db133695c1fef0cdd17af89f289cb41eac5,e587f3df4bc58829d2096413f69eb90417e6a7d528eef65a3254fc90ef071045,False,
2e|3c,2e,3c,,37,37,11.0,20,1,1.025641,True,True,33,True,2,24,1.5417,0.024,,E_OK,fbcae1ce537341c8bb302b938ee11db133695c1fef0cdd17af89f289cb41eac5,e587f3df4bc58829d2096413f69eb90417e6a7d528eef65a3254fc90ef071045,False,
2e|3d,2e,3d,,37,37,11.0,20,1,1.025641,True,True,33,True,2,24,1.5417,0.024,,E_OK,fbcae1ce537341c8bb302b938ee11db133695c1fef0cdd17af89f289cb41eac5,e587f3df4bc58829d2096413f69eb90417e6a7d528eef65a3254fc90ef071045,False,
2e|3i,2e,3i,,37,37,11.0,20,1,1.025641,True,True,33,True,2,24,1.5417,0.024,,E_OK,fbcae1ce537341c8bb302b938ee11db133695c1fef0cdd17af89f289cb41eac5,e587f3df4bc58829d2096413f69eb90417e6a7d528eef65a3254fc90ef071045,False,
2e|3j,2e,3j,,37,37,11.0,20,1,1.025641,True,True,33,True,2,24,1.5417,0.022,,E_OK,fbcae1ce537341c8bb302b938ee11db133695c1fef0cdd17af89f289cb41eac5,e587f3df4bc58829d2096413f69eb90417e6a7d528eef65a3254fc90ef071045,False,
2f|3a,2f,3a,,37,37,11.0,20,1,1.025641,True,True,33,True,2,24,1.5417,0.001,,E_OK,088d082b787d2afc5a7ca2ffda70f7be68cab58a3a78e2a86ebc69c2775d3e99,69732bf498466002b4eda12394e9967e3b0dec410dc1a750a9cbb4c684d7b33f,True,tb_2f_3a_none
2f|3b,2f,3b,,37,37,11.0,20,1,1.025641,True,True,33,True,2,24,1.5417,0.001,,E_OK,088d082b787d2afc5a7ca2ffda70f7be68cab58a3a78e2a86ebc69c2775d3e99,69732bf498466002b4eda12394e9967e3b0dec410dc1a750a9cbb4c684d7b33f,False,
2f|3c,2f,3c,,37,37,11.0,20,1,1.025641,True,True,33,True,2,24,1.5417,0.001,,E_OK,088d082b787d2afc5a7ca2ffda70f7be68cab58a3a78e2a86ebc69c2775d3e99,69732bf498466002b4eda12394e9967e3b0dec410dc1a750a9cbb4c684d7b33f,False,
2f|3d,2f,3d,,37,37,11.0,20,1,1.025641,True,True,33,True,2,24,1.5417,0.001,,E_OK,088d082b787d2afc5a7ca2ffda70f7be68cab58a3a78e2a86ebc69c2775d3e99,69732bf498466002b4eda12394e9967e3b0dec410dc1a750a9cbb4c684d7b33f,False,
2f|3e,2f,3e,,37,37,11.0,20,1,1.025641,True,True,33,True,2,24,1.5417,0.001,,E_OK,088d082b787d2afc5a7ca2ffda70f7be68cab58a3a78e2a86ebc69c2775d3e99,69732bf498466002b4eda12394e9967e3b0dec410dc1a750a9cbb4c684d7b33f,False,
2f|3f,2f,3f,,37,37,11.0,20,1,1.025641,True,True,33,True,2,24,1.5417,0.001,,E_OK,088d082b787d2afc5a7ca2ffda70f7be68cab58a3a78e2a86ebc69c2775d3e99,69732bf498466002b4eda12394e9967e3b0dec410dc1a750a9cbb4c684d7b33f,False,
2f|3g,2f,3g,,37,37,11.0,20,1,1.025641,True,True,33,True,2,24,1.5417,0.001,,E_OK,088d082b787d2afc5a7ca2ffda70f7be68cab58a3a78e2a86ebc69c2775d3e99,69732bf498466002b4eda12394e9967e3b0dec410dc1a750a9cbb4c684d7b33f,False,
2f|3h,2f,3h,,37,37,11.0,20,1,1.025641,True,True,33,True,2,24,1.5417,0.001,,E_OK,088d082b787d2afc5a7ca2ffda70f7be68cab58a3a78e2a86ebc69c2775d3e99,69732bf498466002b4eda12394e9967e3b0dec410dc1a750a9cbb4c684d7b33f,False,
2f|3i,2f,3i,,37,37,11.0,20,1,1.025641,True,True,33,True,2,24,1.5417,0.001,,E_OK,088d082b787d2afc5a7ca2ffda70f7be68cab58a3a78e2a86ebc69c2775d3e99,69732bf498466002b4eda12394e9967e3b0dec410dc1a750a9cbb4c684d7b33f,False,
2f|3j,2f,3j,,37,37,11.0,20,1,1.025641,True,True,33,True,2,24,1.5417,0.001,,E_OK,088d082b787d2afc5a7ca2ffda70f7be68cab58a3a78e2a86ebc69c2775d3e99,69732bf498466002b4eda12394e9967e3b0dec410dc1a750a9cbb4c684d7b33f,False,
2j|3a,2j,3a,,37,37,11.0,20,1,1.025641,True,True,33,True,2,24,1.5417,0.001,,E_OK,088d082b787d2afc5a7ca2ffda70f7be68cab58a3a78e2a86ebc69c2775d3e99,69732bf498466002b4eda12394e9967e3b0dec410dc1a750a9cbb4c684d7b33f,False,
2j|3b,2j,3b,,37,37,11.0,20,1,1.025641,True,True,33,True,2,24,1.5417,0.001,,E_OK,088d082b787d2afc5a7ca2ffda70f7be68cab58a3a78e2a86ebc69c2775d3e99,69732bf498466002b4eda12394e9967e3b0dec410dc1a750a9cbb4c684d7b33f,False,
2j|3c,2j,3c,,37,37,11.0,20,1,1.025641,True,True,33,True,2,24,1.5417,0.001,,E_OK,088d082b787d2afc5a7ca2ffda70f7be68cab58a3a78e2a86ebc69c2775d3e99,69732bf498466002b4eda12394e9967e3b0dec410dc1a750a9cbb4c684d7b33f,False,
2j|3d,2j,3d,,37,37,11.0,20,1,1.025641,True,True,33,True,2,24,1.5417,0.001,,E_OK,088d082b787d2afc5a7ca2ffda70f7be68cab58a3a78e2a86ebc69c2775d3e99,69732bf498466002b4eda12394e9967e3b0dec410dc1a750a9cbb4c684d7b33f,False,
2j|3e,2j,3e,,37,37,11.0,20,1,1.025641,True,True,33,True,2,24,1.5417,0.001,,E_OK,088d082b787d2afc5a7ca2ffda70f7be68cab58a3a78e2a86ebc69c2775d3e99,69732bf498466002b4eda12394e9967e3b0dec410dc1a750a9cbb4c684d7b33f,False,
2j|3f,2j,3f,,37,37,11.0,20,1,1.025641,True,True,33,True,2,24,1.5417,0.001,,E_OK,088d082b787d2afc5a7ca2ffda70f7be68cab58a3a78e2a86ebc69c2775d3e99,69732bf498466002b4eda12394e9967e3b0dec410dc1a750a9cbb4c684d7b33f,False,
2e|3e,2e,3e,,37,37,11.0,20,1,1.025641,True,True,33,True,2,24,1.5417,0.048,,E_OK,fbcae1ce537341c8bb302b938ee11db133695c1fef0cdd17af89f289cb41eac5,e587f3df4bc58829d2096413f69eb90417e6a7d528eef65a3254fc90ef071045,False,
2e|3f,2e,3f,,37,37,11.0,20,1,1.025641,True,True,33,True,2,24,1.5417,0.048,,E_OK,fbcae1ce537341c8bb302b938ee11db133695c1fef0cdd17af89f289cb41eac5,e587f3df4bc58829d2096413f69eb90417e6a7d528eef65a3254fc90ef071045,False,
2e|3g,2e,3g,,37,37,11.0,20,1,1.025641,True,True,33,True,2,24,1.5417,0.051,,E_OK,fbcae1ce537341c8bb302b938ee11db133695c1fef0cdd17af89f289cb41eac5,e587f3df4bc58829d2096413f69eb90417e6a7d528eef65a3254fc90ef071045,False,
2e|3h,2e,3h,,37,37,11.0,20,1,1.025641,True,True,33,True,2,24,1.5417,0.044,,E_OK,fbcae1ce537341c8bb302b938ee11db133695c1fef0cdd17af89f289cb41eac5,e587f3df4bc58829d2096413f69eb90417e6a7d528eef65a3254fc90ef071045,False,
2j|3g,2j,3g,,37,37,11.0,20,1,1.025641,True,True,33,True,2,24,1.5417,0.001,,E_OK,088d082b787d2afc5a7ca2ffda70f7be68cab58a3a78e2a86ebc69c2775d3e99,69732bf498466002b4eda12394e9967e3b0dec410dc1a750a9cbb4c684d7b33f,False,
2j|3h,2j,3h,,37,37,11.0,20,1,1.025641,True,True,33,True,2,24,1.5417,0.001,,E_OK,088d082b787d2afc5a7ca2ffda70f7be68cab58a3a78e2a86ebc69c2775d3e99,69732bf498466002b4eda12394e9967e3b0dec410dc1a750a9cbb4c684d7b33f,False,
2j|3i,2j,3i,,37,37,11.0,20,1,1.025641,True,True,33,True,2,24,1.5417,0.001,,E_OK,088d082b787d2afc5a7ca2ffda70f7be68cab58a3a78e2a86ebc69c2775d3e99,69732bf498466002b4eda12394e9967e3b0dec410dc1a750a9cbb4c684d7b33f,False,
2j|3j,2j,3j,,37,37,11.0,20,1,1.025641,True,True,33,True,2,24,1.5417,0.001,,E_OK,088d082b787d2afc5a7ca2ffda70f7be68cab58a3a78e2a86ebc69c2775d3e99,69732bf498466002b4eda12394e9967e3b0dec410dc1a750a9cbb4c684d7b33f,False,
2k|3e,2k,3e,,37,37,11.0,20,1,1.025641,True,True,33,True,2,24,1.5417,0.001,,E_OK,2fcdde602bb9b31e8d087c45a223188c2a4ea9c65a4be8180c0d719fded7dfd7,3b4f4412320a6fdcad86a2c68ab3647f6b8517c90b9fa18b83fa1c0d86c1a69a,True,tb_2k_3e_none
2k|3f,2k,3f,,37,37,11.0,20,1,1.025641,True,True,33,True,2,24,1.5417,0.001,,E_OK,2fcdde602bb9b31e8d087c45a223188c2a4ea9c65a4be8180c0d719fded7dfd7,3b4f4412320a6fdcad86a2c68ab3647f6b8517c90b9fa18b83fa1c0d86c1a69a,False,
2k|3g,2k,3g,,37,37,11.0,20,1,1.025641,True,True,33,True,2,24,1.5417,0.001,,E_OK,2fcdde602bb9b31e8d087c45a223188c2a4ea9c65a4be8180c0d719fded7dfd7,3b4f4412320a6fdcad86a2c68ab3647f6b8517c90b9fa18b83fa1c0d86c1a69a,False,
2k|3h,2k,3h,,37,37,11.0,20,1,1.025641,True,True,33,True,2,24,1.5417,0.001,,E_OK,2fcdde602bb9b31e8d087c45a223188c2a4ea9c65a4be8180c0d719fded7dfd7,3b4f4412320a6fdcad86a2c68ab3647f6b8517c90b9fa18b83fa1c0d86c1a69a,False,
2k|3a,2k,3a,,37,37,11.0,20,1,1.025641,True,True,33,True,2,24,1.5417,0.008,,E_OK,2fcdde602bb9b31e8d087c45a223188c2a4ea9c65a4be8180c0d719fded7dfd7,3b4f4412320a6fdcad86a2c68ab3647f6b8517c90b9fa18b83fa1c0d86c1a69a,False,
2k|3b,2k,3b,,37,37,11.0,20,1,1.025641,True,True,33,True,2,24,1.5417,0.001,,E_OK,2fcdde602bb9b31e8d087c45a223188c2a4ea9c65a4be8180c0d719fded7dfd7,3b4f4412320a6fdcad86a2c68ab3647f6b8517c90b9fa18b83fa1c0d86c1a69a,False,
2k|3c,2k,3c,,37,37,11.0,20,1,1.025641,True,True,33,True,2,24,1.5417,0.001,,E_OK,2fcdde602bb9b31e8d087c45a223188c2a4ea9c65a4be8180c0d719fded7dfd7,3b4f4412320a6fdcad86a2c68ab3647f6b8517c90b9fa18b83fa1c0d86c1a69a,False,
