pipeline,s2,s3,s4,makespan,makespan_sched,cp_comm,max_load,edge_cut,load_imbalance,connected,valid,max_imem,imem_ok,n_gpus_used,omega,ratio_to_omega,time_s,error,error_code,asgn_hash,tb_hash,unique_hw_sim,tb_fname
2b|3b,2b,3b,,30,30,16.0,11,3,1.128205,True,True,25,True,4,13,2.3077,0.001,,E_OK,2570905c643f84a1721e6dfffbade1164d556ae767c8d6562c02b339b9fbc123,741c88b4de6d83277c1f5c54559ec2bc1c9be50b18d9615385417ec0a55ad664,False,
2b|3d,2b,3d,,30,30,16.0,11,3,1.128205,True,True,25,True,4,13,2.3077,0.019,,E_OK,2570905c643f84a1721e6dfffbade1164d556ae767c8d6562c02b339b9fbc123,741c88b4de6d83277c1f5c54559ec2bc1c9be50b18d9615385417ec0a55ad664,False,
2b|3e,2b,3e,,30,30,16.0,11,3,1.128205,True,True,25,True,4,13,2.3077,0.001,,E_OK,2570905c643f84a1721e6dfffbade1164d556ae767c8d6562c02b339b9fbc123,741c88b4de6d83277c1f5c54559ec2bc1c9be50b18d9615385417ec0a55ad664,False,
2c|3a,2c,3a,,30,30,15.0,11,3,1.128205,True,True,25,True,4,13,2.3077,0.002,,E_OK,c26e2090f6554661867a30ade130d2ad1cc6cadb06908f1197c2d1f2f5369e29,930e2e1bfafafa74263bef2dec3b7263490a315c44bd44eed3be5c0fb911c174,True,tb_2c_3a_none
2c|3b,2c,3b,,30,30,15.0,11,3,1.128205,True,True,25,True,4,13,2.3077,0.002,,E_OK,c26e2090f6554661867a30ade130d2ad1cc6cadb06908f1197c2d1f2f5369e29,930e2e1bfafafa74263bef2dec3b7263490a315c44bd44eed3be5c0fb911c174,False,
2c|3d,2c,3d,,30,30,15.0,11,3,1.128205,True,True,25,True,4,13,2.3077,0.025,,E_OK,c26e2090f6554661867a30ade130d2ad1cc6cadb06908f1197c2d1f2f5369e29,930e2e1bfafafa74263bef2dec3b7263490a315c44bd44eed3be5c0fb911c174,False,
2c|3i,2c,3i,,30,30,15.0,11,3,1.128205,True,True,25,True,4,13,2.3077,0.003,,E_OK,c26e2090f6554661867a30ade130d2ad1cc6cadb06908f1197c2d1f2f5369e29,930e2e1bfafafa74263bef2dec3b7263490a315c44bd44eed3be5c0fb911c174,False,
2c|3j,2c,3j,,30,30,15.0,11,3,1.128205,True,True,25,True,4,13,2.3077,0.003,,E_OK,c26e2090f6554661867a30ade130d2ad1cc6cadb06908f1197c2d1f2f5369e29,930e2e1bfafafa74263bef2dec3b7263490a315c44bd44eed3be5c0fb911c174,False,
2d|3b,2d,3b,,30,30,16.0,11,3,1.128205,True,True,25,True,4,13,2.3077,0.001,,E_OK,b88fdd8596ed857ff48e80a3360c095dc825f54cf6491e6fdb02228d1576a8c1,0c6d266251bb25b7441532812f055b001b27a9aa021644519d5f6870765cd9db,False,
2d|3d,2d,3d,,30,30,16.0,11,3,1.128205,True,True,25,True,4,13,2.3077,0.013,,E_OK,b88fdd8596ed857ff48e80a3360c095dc825f54cf6491e6fdb02228d1576a8c1,0c6d266251bb25b7441532812f055b001b27a9aa021644519d5f6870765cd9db,False,
2d|3e,2d,3e,,30,30,16.0,11,3,1.128205,True,True,25,True,4,13,2.3077,0.002,,E_OK,b88fdd8596ed857ff48e80a3360c095dc825f54cf6491e6fdb02228d1576a8c1,0c6d266251bb25b7441532812f055b001b27a9aa021644519d5f6870765cd9db,False,
2c|3e,2c,3e,,30,30,15.0,11,3,1.128205,True,True,25,True,4,13,2.3077,0.002,,E_OK,c26e2090f6554661867a30ade130d2ad1cc6cadb06908f1197c2d1f2f5369e29,930e2e1bfafafa74263bef2dec3b7263490a315c44bd44eed3be5c0fb911c174,False,
2c|3g,2c,3g,,30,30,15.0,11,3,1.128205,True,True,25,True,4,13,2.3077,0.001,,E_OK,c26e2090f6554661867a30ade130d2ad1cc6cadb06908f1197c2d1f2f5369e29,930e2e1bfafafa74263bef2dec3b7263490a315c44bd44eed3be5c0fb911c174,False,
2b|3i,2b,3i,,30,30,16.0,11,3,1.128205,True,True,25,True,4,13,2.3077,0.003,,E_OK,2570905c643f84a1721e6dfffbade1164d556ae767c8d6562c02b339b9fbc123,741c88b4de6d83277c1f5c54559ec2bc1c9be50b18d9615385417ec0a55ad664,False,
2b|3j,2b,3j,,30,30,16.0,11,3,1.128205,True,True,25,True,4,13,2.3077,0.002,,E_OK,2570905c643f84a1721e6dfffbade1164d556ae767c8d6562c02b339b9fbc123,741c88b4de6d83277c1f5c54559ec2bc1c9be50b18d9615385417ec0a55ad664,False,
2k|3a,2k,3a,,30,30,15.0,11,3,1.128205,True,True,25,True,4,13,2.3077,0.002,,E_OK,9b15dc2c9be7ebb298c8951ddfb96b16d609dccb6673fbbe13f54917f0b2dfdd,d329a89145515f4d9bff50a035182ce1aef138bc18cdc5d2cc0b7540faa8cb67,True,tb_2k_3a_none
2k|3b,2k,3b,,30,30,15.0,11,3,1.128205,True,True,25,True,4,13,2.3077,0.001,,E_OK,9b15dc2c9be7ebb298c8951ddfb96b16d609dccb6673fbbe13f54917f0b2dfdd,d329a89145515f4d9bff50a035182ce1aef138bc18cdc5d2cc0b7540faa8cb67,False,
2k|3d,2k,3d,,30,30,15.0,11,3,1.128205,True,True,25,True,4,13,2.3077,0.013,,E_OK,9b15dc2c9be7ebb298c8951ddfb96b16d609dccb6673fbbe13f54917f0b2dfdd,d329a89145515f4d9bff50a035182ce1aef138bc18cdc5d2cc0b7540faa8cb67,False,
2k|3i,2k,3i,,30,30,15.0,11,3,1.128205,True,True,25,True,4,13,2.3077,0.002,,E_OK,9b15dc2c9be7ebb298c8951ddfb96b16d609dccb6673fbbe13f54917f0b2dfdd,d329a89145515f4d9bff50a035182ce1aef138bc18cdc5d2cc0b7540faa8cb67,False,
2k|3j,2k,3j,,30,30,15.0,11,3,1.128205,True,True,25,True,4,13,2.3077,0.002,,E_OK,9b15dc2c9be7ebb298c8951ddfb96b16d609dccb6673fbbe13f54917f0b2dfdd,d329a89145515f4d9bff50a035182ce1aef138bc18cdc5d2cc0b7540faa8cb67,False,
2d|3i,2d,3i,,30,30,16.0,11,3,1.128205,True,True,25,True,4,13,2.3077,0.001,,E_OK,b88fdd8596ed857ff48e80a3360c095dc825f54cf6491e6fdb02228d1576a8c1,0c6d266251bb25b7441532812f055b001b27a9aa021644519d5f6870765cd9db,False,
2d|3j,2d,3j,,30,30,16.0,11,3,1.128205,True,True,25,True,4,13,2.3077,0.002,,E_OK,b88fdd8596ed857ff48e80a3360c095dc825f54cf6491e6fdb02228d1576a8c1,0c6d266251bb25b7441532812f055b001b27a9aa021644519d5f6870765cd9db,False,
2o|3b,2o,3b,,30,30,16.0,11,3,1.128205,True,True,25,True,4,13,2.3077,0.001,,E_OK,154126a430dc8c5a24c4f33c29551d48479fa21d4deb08a0f699f88f29629762,7ef5e1641ef81e9e957b536e24d22796c4257f47c298905d8bcfe2fa121ef535,False,
2o|3d,2o,3d,,30,30,16.0,11,3,1.128205,True,True,25,True,4,13,2.3077,0.013,,E_OK,154126a430dc8c5a24c4f33c29551d48479fa21d4deb08a0f699f88f29629762,7ef5e1641ef81e9e957b536e24d22796c4257f47c298905d8bcfe2fa121ef535,False,
2o|3i,2o,3i,,30,30,16.0,11,3,1.128205,True,True,25,True,4,13,2.3077,0.002,,E_OK,154126a430dc8c5a24c4f33c29551d48479fa21d4deb08a0f699f88f29629762,7ef5e1641ef81e9e957b536e24d22796c4257f47c298905d8bcfe2fa121ef535,False,
2o|3j,2o,3j,,30,30,16.0,11,3,1.128205,True,True,25,True,4,13,2.3077,0.002,,E_OK,154126a430dc8c5a24c4f33c29551d48479fa21d4deb08a0f699f88f29629762,7ef5e1641ef81e9e957b536e24d22796c4257f47c298905d8bcfe2fa121ef535,False,
2k|3e,2k,3e,,30,30,15.0,11,3,1.128205,True,True,25,True,4,13,2.3077,0.002,,E_OK,9b15dc2c9be7ebb298c8951ddfb96b16d609dccb6673fbbe13f54917f0b2dfdd,d329a89145515f4d9bff50a035182ce1aef138bc18cdc5d2cc0b7540faa8cb67,False,
2k|3g,2k,3g,,30,30,15.0,11,3,1.128205,True,True,25,True,4,13,2.3077,0.001,,E_OK,9b15dc2c9be7ebb298c8951ddfb96b16d609dccb6673fbbe13f54917f0b2dfdd,d329a89145515f4d9bff50a035182ce1aef138bc18cdc5d2cc0b7540faa8cb67,False,
2o|3e,2o,3e,,30,30,16.0,11,3,1.128205,True,True,25,True,4,13,2.3077,0.001,,E_OK,154126a430dc8c5a24c4f33c29551d48479fa21d4deb08a0f699f88f29629762,7ef5e1641ef81e9e957b536e24d22796c4257f47c298905d8bcfe2fa121ef535,False,
2b|3a,2b,3a,,31,31,16.0,11,3,1.128205,True,True,25,True,4,13,2.3846,0.001,,E_OK,2570905c643f84a1721e6dfffbade1164d556ae767c8d6562c02b339b9fbc123,741c88b4de6d83277c1f5c54559ec2bc1c9be50b18d9615385417ec0a55ad664,True,tb_2b_3a_none
2b|3c,2b,3c,,31,31,16.0,11,3,1.128205,True,True,25,True,4,13,2.3846,0.001,,E_OK,2570905c643f84a1721e6dfffbade1164d556ae767c8d6562c02b339b9fbc123,741c88b4de6d83277c1f5c54559ec2bc1c9be50b18d9615385417ec0a55ad664,False,
2b|3f,2b,3f,,31,31,16.0,11,3,1.128205,True,True,25,True,4,13,2.3846,0.001,,E_OK,2570905c643f84a1721e6dfffbade1164d556ae767c8d6562c02b339b9fbc123,741c88b4de6d83277c1f5c54559ec2bc1c9be50b18d9615385417ec0a55ad664,False,
2c|3c,2c,3c,,31,31,15.0,11,3,1.128205,True,True,25,True,4,13,2.3846,0.001,,E_OK,c26e2090f6554661867a30ade130d2ad1cc6cadb06908f1197c2d1f2f5369e29,930e2e1bfafafa74263bef2dec3b7263490a315c44bd44eed3be5c0fb911c174,False,
2d|3a,2d,3a,,31,31,16.0,11,3,1.128205,True,True,25,True,4,13,2.3846,0.001,,E_OK,b88fdd8596ed857ff48e80a3360c095dc825f54cf6491e6fdb02228d1576a8c1,0c6d266251bb25b7441532812f055b001b27a9aa021644519d5f6870765cd9db,True,tb_2d_3a_none
2d|3c,2d,3c,,31,31,16.0,11,3,1.128205,True,True,25,True,4,13,2.3846,0.002,,E_OK,b88fdd8596ed857ff48e80a3360c095dc825f54cf6491e6fdb02228d1576a8c1,0c6d266251bb25b7441532812f055b001b27a9aa021644519d5f6870765cd9db,False,
2d|3f,2d,3f,,31,31,16.0,11,3,1.128205,True,True,25,True,4,13,2.3846,0.001,,E_OK,b88fdd8596ed857ff48e80a3360c095dc825f54cf6491e6fdb02228d1576a8c1,0c6d266251bb25b7441532812f055b001b27a9aa021644519d5f6870765cd9db,False,
2c|3f,2c,3f,,31,31,15.0,11,3,1.128205,True,True,25,True,4,13,2.3846,0.001,,E_OK,c26e2090f6554661867a30ade130d2ad1cc6cadb06908f1197c2d1f2f5369e29,930e2e1bfafafa74263bef2dec3b7263490a315c44bd44eed3be5c0fb911c174,False,
2c|3h,2c,3h,,31,31,15.0,11,3,1.128205,True,True,25,True,4,13,2.3846,1.303,,E_OK,c26e2090f6554661867a30ade130d2ad1cc6cadb06908f1197c2d1f2f5369e29,930e2e1bfafafa74263bef2dec3b7263490a315c44bd44eed3be5c0fb911c174,False,
2b|3g,2b,3g,,31,31,16.0,11,3,1.128205,True,True,25,True,4,13,2.3846,0.001,,E_OK,2570905c643f84a1721e6dfffbade1164d556ae767c8d6562c02b339b9fbc123,741c88b4de6d83277c1f5c54559ec2bc1c9be50b18d9615385417ec0a55ad664,False,
2b|3h,2b,3h,,31,31,16.0,11,3,1.128205,True,True,25,True,4,13,2.3846,1.534,,E_OK,2570905c643f84a1721e6dfffbade1164d556ae767c8d6562c02b339b9fbc123,741c88b4de6d83277c1f5c54559ec2bc1c9be50b18d9615385417ec0a55ad664,False,
2k|3c,2k,3c,,31,31,15.0,11,3,1.128205,True,True,25,True,4,13,2.3846,0.001,,E_OK,9b15dc2c9be7ebb298c8951ddfb96b16d609dccb6673fbbe13f54917f0b2dfdd,d329a89145515f4d9bff50a035182ce1aef138bc18cdc5d2cc0b7540faa8cb67,False,
2d|3g,2d,3g,,31,31,16.0,11,3,1.128205,True,True,25,True,4,13,2.3846,0.001,,E_OK,b88fdd8596ed857ff48e80a3360c095dc825f54cf6491e6fdb02228d1576a8c1,0c6d266251bb25b7441532812f055b001b27a9aa021644519d5f6870765cd9db,False,
2d|3h,2d,3h,,31,31,16.0,11,3,1.128205,True,True,25,True,4,13,2.3846,1.41,,E_OK,b88fdd8596ed857ff48e80a3360c095dc825f54cf6491e6fdb02228d1576a8c1,0c6d266251bb25b7441532812f055b001b27a9aa021644519d5f6870765cd9db,False,
2o|3a,2o,3a,,31,31,16.0,11,3,1.128205,True,True,25,True,4,13,2.3846,0.001,,E_OK,154126a430dc8c5a24c4f33c29551d48479fa21d4deb08a0f699f88f29629762,7ef5e1641ef81e9e957b536e24d22796c4257f47c298905d8bcfe2fa121ef535,True,tb_2o_3a_none
2o|3c,2o,3c,,31,31,16.0,11,3,1.128205,True,True,25,True,4,13,2.3846,0.001,,E_OK,154126a430dc8c5a24c4f33c29551d48479fa21d4deb08a0f699f88f29629762,7ef5e1641ef81e9e957b536e24d22796c4257f47c298905d8bcfe2fa121ef535,False,
2k|3f,2k,3f,,31,31,15.0,11,3,1.128205,True,True,25,True,4,13,2.3846,0.001,,E_OK,9b15dc2c9be7ebb298c8951ddfb96b16d609dccb6673fbbe13f54917f0b2dfdd,d329a89145515f4d9bff50a035182ce1aef138bc18cdc5d2cc0b7540faa8cb67,False,
2k|3h,2k,3h,,31,31,15.0,11,3,1.128205,True,True,25,True,4,13,2.3846,1.457,,E_OK,9b15dc2c9be7ebb298c8951ddfb96b16d609dccb6673fbbe13f54917f0b2dfdd,d329a89145515f4d9bff50a035182ce1aef138bc18cdc5d2cc0b7540faa8cb67,False,
2o|3f,2o,3f,,31,31,16.0,11,3,1.128205,True,True,25,True,4,13,2.3846,0.001,,E_OK,154126a430dc8c5a24c4f33c29551d48479fa21d4deb08a0f699f88f29629762,7ef5e1641ef81e9e957b536e24d22796c4257f47c298905d8bcfe2fa121ef535,False,
2o|3g,2o,3g,,31,31,16.0,11,3,1.128205,True,True,25,True,4,13,2.3846,0.001,,E_OK,154126a430dc8c5a24c4f33c29551d48479fa21d4deb08a0f699f88f29629762,7ef5e1641ef81e9e957b536e24d22796c4257f47c298905d8bcfe2fa121ef535,False,
2o|3h,2o,3h,,31,31,16.0,11,3,1.128205,True,True,25,True,4,13,2.3846,1.41,,E_OK,154126a430dc8c5a24c4f33c29551d48479fa21d4deb08a0f699f88f29629762,7ef5e1641ef81e9e957b536e24d22796c4257f47c298905d8bcfe2fa121ef535,False,
2a|3b,2a,3b,,32,32,16.0,13,6,1.333333,False,True,22,True,4,13,2.4615,0.001,,E_OK,721be001226ae8f54f3f10acb24a75c25403d7d5d838d544a50f2465bc067bbc,c51f0c034311f1d60b2f772d873a8ffa65e8d216981dd5c6b8323856f2dc6ed8,False,
2a|3d,2a,3d,,32,32,16.0,13,6,1.333333,False,True,22,True,4,13,2.4615,0.013,,E_OK,721be001226ae8f54f3f10acb24a75c25403d7d5d838d544a50f2465bc067bbc,c51f0c034311f1d60b2f772d873a8ffa65e8d216981dd5c6b8323856f2dc6ed8,False,
2a|3e,2a,3e,,32,32,16.0,13,6,1.333333,False,True,22,True,4,13,2.4615,0.002,,E_OK,721be001226ae8f54f3f10acb24a75c25403d7d5d838d544a50f2465bc067bbc,c51f0c034311f1d60b2f772d873a8ffa65e8d216981dd5c6b8323856f2dc6ed8,False,
2a|3i,2a,3i,,32,32,16.0,13,6,1.333333,False,True,22,True,4,13,2.4615,0.001,,E_OK,721be001226ae8f54f3f10acb24a75c25403d7d5d838d544a50f2465bc067bbc,c51f0c034311f1d60b2f772d873a8ffa65e8d216981dd5c6b8323856f2dc6ed8,False,
2a|3j,2a,3j,,32,32,16.0,13,6,1.333333,False,True,22,True,4,13,2.4615,0.002,,E_OK,721be001226ae8f54f3f10acb24a75c25403d7d5d838d544a50f2465bc067bbc,c51f0c034311f1d60b2f772d873a8ffa65e8d216981dd5c6b8323856f2dc6ed8,False,
2m|3b,2m,3b,,32,32,16.0,13,6,1.333333,False,True,22,True,4,13,2.4615,0.001,,E_OK,721be001226ae8f54f3f10acb24a75c25403d7d5d838d544a50f2465bc067bbc,c51f0c034311f1d60b2f772d873a8ffa65e8d216981dd5c6b8323856f2dc6ed8,False,
2m|3d,2m,3d,,32,32,16.0,13,6,1.333333,False,True,22,True,4,13,2.4615,0.028,,E_OK,721be001226ae8f54f3f10acb24a75c25403d7d5d838d544a50f2465bc067bbc,c51f0c034311f1d60b2f772d873a8ffa65e8d216981dd5c6b8323856f2dc6ed8,False,
2m|3i,2m,3i,,32,32,16.0,13,6,1.333333,False,True,22,True,4,13,2.4615,0.002,,E_OK,721be001226ae8f54f3f10acb24a75c25403d7d5d838d544a50f2465bc067bbc,c51f0c034311f1d60b2f772d873a8ffa65e8d216981dd5c6b8323856f2dc6ed8,False,
2m|3j,2m,3j,,32,32,16.0,13,6,1.333333,False,True,22,True,4,13,2.4615,0.002,,E_OK,721be001226ae8f54f3f10acb24a75c25403d7d5d838d544a50f2465bc067bbc,c51f0c034311f1d60b2f772d873a8ffa65e8d216981dd5c6b8323856f2dc6ed8,False,
2m|3e,2m,3e,,32,32,16.0,13,6,1.333333,False,True,22,True,4,13,2.4615,0.001,,E_OK,721be001226ae8f54f3f10acb24a75c25403d7d5d838d544a50f2465bc067bbc,c51f0c034311f1d60b2f772d873a8ffa65e8d216981dd5c6b8323856f2dc6ed8,False,
2a|3a,2a,3a,,33,33,16.0,13,6,1.333333,False,True,22,True,4,13,2.5385,0.002,,E_OK,721be001226ae8f54f3f10acb24a75c25403d7d5d838d544a50f2465bc067bbc,c51f0c034311f1d60b2f772d873a8ffa65e8d216981dd5c6b8323856f2dc6ed8,True,tb_2a_3a_none
2a|3c,2a,3c,,33,33,16.0,13,6,1.333333,False,True,22,True,4,13,2.5385,0.001,,E_OK,721be001226ae8f54f3f10acb24a75c25403d7d5d838d544a50f2465bc067bbc,c51f0c034311f1d60b2f772d873a8ffa65e8d216981dd5c6b8323856f2dc6ed8,False,
2a|3f,2a,3f,,33,33,16.0,13,6,1.333333,False,True,22,True,4,13,2.5385,0.001,,E_OK,721be001226ae8f54f3f10acb24a75c25403d7d5d838d544a50f2465bc067bbc,c51f0c034311f1d60b2f772d873a8ffa65e8d216981dd5c6b8323856f2dc6ed8,False,
2a|3g,2a,3g,,33,33,16.0,13,6,1.333333,False,True,22,True,4,13,2.5385,0.001,,E_OK,721be001226ae8f54f3f10acb24a75c25403d7d5d838d544a50f2465bc067bbc,c51f0c034311f1d60b2f772d873a8ffa65e8d216981dd5c6b8323856f2dc6ed8,False,
2a|3h,2a,3h,,33,33,16.0,13,6,1.333333,False,True,22,True,4,13,2.5385,1.283,,E_OK,721be001226ae8f54f3f10acb24a75c25403d7d5d838d544a50f2465bc067bbc,c51f0c034311f1d60b2f772d873a8ffa65e8d216981dd5c6b8323856f2dc6ed8,False,
2m|3a,2m,3a,,33,33,16.0,13,6,1.333333,False,True,22,True,4,13,2.5385,0.001,,E_OK,721be001226ae8f54f3f10acb24a75c25403d7d5d838d544a50f2465bc067bbc,c51f0c034311f1d60b2f772d873a8ffa65e8d216981dd5c6b8323856f2dc6ed8,False,
2m|3c,2m,3c,,33,33,16.0,13,6,1.333333,False,True,22,True,4,13,2.5385,0.001,,E_OK,721be001226ae8f54f3f10acb24a75c25403d7d5d838d544a50f2465bc067bbc,c51f0c034311f1d60b2f772d873a8ffa65e8d216981dd5c6b8323856f2dc6ed8,False,
