pipeline,s2,s3,s4,makespan,makespan_sched,cp_comm,max_load,edge_cut,load_imbalance,connected,valid,max_imem,imem_ok,n_gpus_used,omega,ratio_to_omega,time_s,error,error_code,asgn_hash,tb_hash,unique_hw_sim,tb_fname
2b|3e,2b,3e,,74,74,63.0,47,255,1.175115,True,True,71,True,256,48,1.5417,0.785,,E_OK,15b1a567839880a93536cf948fd1e8845f8aa057c75ce8ff014e4c0233d7f524,6133ae826c9c8e0bb8b723b091690aeb04171c5a157f1ff571850b81710cd225,True,tb_2b_3e_none
2k|3e,2k,3e,,74,74,63.0,47,255,1.175115,True,True,71,True,256,48,1.5417,1.324,,E_OK,344ebb46ba9982dceca64ef41e2ca2a5596619b873808464d7e97bc94c4f0441,ecbfbf8a3759a37f6954bb4d1486d9950257075aeb1e98edc88eb65e946748ed,True,tb_2k_3e_none
2o|3e,2o,3e,,74,74,63.0,47,255,1.175115,True,True,71,True,256,48,1.5417,0.642,,E_OK,48332871c718b13c860a60c13a33556c3782d19eba8e6be6f9a18dbd11d9a389,dba6f1bc36b2893a8912649ab25f3a8e01ab8c156e15e70fd25c4a3df5ff6205,True,tb_2o_3e_none
2b|3j,2b,3j,,126,126,63.0,47,255,1.175115,True,True,103,True,256,48,2.625,88.005,,E_OK,15b1a567839880a93536cf948fd1e8845f8aa057c75ce8ff014e4c0233d7f524,f512d71bb538eb0381ef8a1798f9f3d88d091fbe3de45b14bf4fe692c76f64c5,False,
2k|3j,2k,3j,,126,126,63.0,47,255,1.175115,True,True,103,True,256,48,2.625,87.008,,E_OK,344ebb46ba9982dceca64ef41e2ca2a5596619b873808464d7e97bc94c4f0441,b1fd36e3c30769fbf2b50f2f42d9116da2d1b6cce682e9726cfef4032def8dcb,False,
2b|3d,2b,3d,,128,128,63.0,47,255,1.175115,True,True,103,True,256,48,2.6667,1.194,,E_OK,15b1a567839880a93536cf948fd1e8845f8aa057c75ce8ff014e4c0233d7f524,f512d71bb538eb0381ef8a1798f9f3d88d091fbe3de45b14bf4fe692c76f64c5,False,
2o|3d,2o,3d,,128,128,63.0,47,255,1.175115,True,True,103,True,256,48,2.6667,1.066,,E_OK,48332871c718b13c860a60c13a33556c3782d19eba8e6be6f9a18dbd11d9a389,b1c7db4eef3159b765feddf1b2d8c336d09a742a7d1c72d791f067e2e4143faf,True,tb_2o_3d_none
2p|3e,2p,3e,,128,128,58.0,79,255,1.975193,True,True,112,True,256,48,2.6667,0.691,,E_OK,d6b5b06397e309c3b1e14c3e5b30e1aa55e50058d369910f0c44e6a8dace6b44,83ad64e75ef50e89f8b48603a2d135b6dbf48bf808a1825b81709e2f6beddff9,True,tb_2p_3e_none
2b|3c,2b,3c,,130,130,63.0,47,255,1.175115,True,True,103,True,256,48,2.7083,1.231,,E_OK,15b1a567839880a93536cf948fd1e8845f8aa057c75ce8ff014e4c0233d7f524,f512d71bb538eb0381ef8a1798f9f3d88d091fbe3de45b14bf4fe692c76f64c5,True,tb_2b_3c_none
2b|3f,2b,3f,,130,130,63.0,47,255,1.175115,True,True,103,True,256,48,2.7083,0.548,,E_OK,15b1a567839880a93536cf948fd1e8845f8aa057c75ce8ff014e4c0233d7f524,f512d71bb538eb0381ef8a1798f9f3d88d091fbe3de45b14bf4fe692c76f64c5,False,
