pipeline,s2,s3,s4,makespan,makespan_sched,cp_comm,max_load,edge_cut,load_imbalance,connected,valid,max_imem,imem_ok,n_gpus_used,omega,ratio_to_omega,time_s,error,error_code,asgn_hash,tb_hash,unique_hw_sim,tb_fname
2b|3e,2b,3e,,163,163,66.0,86,127,1.075105,True,True,149,True,128,96,1.6979,0.915,,E_OK,1a01ba083f648d26e9961cbd66f38c68b1ef09d920fcdbf720865876932c5673,03c730773d4b87c095fd100db59c43d32b82699974c37a0f96b271347d8d987f,True,tb_2b_3e_none
2k|3a,2k,3a,,163,163,43.0,86,127,1.075105,True,True,149,True,128,96,1.6979,0.421,,E_OK,08448c765c5c446809914fbeb707a1a227520edbbe85ac95b78152365f050cf6,12e7b9da570d05565dade5b187c135da7ba2dd072db7910d99187af6f16bc27b,True,tb_2k_3a_none
2b|3b,2b,3b,,163,163,66.0,86,127,1.075105,True,True,150,True,128,96,1.6979,0.494,,E_OK,1a01ba083f648d26e9961cbd66f38c68b1ef09d920fcdbf720865876932c5673,48a931515862131de7cc6e2004813d217a85c5eec6d168478f4a865e800ca02c,True,tb_2b_3b_none
2b|3i,2b,3i,,164,164,66.0,86,127,1.075105,True,True,149,True,128,96,1.7083,1.039,,E_OK,1a01ba083f648d26e9961cbd66f38c68b1ef09d920fcdbf720865876932c5673,76376885f98ce6585bef7876dc1eda8e64ada795d9256344328cbe4889da4aed,True,tb_2b_3i_none
2b|3d,2b,3d,,166,166,66.0,86,127,1.075105,True,True,151,True,128,96,1.7292,1.38,,E_OK,1a01ba083f648d26e9961cbd66f38c68b1ef09d920fcdbf720865876932c5673,478b80611b6127d4bf0a36c1e21e2f867b21e8ecefacbd27d6ae27d149fdc897,True,tb_2b_3d_none
2k|3b,2k,3b,,167,167,43.0,86,127,1.075105,True,True,151,True,128,96,1.7396,1.235,,E_OK,08448c765c5c446809914fbeb707a1a227520edbbe85ac95b78152365f050cf6,7b6720b9710df4eb3be90190d79be87eeeda8a0bf5f6b338a2e7397e58ae370a,True,tb_2k_3b_none
2k|3i,2k,3i,,168,168,43.0,86,127,1.075105,True,True,152,True,128,96,1.75,0.77,,E_OK,08448c765c5c446809914fbeb707a1a227520edbbe85ac95b78152365f050cf6,052fb234dea8be792607e9d6af7cfbc9e8a264084351dea467d7ff5c9db2dc93,True,tb_2k_3i_none
2k|3j,2k,3j,,168,168,43.0,86,127,1.075105,True,True,147,True,128,96,1.75,34.629,,E_OK,08448c765c5c446809914fbeb707a1a227520edbbe85ac95b78152365f050cf6,bec64cc21f9702814534f6406bbcf9f55e90df741d1893901de7a5383e3ce5dd,True,tb_2k_3j_none
2b|3j,2b,3j,,169,169,66.0,86,127,1.075105,True,True,149,True,128,96,1.7604,32.523,,E_OK,1a01ba083f648d26e9961cbd66f38c68b1ef09d920fcdbf720865876932c5673,d75fd402f17265be456ce5b606a0844cc05c265578753f021975aa1270993e17,True,tb_2b_3j_none
2o|3b,2o,3b,,169,169,65.0,86,127,1.075105,True,True,153,True,128,96,1.7604,0.432,,E_OK,a820ea116a804942082be453523ca720924e547a36e43bde39655146d25d282d,c83f46f7d668ae4a5d03cb276e1c2091f05249ade93e1f4ba24bf878bcf3b141,False,
2o|3i,2o,3i,,169,169,65.0,86,127,1.075105,True,True,152,True,128,96,1.7604,0.815,,E_OK,a820ea116a804942082be453523ca720924e547a36e43bde39655146d25d282d,39369a86209e660cfb443161259ad7614da7216a2501aa89f2c48ae3e2900080,True,tb_2o_3i_none
