pipeline,s2,s3,s4,makespan,makespan_sched,cp_comm,max_load,edge_cut,load_imbalance,connected,valid,max_imem,imem_ok,n_gpus_used,omega,ratio_to_omega,time_s,error,error_code,asgn_hash,tb_hash,unique_hw_sim,tb_fname
2p|3b,2p,3b,,322,322,548.0,39,511,1.95019,True,True,56,True,512,147,2.1905,1.509,,E_OK,fd2dd7f34f641a332965c2e987fd2aaab979b4c435c2685cbdf56be8d024e44b,fb66f4335648e37f5255a6087618046daaf3a02a12e7b92613e1d1c6456f4194,True,tb_2p_3b_none
2b|3e,2b,3e,,323,323,553.0,28,511,1.400137,True,True,54,True,512,147,2.1973,5.563,,E_OK,f26391b9e13c04b292ce734cd43a59b2d08f3b1d4aaca4215fa4449079c1bac5,207a6c19194883bcb591f4f6515e331f440a85f108d622a1a92203135bdf5b3e,True,tb_2b_3e_none
2p|3e,2p,3e,,323,323,548.0,39,511,1.95019,True,True,56,True,512,147,2.1973,5.556,,E_OK,fd2dd7f34f641a332965c2e987fd2aaab979b4c435c2685cbdf56be8d024e44b,4d4b86ccfb9ebdc1388a92a447ac267be577bd2e7395c16f54af4ebfa15bf16f,True,tb_2p_3e_none
2b|3b,2b,3b,,325,325,553.0,28,511,1.400137,True,True,54,True,512,147,2.2109,1.077,,E_OK,f26391b9e13c04b292ce734cd43a59b2d08f3b1d4aaca4215fa4449079c1bac5,945de9b6c5694aef66f1f31c36d093ab594d77e27fd8b0fa7d31469aefecdbfa,True,tb_2b_3b_none
2b|3i,2b,3i,,330,330,553.0,28,511,1.400137,True,True,57,True,512,147,2.2449,26.968,,E_OK,f26391b9e13c04b292ce734cd43a59b2d08f3b1d4aaca4215fa4449079c1bac5,cdd0c4694cb13083bc4e95b221a44cfcd5a1404722acef25d33f1dbcd978ec84,True,tb_2b_3i_none
2p|3i,2p,3i,,330,330,548.0,39,511,1.95019,True,True,57,True,512,147,2.2449,24.212,,E_OK,fd2dd7f34f641a332965c2e987fd2aaab979b4c435c2685cbdf56be8d024e44b,b54d2b1d4ffdc872712cdba871ad88b241662311c444fd0cfbe7fb536d35ee52,True,tb_2p_3i_none
2l|3b,2l,3b,,337,337,535.0,39,511,1.95019,True,True,56,True,512,147,2.2925,1.017,,E_OK,87bc887c99a0003d987090f22f41224de5db74ee1661bc85c94625c4849c3abd,e4d0b955751044ec589467e87aa9d9b13f9f01efcf924efb953394a4fc83fbd0,False,
2l|3e,2l,3e,,340,340,535.0,39,511,1.95019,True,True,56,True,512,147,2.3129,6.034,,E_OK,87bc887c99a0003d987090f22f41224de5db74ee1661bc85c94625c4849c3abd,e4d0b955751044ec589467e87aa9d9b13f9f01efcf924efb953394a4fc83fbd0,False,
2g|3a,2g,3a,,350,350,299.0,30,995,1.500146,False,True,55,True,512,147,2.381,20.018,,E_OK,da402d6423bd08bec3ddef146db2608a433fcadee488a999f9631c22b3dfbfd9,12d9cef9cb777f33a51583332e7ff890e5b1129d65b5cc8eefb9e5fd3dc69043,True,tb_2g_3a_none
2g|3g,2g,3g,,350,350,299.0,30,995,1.500146,False,True,55,True,512,147,2.381,20.056,,E_OK,da402d6423bd08bec3ddef146db2608a433fcadee488a999f9631c22b3dfbfd9,12d9cef9cb777f33a51583332e7ff890e5b1129d65b5cc8eefb9e5fd3dc69043,False,
2o|3i,2o,3i,,352,352,553.0,28,511,1.400137,True,True,81,True,512,147,2.3946,23.231,,E_OK,36eeb1d6d789ef9e9db0f5480dec61cc5390198958ec8c87abe8fe624c3d1159,f8d89fef546b869adbf05459a37b5c86e8eab45aa708d6054c33cc95eaaa0733,True,tb_2o_3i_none
2o|3e,2o,3e,,353,353,553.0,28,511,1.400137,True,True,81,True,512,147,2.4014,5.38,,E_OK,36eeb1d6d789ef9e9db0f5480dec61cc5390198958ec8c87abe8fe624c3d1159,4972bbfa4a9d82b24ae04eca5b7df26dd6a0825e233ff7e08f0ece129cbfee6e,True,tb_2o_3e_none
2j|3f,2j,3f,,363,363,548.0,39,511,1.95019,True,True,56,True,512,147,2.4694,1.638,,E_OK,37451543decb089554e7066f628ae73f3d6be009c7f252126fda180fbab152a3,8f9c9ed73f90e6d919104d20dc2f0972bb90466e2e37ac7a4b7b58fcd7396d7b,False,
