pipeline,s2,s3,s4,makespan,makespan_sched,cp_comm,max_load,edge_cut,load_imbalance,connected,valid,max_imem,imem_ok,n_gpus_used,omega,ratio_to_omega,time_s,error,error_code,asgn_hash,tb_hash,unique_hw_sim,tb_fname
2b|3e,2b,3e,,72,72,57.0,46,127,1.150225,True,True,69,True,128,48,1.5,0.269,,E_OK,13e6ed6bb4f0c5c1d6b2cc9e20c0a0a4cf0e3707a4f3b766e7e28b80dffb7ccb,5f554108b39e067a54936b9c9a1e355b313269a7bdbaf5f8af82f9a5540470ec,True,tb_2b_3e_none
2k|3e,2k,3e,,72,72,55.0,46,127,1.150225,True,True,69,True,128,48,1.5,0.362,,E_OK,b7df92c5b16e965e887c6c5bc0d5d922fe29385a1007c3e3d326f1e9ae6138d2,007dc7a8cc6aed9797b129fbfc6bd4ab231300a00c5e8134ea45250e75ca82a5,True,tb_2k_3e_none
2o|3e,2o,3e,,72,72,57.0,46,127,1.150225,True,True,69,True,128,48,1.5,0.33,,E_OK,2c592956ab3fd216b920438ee5751ff55cb389a5c11cf647c2cb4d7e853de027,750d9b78340b4e179a3cc2527f422d1cb292bab0eb88b4544124cdf388e8cd03,True,tb_2o_3e_none
2b|3j,2b,3j,,118,118,57.0,46,127,1.150225,True,True,97,True,128,48,2.4583,28.494,,E_OK,13e6ed6bb4f0c5c1d6b2cc9e20c0a0a4cf0e3707a4f3b766e7e28b80dffb7ccb,a2f2b7f9b9590002cf44453e1220e836c041a604f1737d40dd71c080922a7200,False,
2b|3d,2b,3d,,120,120,57.0,46,127,1.150225,True,True,97,True,128,48,2.5,0.673,,E_OK,13e6ed6bb4f0c5c1d6b2cc9e20c0a0a4cf0e3707a4f3b766e7e28b80dffb7ccb,a2f2b7f9b9590002cf44453e1220e836c041a604f1737d40dd71c080922a7200,False,
2k|3a,2k,3a,,120,120,55.0,46,127,1.150225,True,True,97,True,128,48,2.5,0.254,,E_OK,b7df92c5b16e965e887c6c5bc0d5d922fe29385a1007c3e3d326f1e9ae6138d2,3194aa4bb3aa3248f3d0dae40df982cc5ec9f5979a90940a471147ce895ef04d,True,tb_2k_3a_none
2k|3b,2k,3b,,120,120,55.0,46,127,1.150225,True,True,97,True,128,48,2.5,0.319,,E_OK,b7df92c5b16e965e887c6c5bc0d5d922fe29385a1007c3e3d326f1e9ae6138d2,3194aa4bb3aa3248f3d0dae40df982cc5ec9f5979a90940a471147ce895ef04d,False,
2k|3f,2k,3f,,120,120,55.0,46,127,1.150225,True,True,97,True,128,48,2.5,1.451,,E_OK,b7df92c5b16e965e887c6c5bc0d5d922fe29385a1007c3e3d326f1e9ae6138d2,3194aa4bb3aa3248f3d0dae40df982cc5ec9f5979a90940a471147ce895ef04d,False,
2k|3g,2k,3g,,120,120,55.0,46,127,1.150225,True,True,97,True,128,48,2.5,0.895,,E_OK,b7df92c5b16e965e887c6c5bc0d5d922fe29385a1007c3e3d326f1e9ae6138d2,3194aa4bb3aa3248f3d0dae40df982cc5ec9f5979a90940a471147ce895ef04d,False,
2o|3d,2o,3d,,120,120,57.0,46,127,1.150225,True,True,97,True,128,48,2.5,0.945,,E_OK,2c592956ab3fd216b920438ee5751ff55cb389a5c11cf647c2cb4d7e853de027,c71ced055fcf1807b43504766f7fc1231d5f67e13c70484cd22c3c24fb8a234a,False,
2b|3i,2b,3i,,120,120,57.0,46,127,1.150225,True,True,97,True,128,48,2.5,0.844,,E_OK,13e6ed6bb4f0c5c1d6b2cc9e20c0a0a4cf0e3707a4f3b766e7e28b80dffb7ccb,a2f2b7f9b9590002cf44453e1220e836c041a604f1737d40dd71c080922a7200,False,
2k|3i,2k,3i,,120,120,55.0,46,127,1.150225,True,True,97,True,128,48,2.5,0.607,,E_OK,b7df92c5b16e965e887c6c5bc0d5d922fe29385a1007c3e3d326f1e9ae6138d2,3194aa4bb3aa3248f3d0dae40df982cc5ec9f5979a90940a471147ce895ef04d,False,
