pipeline,s2,s3,s4,makespan,makespan_sched,cp_comm,max_load,edge_cut,load_imbalance,connected,valid,max_imem,imem_ok,n_gpus_used,omega,ratio_to_omega,time_s,error,error_code,asgn_hash,tb_hash,unique_hw_sim,tb_fname
2b|3b,2b,3b,,118,118,84.0,47,255,1.175115,True,True,95,True,256,48,2.4583,0.667,,E_OK,497fbadafd79883503c6993c407f5aa30d5ca84093258f9078ca3f40c11988ce,a1083725037607ded584c342adb202f19fec67b0ba22cdec1be8caca1190ab49,True,tb_2b_3b_none
2b|3e,2b,3e,,123,123,84.0,47,255,1.175115,True,True,94,True,256,48,2.5625,1.664,,E_OK,497fbadafd79883503c6993c407f5aa30d5ca84093258f9078ca3f40c11988ce,c551f0ad558cc2c5607253e8efa1f1f1a504e4eee8491dba2d5a6a351b4281ee,True,tb_2b_3e_none
2b|3d,2b,3d,,124,124,84.0,47,255,1.175115,True,True,99,True,256,48,2.5833,1.184,,E_OK,497fbadafd79883503c6993c407f5aa30d5ca84093258f9078ca3f40c11988ce,0dd33f628928b963a51b82697a35bf64236faf21775a228899cb3925bd5bbab8,True,tb_2b_3d_none
2b|3i,2b,3i,,126,126,84.0,47,255,1.175115,True,True,92,True,256,48,2.625,2.162,,E_OK,497fbadafd79883503c6993c407f5aa30d5ca84093258f9078ca3f40c11988ce,291d2ec9f95ee654791a1d24c1b333ee465525b7676843f171c93edf964d7fb4,True,tb_2b_3i_none
2b|3h,2b,3h,,131,131,84.0,47,255,1.175115,True,True,96,True,256,48,2.7292,11.278,,E_OK,497fbadafd79883503c6993c407f5aa30d5ca84093258f9078ca3f40c11988ce,ff5a3e09a06aa749b6babb4cadc57f7a47f67ea8381e1009fc175d4cdf093dbe,True,tb_2b_3h_none
2b|3j,2b,3j,,133,133,84.0,47,255,1.175115,True,True,92,True,256,48,2.7708,80.934,,E_OK,497fbadafd79883503c6993c407f5aa30d5ca84093258f9078ca3f40c11988ce,cb7745e5ea30a0de20dd094e50f889efc5262f475b2326e254a06c8f4200ecaf,True,tb_2b_3j_none
2o|3d,2o,3d,,133,133,69.0,47,255,1.175115,True,True,103,True,256,48,2.7708,1.071,,E_OK,48332871c718b13c860a60c13a33556c3782d19eba8e6be6f9a18dbd11d9a389,b21f21c84c46aba8b009f6f2b9826c507a152194385cdfda0455b1d97ee48822,True,tb_2o_3d_none
2b|3c,2b,3c,,136,136,84.0,47,255,1.175115,True,True,103,True,256,48,2.8333,1.298,,E_OK,497fbadafd79883503c6993c407f5aa30d5ca84093258f9078ca3f40c11988ce,f86f5a8b5e1e428a286834d42de1a9e13bd0326174e20b31504924b4b3621364,True,tb_2b_3c_none
2b|3f,2b,3f,,136,136,84.0,47,255,1.175115,True,True,103,True,256,48,2.8333,0.618,,E_OK,497fbadafd79883503c6993c407f5aa30d5ca84093258f9078ca3f40c11988ce,f86f5a8b5e1e428a286834d42de1a9e13bd0326174e20b31504924b4b3621364,False,
2b|3g,2b,3g,,136,136,84.0,47,255,1.175115,True,True,103,True,256,48,2.8333,0.559,,E_OK,497fbadafd79883503c6993c407f5aa30d5ca84093258f9078ca3f40c11988ce,f86f5a8b5e1e428a286834d42de1a9e13bd0326174e20b31504924b4b3621364,False,
