pipeline,s2,s3,s4,makespan,makespan_sched,cp_comm,max_load,edge_cut,load_imbalance,connected,valid,max_imem,imem_ok,n_gpus_used,omega,ratio_to_omega,time_s,error,error_code,asgn_hash,tb_hash,unique_hw_sim,tb_fname
2b|3e,2b,3e,,156,156,47.0,85,63,1.062708,True,True,145,True,64,96,1.625,0.73,,E_OK,e1ba0f00b3fccb36949754543a66407a1cca07f787a22506ccc8de2ffe9b4f11,7baaa04897c20bdd058aede168b581ec5e03c7806a313836625c0985c9edb343,True,tb_2b_3e_none
2b|3b,2b,3b,,156,156,47.0,85,63,1.062708,True,True,145,True,64,96,1.625,0.368,,E_OK,e1ba0f00b3fccb36949754543a66407a1cca07f787a22506ccc8de2ffe9b4f11,916fdd945ee639ec3678514c8c31174dc6fc483f671f9bc0cbf61a967ba21f67,True,tb_2b_3b_none
2b|3i,2b,3i,,156,156,47.0,85,63,1.062708,True,True,144,True,64,96,1.625,0.312,,E_OK,e1ba0f00b3fccb36949754543a66407a1cca07f787a22506ccc8de2ffe9b4f11,1f7b7d3bf8afe4f9384294cbe32268a9d6ce8a32955dce6e73af8b3b7ba47630,True,tb_2b_3i_none
2k|3a,2k,3a,,156,156,38.0,85,63,1.062708,True,True,144,True,64,96,1.625,0.117,,E_OK,6dd1fbb3a22f66d8011ad5da6925c360e8d321649a50f6051efa347797f2a57a,667c056fbb3f328cff044d50e17c662f7c2bf8a5c49a44697df499906edba887,True,tb_2k_3a_none
2k|3e,2k,3e,,156,156,38.0,85,63,1.062708,True,True,146,True,64,96,1.625,0.376,,E_OK,6dd1fbb3a22f66d8011ad5da6925c360e8d321649a50f6051efa347797f2a57a,799dbc509c547f22c4d88244629a68be86b29817747da43a76163d3c6b226e02,True,tb_2k_3e_none
2k|3b,2k,3b,,157,157,38.0,85,63,1.062708,True,True,146,True,64,96,1.6354,0.169,,E_OK,6dd1fbb3a22f66d8011ad5da6925c360e8d321649a50f6051efa347797f2a57a,15f1a64236f2f06ccad73a0e22ab1eb4c59f2c20a64160602153b8f48390db6a,True,tb_2k_3b_none
2k|3i,2k,3i,,157,157,38.0,85,63,1.062708,True,True,147,True,64,96,1.6354,0.342,,E_OK,6dd1fbb3a22f66d8011ad5da6925c360e8d321649a50f6051efa347797f2a57a,f6ffe675b4a45d46ce8792a5a043c79c57b149faf93b818f471be5d097e33136,True,tb_2k_3i_none
2b|3j,2b,3j,,158,158,47.0,85,63,1.062708,True,True,147,True,64,96,1.6458,3.939,,E_OK,e1ba0f00b3fccb36949754543a66407a1cca07f787a22506ccc8de2ffe9b4f11,d625151fd3c06c6b003ab809fab2bceba23c4fa42c87feeff037b4058c670d93,False,
2o|3i,2o,3i,,158,158,46.0,85,63,1.062708,True,True,147,True,64,96,1.6458,0.17,,E_OK,3e102f4471adc82119e1cb99d0f935881f1a175f8fe9f42b465517faee28e786,5567fea4baed2e9850c6b6a8eb8f858f5b3abc68f8adffc9475a0e3f4f659577,True,tb_2o_3i_none
2o|3b,2o,3b,,160,160,46.0,85,63,1.062708,True,True,147,True,64,96,1.6667,0.118,,E_OK,3e102f4471adc82119e1cb99d0f935881f1a175f8fe9f42b465517faee28e786,813da56fe4f690cf9d7d109272e8e31540b4d9af08544cc95c3dbdcee4d2b317,False,
2k|3j,2k,3j,,161,161,38.0,85,63,1.062708,True,True,147,True,64,96,1.6771,3.928,,E_OK,6dd1fbb3a22f66d8011ad5da6925c360e8d321649a50f6051efa347797f2a57a,82d46922bf25b0d14fb6ca72c6d9c9551bdbc4fec4e9496d6c542c38c94fea78,False,
2o|3d,2o,3d,,161,161,46.0,85,63,1.062708,True,True,147,True,64,96,1.6771,0.873,,E_OK,3e102f4471adc82119e1cb99d0f935881f1a175f8fe9f42b465517faee28e786,813da56fe4f690cf9d7d109272e8e31540b4d9af08544cc95c3dbdcee4d2b317,False,
2o|3j,2o,3j,,161,161,46.0,85,63,1.062708,True,True,147,True,64,96,1.6771,4.577,,E_OK,3e102f4471adc82119e1cb99d0f935881f1a175f8fe9f42b465517faee28e786,ffd5b8ddbc50ae1b15c0c2ae7e174dce25d7a286f03c887830d143f6c9b079b0,True,tb_2o_3j_none
2o|3e,2o,3e,,162,162,46.0,85,63,1.062708,True,True,147,True,64,96,1.6875,0.475,,E_OK,3e102f4471adc82119e1cb99d0f935881f1a175f8fe9f42b465517faee28e786,813da56fe4f690cf9d7d109272e8e31540b4d9af08544cc95c3dbdcee4d2b317,False,
2b|3d,2b,3d,,163,163,47.0,85,63,1.062708,True,True,147,True,64,96,1.6979,0.394,,E_OK,e1ba0f00b3fccb36949754543a66407a1cca07f787a22506ccc8de2ffe9b4f11,8cf627227bb110bb9330a6abc27e524c0db48c423d851e0358e8e29fc9bd8702,True,tb_2b_3d_none
2b|3h,2b,3h,,163,163,47.0,85,63,1.062708,True,True,146,True,64,96,1.6979,5.749,,E_OK,e1ba0f00b3fccb36949754543a66407a1cca07f787a22506ccc8de2ffe9b4f11,cf7a0f80a7ec5a392ac50f51297c60589bc61e5b4c3ec38c57c119c8b45c9263,True,tb_2b_3h_none
2k|3c,2k,3c,,163,163,38.0,85,63,1.062708,True,True,145,True,64,96,1.6979,0.465,,E_OK,6dd1fbb3a22f66d8011ad5da6925c360e8d321649a50f6051efa347797f2a57a,32bdac1cc12111a4b8fab22ffd099d710104753de0202f6680d618c1c92e4aaf,True,tb_2k_3c_none
2k|3d,2k,3d,,163,163,38.0,85,63,1.062708,True,True,147,True,64,96,1.6979,0.557,,E_OK,6dd1fbb3a22f66d8011ad5da6925c360e8d321649a50f6051efa347797f2a57a,82d46922bf25b0d14fb6ca72c6d9c9551bdbc4fec4e9496d6c542c38c94fea78,True,tb_2k_3d_none
2b|3c,2b,3c,,164,164,47.0,85,63,1.062708,True,True,147,True,64,96,1.7083,0.45,,E_OK,e1ba0f00b3fccb36949754543a66407a1cca07f787a22506ccc8de2ffe9b4f11,d625151fd3c06c6b003ab809fab2bceba23c4fa42c87feeff037b4058c670d93,True,tb_2b_3c_none
2b|3f,2b,3f,,164,164,47.0,85,63,1.062708,True,True,147,True,64,96,1.7083,0.17,,E_OK,e1ba0f00b3fccb36949754543a66407a1cca07f787a22506ccc8de2ffe9b4f11,d625151fd3c06c6b003ab809fab2bceba23c4fa42c87feeff037b4058c670d93,False,
2k|3g,2k,3g,,164,164,38.0,85,63,1.062708,True,True,144,True,64,96,1.7083,0.537,,E_OK,6dd1fbb3a22f66d8011ad5da6925c360e8d321649a50f6051efa347797f2a57a,cc4734586bd04a4a2e7abc48f96de3cb07554ea5bd48eeb12904f1107a821e16,True,tb_2k_3g_none
2o|3a,2o,3a,,164,164,46.0,85,63,1.062708,True,True,147,True,64,96,1.7083,0.155,,E_OK,3e102f4471adc82119e1cb99d0f935881f1a175f8fe9f42b465517faee28e786,813da56fe4f690cf9d7d109272e8e31540b4d9af08544cc95c3dbdcee4d2b317,True,tb_2o_3a_none
2o|3c,2o,3c,,164,164,46.0,85,63,1.062708,True,True,147,True,64,96,1.7083,1.036,,E_OK,3e102f4471adc82119e1cb99d0f935881f1a175f8fe9f42b465517faee28e786,813da56fe4f690cf9d7d109272e8e31540b4d9af08544cc95c3dbdcee4d2b317,False,
2o|3f,2o,3f,,164,164,46.0,85,63,1.062708,True,True,147,True,64,96,1.7083,0.224,,E_OK,3e102f4471adc82119e1cb99d0f935881f1a175f8fe9f42b465517faee28e786,813da56fe4f690cf9d7d109272e8e31540b4d9af08544cc95c3dbdcee4d2b317,False,
2o|3g,2o,3g,,164,164,46.0,85,63,1.062708,True,True,147,True,64,96,1.7083,0.27,,E_OK,3e102f4471adc82119e1cb99d0f935881f1a175f8fe9f42b465517faee28e786,813da56fe4f690cf9d7d109272e8e31540b4d9af08544cc95c3dbdcee4d2b317,False,
