pipeline,s2,s3,s4,makespan,makespan_sched,cp_comm,max_load,edge_cut,load_imbalance,connected,valid,max_imem,imem_ok,n_gpus_used,omega,ratio_to_omega,time_s,error,error_code,asgn_hash,tb_hash,unique_hw_sim,tb_fname
2b|3b,2b,3b,,261,261,38.0,164,31,1.0252,True,True,253,True,32,192,1.3594,0.061,,E_OK,ce7e9914360b5629f44bbecc9a0fbd9100d22e01be81ac6e0caef0880bcfb174,d7d11731c9a635e2ee2b62aca7bd6a46d9afb8fec396028e71fbfd49ab1dcf9d,False,
2b|3d,2b,3d,,261,261,38.0,164,31,1.0252,True,True,253,True,32,192,1.3594,0.183,,E_OK,ce7e9914360b5629f44bbecc9a0fbd9100d22e01be81ac6e0caef0880bcfb174,d7d11731c9a635e2ee2b62aca7bd6a46d9afb8fec396028e71fbfd49ab1dcf9d,False,
2b|3e,2b,3e,,261,261,38.0,164,31,1.0252,True,True,253,True,32,192,1.3594,0.107,,E_OK,ce7e9914360b5629f44bbecc9a0fbd9100d22e01be81ac6e0caef0880bcfb174,d7d11731c9a635e2ee2b62aca7bd6a46d9afb8fec396028e71fbfd49ab1dcf9d,False,
2b|3i,2b,3i,,261,261,38.0,164,31,1.0252,True,True,253,True,32,192,1.3594,0.072,,E_OK,ce7e9914360b5629f44bbecc9a0fbd9100d22e01be81ac6e0caef0880bcfb174,d7d11731c9a635e2ee2b62aca7bd6a46d9afb8fec396028e71fbfd49ab1dcf9d,False,
2b|3j,2b,3j,,261,261,38.0,164,31,1.0252,True,True,253,True,32,192,1.3594,0.272,,E_OK,ce7e9914360b5629f44bbecc9a0fbd9100d22e01be81ac6e0caef0880bcfb174,d7d11731c9a635e2ee2b62aca7bd6a46d9afb8fec396028e71fbfd49ab1dcf9d,False,
2k|3a,2k,3a,,261,261,34.0,164,31,1.0252,True,True,253,True,32,192,1.3594,0.078,,E_OK,f380654ed9e4e5ca556999c4764bc9a1a3c40874b76885e7c5eb2a34b3ff24d5,724fa363383b7c94d77bfc9f4ba253f562d07ce7fb7ef9d99403ecb2820089ff,True,tb_2k_3a_none
2k|3b,2k,3b,,261,261,34.0,164,31,1.0252,True,True,253,True,32,192,1.3594,0.079,,E_OK,f380654ed9e4e5ca556999c4764bc9a1a3c40874b76885e7c5eb2a34b3ff24d5,724fa363383b7c94d77bfc9f4ba253f562d07ce7fb7ef9d99403ecb2820089ff,False,
2k|3c,2k,3c,,261,261,34.0,164,31,1.0252,True,True,252,True,32,192,1.3594,0.283,,E_OK,f380654ed9e4e5ca556999c4764bc9a1a3c40874b76885e7c5eb2a34b3ff24d5,27e7b8d9102ac4a4118e20e8a4dbe0f7a96b15742d123db5ece1cc8838e9086c,True,tb_2k_3c_none
2k|3d,2k,3d,,261,261,34.0,164,31,1.0252,True,True,253,True,32,192,1.3594,0.708,,E_OK,f380654ed9e4e5ca556999c4764bc9a1a3c40874b76885e7c5eb2a34b3ff24d5,724fa363383b7c94d77bfc9f4ba253f562d07ce7fb7ef9d99403ecb2820089ff,False,
2k|3i,2k,3i,,261,261,34.0,164,31,1.0252,True,True,253,True,32,192,1.3594,0.419,,E_OK,f380654ed9e4e5ca556999c4764bc9a1a3c40874b76885e7c5eb2a34b3ff24d5,724fa363383b7c94d77bfc9f4ba253f562d07ce7fb7ef9d99403ecb2820089ff,False,
2k|3j,2k,3j,,261,261,34.0,164,31,1.0252,True,True,253,True,32,192,1.3594,0.347,,E_OK,f380654ed9e4e5ca556999c4764bc9a1a3c40874b76885e7c5eb2a34b3ff24d5,724fa363383b7c94d77bfc9f4ba253f562d07ce7fb7ef9d99403ecb2820089ff,False,
2o|3a,2o,3a,,261,261,34.0,164,31,1.0252,True,True,253,True,32,192,1.3594,0.085,,E_OK,c8f7f168d0e0861c8c81466d8a518028055761ec962e987028d8e4dbea3be239,7577db6acb63146ffcb59b5190d88bd6afc9ae5fcb48e9d81cfa57987d8bdad2,True,tb_2o_3a_none
2o|3b,2o,3b,,261,261,34.0,164,31,1.0252,True,True,253,True,32,192,1.3594,0.083,,E_OK,c8f7f168d0e0861c8c81466d8a518028055761ec962e987028d8e4dbea3be239,7577db6acb63146ffcb59b5190d88bd6afc9ae5fcb48e9d81cfa57987d8bdad2,False,
