pipeline,s2,s3,s4,makespan,makespan_sched,cp_comm,max_load,edge_cut,load_imbalance,connected,valid,max_imem,imem_ok,n_gpus_used,omega,ratio_to_omega,time_s,error,error_code,asgn_hash,tb_hash,unique_hw_sim,tb_fname
2b|3b,2b,3b,,479,479,41.0,323,15,1.009572,True,True,468,True,16,384,1.2474,0.063,,E_OK,6fa641e9702bfa7d340b61d7e55fb4d4012daf6eda4ae4758c033c4dae40c7a8,eed1aa7953e60e262bad790ec65bb0e36f0a19697984b827a527ad14a893f257,True,tb_2b_3b_none
2k|3b,2k,3b,,479,479,35.0,323,15,1.009572,True,True,468,True,16,384,1.2474,0.143,,E_OK,e0dff21a600ba02faa75b31b190b0abd88a4ae05c9204650f88c137ba360aedf,d69958db1f76ffcc3a5810cedf6b2fd53bf1fd05554464324b1985932413387b,True,tb_2k_3b_none
2k|3j,2k,3j,,480,480,35.0,323,15,1.009572,True,True,469,True,16,384,1.25,0.174,,E_OK,e0dff21a600ba02faa75b31b190b0abd88a4ae05c9204650f88c137ba360aedf,9c09ab8830f36023f07eb24b3aad3b99af434d7eb59b40cc03222db2909a69e7,True,tb_2k_3j_none
2k|3i,2k,3i,,481,481,35.0,323,15,1.009572,True,True,468,True,16,384,1.2526,0.13,,E_OK,e0dff21a600ba02faa75b31b190b0abd88a4ae05c9204650f88c137ba360aedf,ba52df7f7726089e164be959f61d86d5ab3c64f74fcced9b3c031227fb09baa0,True,tb_2k_3i_none
2b|3h,2b,3h,,482,482,41.0,323,15,1.009572,True,True,471,True,16,384,1.2552,1.302,,E_OK,6fa641e9702bfa7d340b61d7e55fb4d4012daf6eda4ae4758c033c4dae40c7a8,e5f9c68fc8a21b545ebd48946ea22fd653c0d197aee56d34aaee76f3d7a94cfb,False,
2b|3i,2b,3i,,482,482,41.0,323,15,1.009572,True,True,463,True,16,384,1.2552,0.057,,E_OK,6fa641e9702bfa7d340b61d7e55fb4d4012daf6eda4ae4758c033c4dae40c7a8,44b36641263e429c5f29a2cb79bb16d9b6d759607ad0851fbe773245c811e75d,True,tb_2b_3i_none
2k|3a,2k,3a,,482,482,35.0,323,15,1.009572,True,True,464,True,16,384,1.2552,0.826,,E_OK,e0dff21a600ba02faa75b31b190b0abd88a4ae05c9204650f88c137ba360aedf,27e5965f20934cc9dd01b8e4f17f0d2b9e5b77ca574a43fd27425b385c4852cb,True,tb_2k_3a_none
2k|3e,2k,3e,,482,482,35.0,323,15,1.009572,True,True,464,True,16,384,1.2552,0.971,,E_OK,e0dff21a600ba02faa75b31b190b0abd88a4ae05c9204650f88c137ba360aedf,27e5965f20934cc9dd01b8e4f17f0d2b9e5b77ca574a43fd27425b385c4852cb,False,
2k|3g,2k,3g,,482,482,35.0,323,15,1.009572,True,True,464,True,16,384,1.2552,0.235,,E_OK,e0dff21a600ba02faa75b31b190b0abd88a4ae05c9204650f88c137ba360aedf,27e5965f20934cc9dd01b8e4f17f0d2b9e5b77ca574a43fd27425b385c4852cb,False,
2k|3h,2k,3h,,482,482,35.0,323,15,1.009572,True,True,471,True,16,384,1.2552,3.88,,E_OK,e0dff21a600ba02faa75b31b190b0abd88a4ae05c9204650f88c137ba360aedf,c8eb666e8a34c01e1e01bd6ec7f9994e545b6df5d49e868d5ec911b397949025,False,
2o|3b,2o,3b,,482,482,41.0,323,15,1.009572,True,True,471,True,16,384,1.2552,0.053,,E_OK,02af667fd74637341c7a6829d62be3270e8480f36a942f228811530101a07d4d,b3b1c4eb9c23255ece0f77ac90147116e64d63bb4deb860193c096f90ec9d54b,False,
2o|3d,2o,3d,,482,482,41.0,323,15,1.009572,True,True,471,True,16,384,1.2552,0.106,,E_OK,02af667fd74637341c7a6829d62be3270e8480f36a942f228811530101a07d4d,cc022f0f55f19795b231f7461810e73218f56248e948f2f3376b372a2392df15,True,tb_2o_3d_none
2o|3h,2o,3h,,482,482,41.0,323,15,1.009572,True,True,471,True,16,384,1.2552,2.075,,E_OK,02af667fd74637341c7a6829d62be3270e8480f36a942f228811530101a07d4d,b3b1c4eb9c23255ece0f77ac90147116e64d63bb4deb860193c096f90ec9d54b,False,
2b|3e,2b,3e,,483,483,41.0,323,15,1.009572,True,True,466,True,16,384,1.2578,0.068,,E_OK,6fa641e9702bfa7d340b61d7e55fb4d4012daf6eda4ae4758c033c4dae40c7a8,633a48164e8189ce73c732fe02f7e67bab6f1b53d934208cde4d683e1b1bb1b2,True,tb_2b_3e_none
2b|3j,2b,3j,,483,483,41.0,323,15,1.009572,True,True,471,True,16,384,1.2578,0.086,,E_OK,6fa641e9702bfa7d340b61d7e55fb4d4012daf6eda4ae4758c033c4dae40c7a8,e5f9c68fc8a21b545ebd48946ea22fd653c0d197aee56d34aaee76f3d7a94cfb,False,
2o|3j,2o,3j,,483,483,41.0,323,15,1.009572,True,True,471,True,16,384,1.2578,0.087,,E_OK,02af667fd74637341c7a6829d62be3270e8480f36a942f228811530101a07d4d,b3b1c4eb9c23255ece0f77ac90147116e64d63bb4deb860193c096f90ec9d54b,False,
2k|3d,2k,3d,,484,484,35.0,323,15,1.009572,True,True,471,True,16,384,1.2604,0.26,,E_OK,e0dff21a600ba02faa75b31b190b0abd88a4ae05c9204650f88c137ba360aedf,c8eb666e8a34c01e1e01bd6ec7f9994e545b6df5d49e868d5ec911b397949025,False,
2b|3d,2b,3d,,486,486,41.0,323,15,1.009572,True,True,471,True,16,384,1.2656,0.113,,E_OK,6fa641e9702bfa7d340b61d7e55fb4d4012daf6eda4ae4758c033c4dae40c7a8,e5f9c68fc8a21b545ebd48946ea22fd653c0d197aee56d34aaee76f3d7a94cfb,False,
