pipeline,s2,s3,s4,makespan,makespan_sched,cp_comm,max_load,edge_cut,load_imbalance,connected,valid,max_imem,imem_ok,n_gpus_used,omega,ratio_to_omega,time_s,error,error_code,asgn_hash,tb_hash,unique_hw_sim,tb_fname
2k|3b,2k,3b,,262,262,37.0,164,51,1.399653,False,True,249,True,50,144,1.8194,0.678,,E_OK,99a8a7f2432d101c16280a046c0537cba325d6f1fbcfed7bf5e336c373f4c42b,b639ec3a993c9fe4ef4e4fa6c2a75d0df60d53d8f836f1d9dfc4ad169ed884a3,True,tb_2k_3b_none
2k|3d,2k,3d,,262,262,37.0,164,51,1.399653,False,True,249,True,50,144,1.8194,0.489,,E_OK,99a8a7f2432d101c16280a046c0537cba325d6f1fbcfed7bf5e336c373f4c42b,b639ec3a993c9fe4ef4e4fa6c2a75d0df60d53d8f836f1d9dfc4ad169ed884a3,False,
2k|3e,2k,3e,,262,262,37.0,164,51,1.399653,False,True,249,True,50,144,1.8194,0.357,,E_OK,99a8a7f2432d101c16280a046c0537cba325d6f1fbcfed7bf5e336c373f4c42b,b639ec3a993c9fe4ef4e4fa6c2a75d0df60d53d8f836f1d9dfc4ad169ed884a3,False,
2k|3i,2k,3i,,262,262,37.0,164,51,1.399653,False,True,249,True,50,144,1.8194,0.182,,E_OK,99a8a7f2432d101c16280a046c0537cba325d6f1fbcfed7bf5e336c373f4c42b,b639ec3a993c9fe4ef4e4fa6c2a75d0df60d53d8f836f1d9dfc4ad169ed884a3,False,
2k|3j,2k,3j,,262,262,37.0,164,51,1.399653,False,True,249,True,50,144,1.8194,1.523,,E_OK,99a8a7f2432d101c16280a046c0537cba325d6f1fbcfed7bf5e336c373f4c42b,b639ec3a993c9fe4ef4e4fa6c2a75d0df60d53d8f836f1d9dfc4ad169ed884a3,False,
2o|3d,2o,3d,,263,263,44.0,162,63,1.382584,True,True,237,True,64,144,1.8264,0.314,,E_OK,566024dd5360454ae2a94d03454351976c2dc4d377bc01144871a4b3be05ed86,03a65990aaf3e3ae8e453023cdf63c46e38f8f86b77a3923fb90e51428e39325,True,tb_2o_3d_none
2o|3j,2o,3j,,263,263,44.0,162,63,1.382584,True,True,237,True,64,144,1.8264,2.575,,E_OK,566024dd5360454ae2a94d03454351976c2dc4d377bc01144871a4b3be05ed86,4475b5ad38fe5228062b9e460572fa63f8c95a24bf9f294b6535213333c8de03,True,tb_2o_3j_none
2p|3b,2p,3b,,263,263,45.0,162,63,1.382584,True,True,237,True,64,144,1.8264,0.161,,E_OK,9c1f5046791b969afe4cd570388bd978ddc559381624f5ce11ffa10de6cc8839,cff218b69e81c751a93f927cf84ccc5fb7f9b119915b63bc414be8fe034e3ef9,True,tb_2p_3b_none
2p|3e,2p,3e,,263,263,45.0,162,63,1.382584,True,True,237,True,64,144,1.8264,0.374,,E_OK,9c1f5046791b969afe4cd570388bd978ddc559381624f5ce11ffa10de6cc8839,24e31a70da6ba8c0bfccb0e0962a0a552b56203541cc0b9067b224b4c7a4dde8,True,tb_2p_3e_none
2p|3i,2p,3i,,263,263,45.0,162,63,1.382584,True,True,237,True,64,144,1.8264,0.322,,E_OK,9c1f5046791b969afe4cd570388bd978ddc559381624f5ce11ffa10de6cc8839,cff218b69e81c751a93f927cf84ccc5fb7f9b119915b63bc414be8fe034e3ef9,False,
2k|3a,2k,3a,,264,264,37.0,164,51,1.399653,False,True,248,True,50,144,1.8333,0.2,,E_OK,99a8a7f2432d101c16280a046c0537cba325d6f1fbcfed7bf5e336c373f4c42b,b7fd341823fa25be05ed3d17fe8b65ecc924cd621f9f5cc462e78c48cb9f2f31,True,tb_2k_3a_none
2o|3b,2o,3b,,264,264,44.0,162,63,1.382584,True,True,237,True,64,144,1.8333,0.111,,E_OK,566024dd5360454ae2a94d03454351976c2dc4d377bc01144871a4b3be05ed86,080779a332432330591d96fb6bf7a5ca61776fed09805559040fe12fdcfca487,True,tb_2o_3b_none
2o|3e,2o,3e,,264,264,44.0,162,63,1.382584,True,True,237,True,64,144,1.8333,0.421,,E_OK,566024dd5360454ae2a94d03454351976c2dc4d377bc01144871a4b3be05ed86,080779a332432330591d96fb6bf7a5ca61776fed09805559040fe12fdcfca487,False,
2o|3i,2o,3i,,264,264,44.0,162,63,1.382584,True,True,237,True,64,144,1.8333,0.484,,E_OK,566024dd5360454ae2a94d03454351976c2dc4d377bc01144871a4b3be05ed86,df132314cc8a1d53857b5526f005b1348edada60c98e9a8aa6f5299ac2abd848,True,tb_2o_3i_none
2p|3d,2p,3d,,264,264,45.0,162,63,1.382584,True,True,237,True,64,144,1.8333,0.314,,E_OK,9c1f5046791b969afe4cd570388bd978ddc559381624f5ce11ffa10de6cc8839,c758ebc16dcbf5e9cc25931d2a482d2f99ad106ba75ed85ea1638673ffbb84ac,True,tb_2p_3d_none
2p|3j,2p,3j,,265,265,45.0,162,63,1.382584,True,True,237,True,64,144,1.8403,5.721,,E_OK,9c1f5046791b969afe4cd570388bd978ddc559381624f5ce11ffa10de6cc8839,039aa15c6648646320768f92fed40f99731931e57be9b86be908d43c3332d4e7,False,
